sub	item	cond	sound	block	trialtype	ans1	corr_ans1	acc1	ans2	corr_ans2	acc2	Q1time	Q2time
1	25	1	Silence	easy	Prac	2	2	1	1	1	1	11.75035254	1.907576945
1	26	1	Silence	easy	Prac	1	1	1	2	2	1	19.02594734	1.455111102
1	2	1	Silence	easy	Exp	1	1	1	2	2	1	4.956386521	1.352326646
1	3	1	Silence	easy	Exp	1	1	1	1	1	1	3.723057204	2.328644825
1	1	1	Silence	easy	Exp	1	1	1	2	2	1	2.916824353	2.141465164
1	6	2	Noise	easy	Exp	1	1	1	1	1	1	7.750203577	0.78343249
1	4	2	Noise	easy	Exp	2	2	1	2	2	1	2.783733641	3.39990464
1	5	2	Noise	easy	Exp	1	1	1	2	2	1	5.150289436	1.299939624
1	9	3	Mandarin	easy	Exp	2	2	1	1	1	1	2.833447254	1.216852826
1	8	3	Mandarin	easy	Exp	1	1	1	1	1	1	12.23351816	1.783656814
1	7	3	Mandarin	easy	Exp	2	2	1	1	1	1	7.383457181	1.383920489
1	10	4	English	easy	Exp	2	2	1	1	1	1	19.10027409	1.583908291
1	11	4	English	easy	Exp	2	2	1	1	1	1	3.916819075	2.800379033
1	12	4	English	easy	Exp	1	1	1	2	2	1	2.450245481	7.70059846
1	27	5	Silence	difficult	Prac	3	3	1	2	2	1	4.500056447	9.683534916
1	28	5	Silence	difficult	Prac	3	3	1	2	2	1	3.86593546	4.799780251
1	13	5	Silence	difficult	Exp	2	2	1	3	3	1	25.35013678	3.750154607
1	15	5	Silence	difficult	Exp	4	4	1	0	2	0	11.86680109	60.05081646
1	14	5	Silence	difficult	Exp	3	3	1	2	2	1	6.616909361	6.650354974
1	16	6	Noise	difficult	Exp	1	1	1	4	4	1	10.66693644	5.849865391
1	18	6	Noise	difficult	Exp	1	1	1	2	2	1	10.19972682	3.317065332
1	17	6	Noise	difficult	Exp	3	3	1	2	2	1	13.46688384	5.383595586
1	19	7	Mandarin	difficult	Exp	4	4	1	1	1	1	23.18359078	14.28311741
1	21	7	Mandarin	difficult	Exp	2	2	1	3	3	1	9.481636113	6.83360648
1	20	7	Mandarin	difficult	Exp	3	3	1	4	4	1	22.66692119	18.28382352
1	24	8	English	difficult	Exp	1	1	1	2	2	1	6.483599017	11.7505622
1	22	8	English	difficult	Exp	2	2	1	2	2	1	6.100200777	8.416767026
1	23	8	English	difficult	Exp	3	3	1	3	3	1	8.833521736	3.733983373
2	25	1	Silence	easy	Prac	1	2	0	1	1	1	8.558829213	0.425738794
2	26	1	Silence	easy	Prac	1	1	1	1	2	0	0.683564826	0.368840083
2	2	2	Noise	easy	Exp	1	1	1	1	2	0	2.700177377	1.317105212
2	3	2	Noise	easy	Exp	1	1	1	1	1	1	0.417137673	0.467101708
2	1	2	Noise	easy	Exp	1	1	1	1	2	0	1.68349709	0.48365004
2	6	3	Mandarin	easy	Exp	1	1	1	1	1	1	0.649335401	0.51724872
2	5	3	Mandarin	easy	Exp	1	1	1	1	2	0	1.26689017	0.483881988
2	4	3	Mandarin	easy	Exp	1	2	0	1	2	0	1.350153786	0.550058896
2	7	4	English	easy	Exp	1	2	0	1	1	1	0.948304422	0.466780617
2	9	4	English	easy	Exp	1	2	0	1	1	1	1.600217051	2.683664526
2	8	4	English	easy	Exp	1	1	1	1	1	1	1.800196056	5.267037959
2	12	1	Silence	easy	Exp	1	1	1	1	2	0	1.6668429	8.433842592
2	11	1	Silence	easy	Exp	1	2	0	1	1	1	0.59906699	3.45079588
2	10	1	Silence	easy	Exp	1	2	0	1	1	1	1.116966982	0.649900169
2	27	5	Silence	difficult	Prac	1	3	0	1	2	0	2.450154285	4.883892192
2	28	5	Silence	difficult	Prac	1	3	0	1	2	0	0.566652973	0.384439512
2	15	6	Noise	difficult	Exp	1	4	0	1	2	0	1.683468939	2.683402962
2	14	6	Noise	difficult	Exp	1	3	0	1	2	0	0.581509348	0.417594237
2	13	6	Noise	difficult	Exp	1	2	0	1	3	0	1.933449512	0.350232373
2	16	7	Mandarin	difficult	Exp	1	1	1	1	4	0	2.05034993	0.416437138
2	17	7	Mandarin	difficult	Exp	1	3	0	1	2	0	2.933442182	0.667016201
2	18	7	Mandarin	difficult	Exp	1	1	1	1	2	0	7.100196378	0.700704318
2	19	8	English	difficult	Exp	0	4	0	0	1	0	60.04839201	60.05036752
2	21	8	English	difficult	Exp	1	2	0	1	3	0	0.716775266	4.533342541
2	20	8	English	difficult	Exp	1	3	0	1	4	0	3.917358038	1.166895242
2	23	5	Silence	difficult	Exp	1	3	0	1	3	0	13.23337829	0.800108672
2	22	5	Silence	difficult	Exp	1	2	0	1	2	0	1.233534286	0.684033707
2	24	5	Silence	difficult	Exp	1	1	1	1	2	0	1.11686259	0.666616817
3	25	1	Silence	easy	Prac	1	2	0	1	1	1	1.258442995	0.607184569
3	26	1	Silence	easy	Prac	1	1	1	1	2	0	0.833285683	0.675168382
3	3	3	Mandarin	easy	Exp	1	1	1	1	1	1	1.016868543	0.417088409
3	2	3	Mandarin	easy	Exp	1	1	1	1	2	0	0.750050216	0.600090668
3	1	3	Mandarin	easy	Exp	1	1	1	1	2	0	0.550111092	0.683433458
3	4	4	English	easy	Exp	1	2	0	1	2	0	0.650096928	0.666594531
3	5	4	English	easy	Exp	1	1	1	1	2	0	0.050011832	0.533753068
3	6	4	English	easy	Exp	1	1	1	1	1	1	0.633479099	0.716828048
3	7	1	Silence	easy	Exp	1	2	0	1	1	1	0.633379987	0.600401495
3	9	1	Silence	easy	Exp	1	2	0	1	1	1	0.500091636	0.434012961
3	8	1	Silence	easy	Exp	1	1	1	1	1	1	1.633678792	0.517213826
3	10	2	Noise	easy	Exp	1	2	0	1	1	1	0.514901387	0.367490623
3	12	2	Noise	easy	Exp	1	1	1	1	2	0	0.766849556	0.567087837
3	11	2	Noise	easy	Exp	1	2	0	1	1	1	0.700185001	0.63330316
3	27	5	Silence	difficult	Prac	1	3	0	1	2	0	0.650046785	0.366612096
3	28	5	Silence	difficult	Prac	1	3	0	1	2	0	0.716855025	0.399864761
3	14	7	Mandarin	difficult	Exp	1	3	0	1	2	0	0.667140532	0.400128378
3	15	7	Mandarin	difficult	Exp	1	4	0	1	2	0	1.516507426	0.500154974
3	13	7	Mandarin	difficult	Exp	1	2	0	1	3	0	0.683418503	0.733293688
3	17	8	English	difficult	Exp	1	3	0	1	2	0	0.600099172	0.617221069
3	16	8	English	difficult	Exp	1	1	1	1	4	0	1.833641375	0.599857547
3	18	8	English	difficult	Exp	1	1	1	1	2	0	1.13346781	0.616758639
