sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,ended_on,familiarity,gender,headphone_check_performance,item,list,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-03-25T15:15:13.079Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_a/"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""en-gb"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":0,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":772,""window_innerWidth"":1440,""window_innerHeight"":820,""devicePixelRatio"":2}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,7132,response,,,,,,,,,,continue,click button,,,,,,,,,12982.000000000002,12628,5496,5469,5515,13010,{},,
Volume calibration,html.Screen,0_1,2021-03-25T15:15:38.766Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25668,response,,,,,,,,,,continue,click button,,,,,,,,,38668,38662,12994,12983,13010,38693,,,
Task instructions,html.Screen,0_2,2021-03-25T15:16:06.025Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27247,response,,,,,,,,,,continue,click button,,,,,,,,,65928,65923,38676,38669.00000000001,38693,65960,,,
Sounds,html.Screen,0_3_0_0,2021-03-25T15:16:10.294Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4253,timeout,,,,,,,,2,,,,,,,,O,S,I,,70197,70196,65945,65929,65960,70213,,,
Judgement,html.Screen,0_3_0_1,2021-03-25T15:16:15.911Z,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2,,5614,response,,,,,,,,2,,3,click #choice-3,,,,,O,S,I,,75814,75810,70196,70197,70213,75836,,,
Trial,flow.Sequence,0_3_0,2021-03-25T15:16:15.912Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9850,completion,,,,,,,,2,,,,,,,,O,S,I,,75814,75810,65945,65929,65960,75836,,,
Sounds,html.Screen,0_3_1_0,2021-03-25T15:16:20.172Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4254,timeout,,,,,,,,1,,,,,,,,S,O,I,,80074,80074,75819,75814,75836,80090,,,
Judgement,html.Screen,0_3_1_1,2021-03-25T15:16:21.118Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,942,response,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,81021,81016,80074,80074,80090,81047,,,
Trial,flow.Sequence,0_3_1,2021-03-25T15:16:21.119Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5180,completion,,,,,,,,1,,,,,,,,S,O,I,,81021,81016,75819,75814,75836,81047,,,
Sounds,html.Screen,0_3_2_0,2021-03-25T15:16:25.383Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4254,timeout,,,,,,,,2,,,,,,,,I,S,O,,85285,85285,81029,81022,81047,85301,,,
Judgement,html.Screen,0_3_2_1,2021-03-25T15:16:25.937Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,550.0000000000146,response,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,85839,85835.00000000001,85285,85286,85301,85860,,,
Trial,flow.Sequence,0_3_2,2021-03-25T15:16:25.937Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4788.000000000015,completion,,,,,,,,2,,,,,,,,I,S,O,,85839,85835.00000000001,81029,81022,81047,85860,,,
Sounds,html.Screen,0_3_3_0,2021-03-25T15:16:30.196Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4256,timeout,,,,,,,,1,,,,,,,,S,I,O,,90099,90098,85844,85840,85860,90116,,,
Judgement,html.Screen,0_3_3_1,2021-03-25T15:16:30.784Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,582,response,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,90687,90680,90098,90099,90116,90708,,,
Trial,flow.Sequence,0_3_3,2021-03-25T15:16:30.784Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4820,completion,,,,,,,,1,,,,,,,,S,I,O,,90687,90680,85844,85840,85860,90708,,,
Sounds,html.Screen,0_3_4_0,2021-03-25T15:16:35.037Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4248,timeout,,,,,,,,3,,,,,,,,I,O,S,,94940,94940,90692,90687,90708,94956,,,
Judgement,html.Screen,0_3_4_1,2021-03-25T15:16:35.566Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,524,response,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,95468,95464,94940,94940,94956,95501,,,
Trial,flow.Sequence,0_3_4,2021-03-25T15:16:35.566Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4756,completion,,,,,,,,3,,,,,,,,I,O,S,,95469.00000000001,95464,90692,90687,90708,95501,,,
Sounds,html.Screen,0_3_5_0,2021-03-25T15:16:39.824Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4242,timeout,,,,,,,,3,,,,,,,,O,I,S,,99726,99726,95485,95469.00000000001,95501,99743,,,
Judgement,html.Screen,0_3_5_1,2021-03-25T15:16:40.337Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,509,response,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,100239,100235,99726,99727,99743,100269,,,
