sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,ended_on,familiarity,gender,headphone_check_performance,item,list,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-03-25T17:05:11.627Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_b/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":0,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":577,""window_innerWidth"":1366,""window_innerHeight"":625,""devicePixelRatio"":1}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,8030.702999998695,response,,,,,,,,,,continue,click button,,,,,,,,,32971.40999999829,32537.349999998696,20591.884,20599.47499993723,24506.647,33671.45,{},,
Volume calibration,html.Screen,0_1,2021-03-25T17:05:40.154Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27823.974999971877,response,,,,,,,,,,continue,click button,,,,,,,,,61498.870000010356,61495.424999971874,32405.111,32980.214999988675,33671.45,61499.042,,,
Task instructions,html.Screen,0_2,2021-03-25T17:05:57.962Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17806.95299994423,response,,,,,,,,,,continue,click button,,,,,,,,,79307.18999996316,79305.99499994423,61482.538,61499.56000002567,61499.042,79312.124,,,
Sounds,html.Screen,0_3_0_0,2021-03-25T17:06:02.254Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4315.883000000002,timeout,,,,,,,,1,,,,,,,,S,O,I,,83599.00499996729,83544.87,79295.743,79307.52499995288,79312.124,83628.007,,,
Judgement,html.Screen,0_3_0_1,2021-03-25T17:06:03.999Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,1714.3629999693803,response,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,85343.43000000808,85342.36999996938,83544.87,83599.50499993283,83628.007,85344.29,,,
Trial,flow.Sequence,0_3_0,2021-03-25T17:06:03.999Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6030.245999969382,completion,,,,,,,,1,,,,,,,,S,O,I,,85343.84500002488,85342.36999996938,79295.743,79307.44999996386,79312.124,85344.29,,,
Sounds,html.Screen,0_3_1_0,2021-03-25T17:06:08.234Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.277000000002,timeout,,,,,,,,3,,,,,,,,O,I,S,,89578.93499999773,89577.093,85327.714,85344.04999995604,85344.29,89593.567,,,
Judgement,html.Screen,0_3_1_1,2021-03-25T17:06:09.251Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,1000.7679999142856,response,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,90595.33499996178,90594.33499991428,89577.093,89579.33999993838,89593.567,90610.092,,,
Trial,flow.Sequence,0_3_1,2021-03-25T17:06:09.251Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5250.0449999142875,completion,,,,,,,,3,,,,,,,,O,I,S,,90595.61499999836,90594.33499991428,85327.714,85343.98999996483,85344.29,90610.092,,,
Sounds,html.Screen,0_3_2_0,2021-03-25T17:06:13.499Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.176999999996,timeout,,,,,,,,1,,,,,,,,S,I,O,,94844.10999994725,94842.696,90593.636,90595.80499993172,90610.092,94859.269,,,
Judgement,html.Screen,0_3_2_1,2021-03-25T17:06:14.707Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,1192.005999976158,response,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,96052.26000002585,96051.27499997616,94842.696,94844.43499997724,94859.269,96059.011,,,
Trial,flow.Sequence,0_3_2,2021-03-25T17:06:14.708Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5441.182999976154,completion,,,,,,,,1,,,,,,,,S,I,O,,96052.5749999797,96051.27499997616,90593.636,90595.74999997858,90610.092,96059.011,,,
Sounds,html.Screen,0_3_3_0,2021-03-25T17:06:18.950Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.298999999999,timeout,,,,,,,,3,,,,,,,,I,O,S,,100294.29999995045,100291.663,96042.45,96052.76499991305,96059.011,100308.31,,,
Judgement,html.Screen,0_3_3_1,2021-03-25T17:06:19.773Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,808.5900000227266,response,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,101118.23499994352,101116.90000002272,100291.663,100294.79499999434,100308.31,101124.72,,,
Trial,flow.Sequence,0_3_3,2021-03-25T17:06:19.774Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5057.889000022726,completion,,,,,,,,3,,,,,,,,I,O,S,,101118.52499993984,101116.90000002272,96042.45,96052.70499992184,96059.011,101124.72,,,
Sounds,html.Screen,0_3_4_0,2021-03-25T17:06:24.015Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.198999999993,timeout,,,,,,,,2,,,,,,,,I,S,O,,105360.12999992818,105357.249,101108.2,101118.68999991566,101124.72,105373.919,,,
Judgement,html.Screen,0_3_4_1,2021-03-25T17:06:26.337Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,2307.045999948634,response,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,107681.98499991558,107680.96499994863,105357.249,105360.54499994498,105373.919,107690.242,,,
Trial,flow.Sequence,0_3_4,2021-03-25T17:06:26.337Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6556.244999948627,completion,,,,,,,,2,,,,,,,,I,S,O,,107682.22999991849,107680.96499994863,101108.2,101118.6400000006,101124.72,107690.242,,,
Sounds,html.Screen,0_3_5_0,2021-03-25T17:06:30.579Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.040000000008,timeout,,,,,,,,2,,,,,,,,O,S,I,,111924.10499998368,111922.769,107673.464,107682.38499993458,107690.242,111939.282,,,
Judgement,html.Screen,0_3_5_1,2021-03-25T17:06:31.442Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,846.4129999695579,response,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,112786.75999992993,112785.69499996956,111922.769,111924.4399999734,111939.282,112839.146,,,
