sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,ended_on,familiarity,gender,headphone_check_performance,item,list,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-03-26T10:32:58.258Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_c/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":0,""screen_width"":1536,""screen_height"":864,""scroll_width"":1536,""scroll_height"":674,""window_innerWidth"":1536,""window_innerHeight"":722,""devicePixelRatio"":1.25}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,36444.69600000551,response,,,,,,,,,,continue,click button,,,,,,,,,47274.44499998819,47269.29500000551,10792.158,10801.60500004422,10824.599,47284.453,{},,
Volume calibration,html.Screen,0_1,2021-03-26T10:33:29.569Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31296.947000024586,response,,,,,,,,,,continue,click button,,,,,,,,,78585.88000002783,78581.40000002459,47268.067,47275.00999998301,47284.453,78609.856,,,
Task instructions,html.Screen,0_2,2021-03-26T10:33:36.946Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7351.428999968484,response,,,,,,,,,,continue,click button,,,,,,,,,85962.96000003349,85961.28499996848,78566.978,78586.14999998827,78609.856,85975.223,,,
Sounds,html.Screen,0_3_0_0,2021-03-26T10:33:41.192Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4245.430999999997,timeout,,,,,,,,3,,,,,,,,I,O,S,,90209.03500006534,90204.073,85958.857,85963.40999996755,85975.223,90220.654,,,
Judgement,html.Screen,0_3_0_1,2021-03-26T10:33:43.566Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,2359.850999961709,response,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,92582.40499999374,92580.5049999617,90204.073,90209.34000005946,90220.654,92584.671,,,
Trial,flow.Sequence,0_3_0,2021-03-26T10:33:43.566Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6605.281999961706,completion,,,,,,,,3,,,,,,,,I,O,S,,92583.07499997318,92580.5049999617,85958.857,85963.31000002101,85975.223,92584.671,,,
Sounds,html.Screen,0_3_1_0,2021-03-26T10:33:47.798Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4245.243000000002,timeout,,,,,,,,1,,,,,,,,S,O,I,,96814.8049999727,96813.452,92568.228,92583.44499999657,92584.671,96829.914,,,
Judgement,html.Screen,0_3_1_1,2021-03-26T10:33:49.836Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,2021.2260000425013,response,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,98852.74000000209,98851.1400000425,96813.452,96815.04000001587,96829.914,98861.199,,,
Trial,flow.Sequence,0_3_1,2021-03-26T10:33:49.836Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6266.4690000425035,completion,,,,,,,,1,,,,,,,,S,O,I,,98853.16499997862,98851.1400000425,92568.228,92583.37000000756,92584.671,98861.199,,,
Sounds,html.Screen,0_3_2_0,2021-03-26T10:33:54.075Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4245.117000000013,timeout,,,,,,,,2,,,,,,,,I,S,O,,103090.74999997392,103089.745,98844.682,98853.4300000174,98861.199,103106.316,,,
