sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,ended_on,familiarity,gender,headphone_check_performance,item,list,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-03-29T12:45:52.449Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_f/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":577,""window_innerWidth"":1366,""window_innerHeight"":625,""devicePixelRatio"":1}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,8787.82799993503,response,,,,,,,,,,continue,click button,,,,,,,,,21541.849999921396,21536.98999993503,12582.33,12582.154999952763,12749.162,21597.365,{},,
Volume calibration,html.Screen,0_1,2021-03-29T12:46:31.194Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38675.19999999202,response,,,,,,,,,,continue,click button,,,,,,,,,60284.944999963045,60272.56499999203,21530.734,21542.97999991104,21597.365,60306.248,,,
Task instructions,html.Screen,0_2,2021-03-29T12:46:47.980Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16761.876999990687,response,,,,,,,,,,continue,click button,,,,,,,,,77071.61500002258,77068.12499999069,60272.949,60295.01500003971,60306.248,77086.187,,,
Sounds,html.Screen,0_3_0_0,2021-03-29T12:46:52.239Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.153999999995,timeout,,,,,,,,2,,,,,,,,I,S,O,,81330.32499998808,81318.902,77069.691,77072.64499994926,77086.187,81335.341,,,
Judgement,html.Screen,0_3_0_1,2021-03-29T12:46:53.575Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,1327.7890000008192,response,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,82666.39499994926,82663.13000000082,81318.902,81331.01999992505,81335.341,82668.384,,,
Trial,flow.Sequence,0_3_0,2021-03-29T12:46:53.576Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5576.943000000814,completion,,,,,,,,2,,,,,,,,I,S,O,,82667.75999986567,82663.13000000082,77069.691,77072.36999995075,77086.187,82668.384,,,
Sounds,html.Screen,0_3_1_0,2021-03-29T12:46:57.811Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.1919999999955,timeout,,,,,,,,2,,,,,,,,O,S,I,,86902.80999988317,86900.89,82651.799,82670.57999991812,82668.384,86917.576,,,
Judgement,html.Screen,0_3_1_1,2021-03-29T12:46:58.497Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,668.3540000593057,response,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,87588.8050000649,87585.9300000593,86900.89,86903.34499999881,86917.576,87601.716,,,
Trial,flow.Sequence,0_3_1,2021-03-29T12:46:58.499Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4917.546000059301,completion,,,,,,,,2,,,,,,,,O,S,I,,87590.09499987587,87585.9300000593,82651.799,82670.32000003383,82668.384,87601.716,,,
Sounds,html.Screen,0_3_2_0,2021-03-29T12:47:02.749Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4248.125,timeout,,,,,,,,1,,,,,,,,S,O,I,,91840.44499997981,91833.353,87584.116,87590.8899998758,87601.716,91849.841,,,
Judgement,html.Screen,0_3_2_1,2021-03-29T12:47:03.347Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,585.464000049993,response,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,92438.21000005119,92435.30500005,91833.353,91840.95499990508,91849.841,92450.731,,,
Trial,flow.Sequence,0_3_2,2021-03-29T12:47:03.348Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4833.589000049993,completion,,,,,,,,1,,,,,,,,S,O,I,,92439.58500004373,92435.30500005,87584.116,87590.58999991976,87601.716,92450.731,,,
Sounds,html.Screen,0_3_3_0,2021-03-29T12:47:07.593Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4248.5610000000015,timeout,,,,,,,,1,,,,,,,,S,I,O,,96684.1649999842,96682.385,92433.41,92440.3849998489,92450.731,96699.292,,,
Judgement,html.Screen,0_3_3_1,2021-03-29T12:47:08.122Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,511.0929998675274,response,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,97213.08999997564,97210.38499986753,96682.385,96684.65499999002,96699.292,97216.344,,,
Trial,flow.Sequence,0_3_3,2021-03-29T12:47:08.123Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4759.653999867529,completion,,,,,,,,1,,,,,,,,S,I,O,,97213.89000001363,97210.38499986753,92433.41,92440.12499996461,92450.731,97216.344,,,
Sounds,html.Screen,0_3_4_0,2021-03-29T12:47:12.360Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4259.562000000005,timeout,,,,,,,,3,,,,,,,,O,I,S,,101451.32999983616,101448.081,97198.928,97214.56999983639,97216.344,101475.906,,,
Judgement,html.Screen,0_3_4_1,2021-03-29T12:47:13.112Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,724.2039998597029,response,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,102202.90499995463,102200.1099998597,101448.081,101451.82999991812,101475.906,102215.561,,,
Trial,flow.Sequence,0_3_4,2021-03-29T12:47:13.112Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4983.765999859708,completion,,,,,,,,3,,,,,,,,O,I,S,,102203.79499997944,102200.1099998597,97198.928,97214.29499983788,97216.344,102215.561,,,
Sounds,html.Screen,0_3_5_0,2021-03-29T12:47:17.358Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4247.986999999994,timeout,,,,,,,,3,,,,,,,,I,O,S,,106449.07499989495,106447.088,102198.047,102204.3850000482,102215.561,106463.548,,,
