"subject","block_number","sound","list","block_time","block_time_s","block_time_m","block_start"
1,1,"Silence","A",236235.114999972,236.235114999972,3.93725191666619,33224
1,2,"Lyrical","A",222866.546999991,222.866546999991,3.71444244999985,33495
1,3,"Instrumental","A",203751.934999966,203.751934999966,3.39586558333276,33826
2,1,"Silence","A",271914.367000012,271.914367000012,4.53190611666686,47324
2,2,"Lyrical","A",240772.121000007,240.772121000008,4.01286868333346,47606
2,3,"Instrumental","A",215756.949000003,215.756949000003,3.59594915000005,47922
3,1,"Silence","A",192357.944000006,192.357944000006,3.20596573333344,53571
3,2,"Lyrical","A",193680.489000099,193.680489000099,3.22800815000165,53772
3,3,"Instrumental","A",156006.863000031,156.006863000031,2.60011438333386,53978
4,1,"Silence","A",245614,245.614,4.09356666666667,54447
4,2,"Lyrical","A",224964,224.964,3.7494,54704
4,3,"Instrumental","A",203476,203.476,3.39126666666667,54970
5,1,"Silence","A",165860.082999978,165.860082999978,2.7643347166663,75944
5,2,"Lyrical","A",164585.059999979,164.585059999979,2.74308433333298,76118
5,3,"Instrumental","A",159873.065999999,159.873065999999,2.66455109999999,76294
6,1,"Silence","A",201927.654,201.927654,3.3654609,31622
6,2,"Lyrical","A",170831.974,170.831974,2.84719956666667,31832
6,3,"Instrumental","A",141516.851,141.516851,2.35861418333334,32012
7,1,"Silence","A",231345.250000104,231.345250000104,3.8557541666684,36278
7,2,"Lyrical","A",232964.984999766,232.964984999766,3.8827497499961,36521
7,3,"Instrumental","A",190141.483999847,190.141483999847,3.16902473333079,36803
8,1,"Silence","A",152949.186000043,152.949186000043,2.54915310000072,38461
8,2,"Lyrical","A",147765.393000065,147.765393000065,2.46275655000108,38626
8,3,"Instrumental","A",137614.908000132,137.614908000132,2.29358180000219,38782
9,1,"Silence","A",201958,201.958,3.36596666666667,48619
9,2,"Lyrical","A",184900,184.9,3.08166666666667,48833
9,3,"Instrumental","A",179339,179.339,2.98898333333334,49030
10,1,"Silence","A",219550.451999996,219.550451999996,3.65917419999993,45709
10,2,"Lyrical","A",210476.84300001,210.47684300001,3.5079473833335,45937
10,3,"Instrumental","A",181310.553999997,181.310553999997,3.02184256666662,46168
11,1,"Silence","A",302504.823999999,302.504823999999,5.04174706666664,73956
11,2,"Lyrical","A",280986.339000001,280.986339000001,4.68310565000002,74278
11,3,"Instrumental","A",250159.338999999,250.159338999999,4.16932231666665,74684
12,1,"Silence","A",228120.820999795,228.120820999795,3.80201368332991,28779
12,2,"Lyrical","A",198230.780999828,198.230780999828,3.30384634999713,29022
12,3,"Instrumental","A",185543.99999965,185.54399999965,3.09239999999416,29296
13,1,"Silence","A",187967,187.967,3.13278333333333,47948
13,2,"Lyrical","A",155524,155.524,2.59206666666667,48144
13,3,"Instrumental","A",254716,254.716,4.24526666666667,48308
14,1,"Silence","A",274708.754999998,274.708754999999,4.57847924999998,55248
