sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-04-22T00:47:25.810Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_d/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-US"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1536,""screen_height"":864,""scroll_width"":1536,""scroll_height"":706,""window_innerWidth"":1536,""window_innerHeight"":754,""devicePixelRatio"":1.25}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,30226.979000002157,,response,,,,,,,,,,,continue,click button,,,,,,,,,42916.409999997995,42911.565000002156,12617.969,12631.965000000491,12684.586,42937.845,{},,
Volume calibration,html.Screen,0_1,2021-04-22T00:48:15.999Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50155.0449999999,,response,,,,,,,,,,,continue,click button,,,,,,,,,93105.14500000136,93092.8899999999,42904.904,42917.64500000136,42937.845,93115.55,,,
Task instructions,html.Screen,0_2,2021-04-22T00:48:29.333Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13321.859999998633,,response,,,,,,,,,,,continue,click button,,,,,,,,,106439.70999999874,106437.40999999864,93082.328,93105.86499999772,93115.55,106442.964,,,
Sounds,html.Screen,0_3_0_0,2021-04-22T00:48:33.576Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4248.112999999998,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,110683.06499999744,110674.66,106426.607,106440.72500000038,106442.964,110691.077,,,
Judgement,html.Screen,0_3_0_1,2021-04-22T00:48:35.055Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,1468.1030000023748,,response,,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,112161.84500000236,112159.18000000238,110674.66,110683.7349999987,110691.077,112173.83,,,
Trial,flow.Sequence,0_3_0,2021-04-22T00:48:35.056Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5716.216000002372,,completion,,,,,,,,,2,,,,,,,,I,S,O,,112163.11999999743,112159.18000000238,106426.607,106440.45999999798,106442.964,112173.83,,,
Sounds,html.Screen,0_3_1_0,2021-04-22T00:48:39.300Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4247.979999999996,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,116407.35999999742,116405.499,112157.344,112163.82000000158,112173.83,116421.81,,,
Judgement,html.Screen,0_3_1_1,2021-04-22T00:48:40.135Z,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,818.0449999998091,,response,,,,,,,,,1,,3,click #choice-3,,,,,S,O,I,,117242.1800000011,117239.8549999998,116405.499,116407.89000000223,116421.81,117254.783,,,
Trial,flow.Sequence,0_3_1,2021-04-22T00:48:40.136Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5066.024999999805,,completion,,,,,,,,,1,,,,,,,,S,O,I,,117243.054999999,117239.8549999998,112157.344,112163.59499999817,112173.83,117254.783,,,
Sounds,html.Screen,0_3_2_0,2021-04-22T00:48:44.381Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4248.633000000002,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,121488.44000000099,121486.573,117238.538,117243.77999999706,117254.783,121503.416,,,
Judgement,html.Screen,0_3_2_1,2021-04-22T00:48:45.985Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,1586.263999997318,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,123092.00499999861,123089.67999999732,121486.573,121488.94000000291,121503.416,123102.23,,,
Trial,flow.Sequence,0_3_2,2021-04-22T00:48:45.986Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5834.89699999732,,completion,,,,,,,,,1,,,,,,,,S,I,O,,123092.77000000293,123089.67999999732,117238.538,117243.55500000092,117254.783,123102.23,,,
Sounds,html.Screen,0_3_3_0,2021-04-22T00:48:50.229Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4248.491999999998,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,127336.13000000332,127333.994,123085.838,123093.39000000182,123102.23,127350.722,,,
Judgement,html.Screen,0_3_3_1,2021-04-22T00:48:51.445Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,1198.6480000006413,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,128551.74499999703,128549.37000000064,127333.994,127336.62000000186,127350.722,128566.558,,,
Trial,flow.Sequence,0_3_3,2021-04-22T00:48:51.446Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5447.14000000064,,completion,,,,,,,,,2,,,,,,,,O,S,I,,128552.50499999966,128549.37000000064,123085.838,123093.16499999841,123102.23,128566.558,,,
Sounds,html.Screen,0_3_4_0,2021-04-22T00:48:55.693Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4247.9909999999945,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,132800.08500000258,132798.213,128550.069,128553.07999999786,128566.558,132814.549,,,
Judgement,html.Screen,0_3_4_1,2021-04-22T00:48:56.385Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,674.996000004001,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,133491.909999997,133489.545000004,132798.213,132800.53500000213,132814.549,133497.619,,,
Trial,flow.Sequence,0_3_4,2021-04-22T00:48:56.386Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4922.9870000039955,,completion,,,,,,,,,3,,,,,,,,O,I,S,,133492.64499999845,133489.545000004,128550.069,128552.90000000241,128566.558,133497.619,,,
Sounds,html.Screen,0_3_5_0,2021-04-22T00:49:00.624Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4248.0749999999825,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,137730.79999999754,137729.138,133481.265,133493.21500000224,133497.619,137745.694,,,
Judgement,html.Screen,0_3_5_1,2021-04-22T00:49:01.225Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,583.9059999973106,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,138331.8599999984,138329.5999999973,137729.138,137731.26000000047,137745.694,138362.132,,,
Trial,flow.Sequence,0_3_5,2021-04-22T00:49:01.226Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4831.980999997293,,completion,,,,,,,,,3,,,,,,,,I,O,S,,138332.58999999816,138329.5999999973,133481.265,133493.02999999782,133497.619,138362.132,,,
Task,flow.Loop,0_3,2021-04-22T00:49:01.244Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31886.635999997292,,completion,,,0.8333333333333334,,,,,,,,,,,,,,,,,,138350.76999999728,138329.5999999973,106426.607,106440.22000000405,106442.964,138362.132,,,
Trap,html.Screen,0_4,2021-04-22T00:49:01.248Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,skipped,,,,,,,,,,,,,,,,,,,,,138355.27000000002,138329.5999999973,,138354.7749999998,,138362.132,,,
Thanks,html.Screen,0_5,2021-04-22T00:49:04.745Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3487.5429999976477,,response,,,,,,,,,,,continue,click button,,,,,,,,,141851.92999999708,141849.67499999766,138329.093,138355.73999999906,138362.132,147108.598,,,
Headphone screening,flow.Sequence,0,2021-04-22T00:49:04.746Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129165.08899999766,,completion,,,,,,,,,,,,,,,,,,,,,141852.65000000072,141849.67499999766,12617.969,12631.900000000314,12684.586,147108.598,,,
Instructions,html.Page,1_0,2021-04-22T00:49:45.452Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35444.9070000035,,form submission,,,,,,,,,,,,,,,,,,,,,182554.4200000004,182553.5050000035,147058.302,147097.67000000284,147108.598,182559.147,,,
Holding screen,html.Screen,1_1_0_0,2021-04-22T00:49:55.438Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10045.453000000009,,timeout,,,,,,,,,,,,,,,,,,,,,192539.94500000408,192538.32,182542.732,182555.2699999971,182559.147,192604.6,,,
screen,html.Screen,1_1_0_1_0,2021-04-22T00:49:56.197Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,686.9399999983434,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,When -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,193299.55499999778,193291.53999999835,192538.32,192540.68499999994,192604.6,193304.35,,0,When
screen,html.Screen,1_1_0_1_1,2021-04-22T00:49:56.483Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,279.41500000303495,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,---- it ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,193585.404999998,193583.76500000304,193287.947,193300.10500000208,193304.35,193606.571,,1,it
screen,html.Screen,1_1_0_1_2,2021-04-22T00:49:56.781Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,274.96900000213645,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,---- -- comes -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,193883.24999999895,193881.54000000213,193571.051,193585.87000000261,193606.571,193887.433,,2,comes
screen,html.Screen,1_1_0_1_3,2021-04-22T00:49:57.148Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,359.0569999977306,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- to ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,194250.07999999798,194246.48999999772,193871.029,193883.7249999997,193887.433,194253.93,,3,to
screen,html.Screen,1_1_0_1_4,2021-04-22T00:49:57.328Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,174.46999999706168,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- having - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,194429.88499999774,194428.39999999705,194237.532,194250.5600000004,194253.93,194437.191,,4,having
screen,html.Screen,1_1_0_1_5,2021-04-22T00:49:57.496Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,159.47899999900255,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ a ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,194598.0849999978,194596.669999999,194420.786,194430.35999999847,194437.191,194603.759,,5,a
