sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-04-17T16:10:56.841Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_e/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1280,""screen_height"":720,""scroll_width"":1280,""scroll_height"":562,""window_innerWidth"":1280,""window_innerHeight"":610,""devicePixelRatio"":1.5}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,5778.676999993651,,response,,,,,,,,,,,continue,click button,,,,,,,,,40202.60000001872,40196.67999999365,34368.027,34376.17499998305,34418.003,40217.338,{},,
Volume calibration,html.Screen,0_1,2021-04-17T16:11:28.786Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31924.676999990348,,response,,,,,,,,,,,continue,click button,,,,,,,,,72147.28999999352,72142.01499999035,40183.972,40203.504999983124,40217.338,72146.45,,,
Task instructions,html.Screen,0_2,2021-04-17T16:11:57.370Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28582.750000001586,,response,,,,,,,,,,,continue,click button,,,,,,,,,100730.91500002192,100729.20000000158,72129.921,72147.71500002826,72146.45,100742.741,,,
Sounds,html.Screen,0_3_0_0,2021-04-17T16:12:01.620Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.490000000005,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,104980.63000000548,104975.722,100726.4,100731.31499998271,100742.741,104992.231,,,
Judgement,html.Screen,0_3_0_1,2021-04-17T16:12:04.156Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,2524.1889999999257,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,107517.38000003388,107516.41999999993,104975.722,104980.92000000179,104992.231,107525.255,,,
Trial,flow.Sequence,0_3_0,2021-04-17T16:12:04.157Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6773.678999999931,,completion,,,,,,,,,3,,,,,,,,I,O,S,,107517.760000017,107516.41999999993,100726.4,100731.22000001604,100742.741,107525.255,,,
Sounds,html.Screen,0_3_1_0,2021-04-17T16:12:08.398Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.792999999991,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,111759.53500001924,111758.126,107508.601,107517.92499999283,107525.255,111775.048,,,
Judgement,html.Screen,0_3_1_1,2021-04-17T16:12:09.082Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,665.8770000026125,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,112443.12499999069,112440.92500000261,111758.126,111759.81499999762,111775.048,112457.895,,,
Trial,flow.Sequence,0_3_1,2021-04-17T16:12:09.082Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4915.670000002603,,completion,,,,,,,,,3,,,,,,,,O,I,S,,112443.57000000309,112440.92500000261,107508.601,107517.87999999942,107525.255,112457.895,,,
Sounds,html.Screen,0_3_2_0,2021-04-17T16:12:13.331Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.471999999994,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,116692.15000001714,116690.7,112441.314,112443.815000006,112457.895,116707.367,,,
