sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-04-22T15:20:22.911Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_e/"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""en-gb"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":685,""window_innerWidth"":1440,""window_innerHeight"":733,""devicePixelRatio"":2}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,43551.000000000015,,response,,,,,,,,,,,continue,click button,,,,,,,,,70974,70948.00000000001,27397,27375,27425,70997,{},,
Volume calibration,html.Screen,0_1,2021-04-22T15:21:18.283Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55379,,response,,,,,,,,,,,continue,click button,,,,,,,,,126348,126360,70981,70974,70997,126374,,,
Task instructions,html.Screen,0_2,2021-04-22T15:22:15.198Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56922,,response,,,,,,,,,,,continue,click button,,,,,,,,,183264,183279,126357,126348,126374,183295,,,
Sounds,html.Screen,0_3_0_0,2021-04-22T15:22:19.463Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4251,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,187529,187529,183279,183264,183295,187546,,,
Judgement,html.Screen,0_3_0_1,2021-04-22T15:22:21.064Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,1616,,response,,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,189130,189145,187529,187530,187546,189159,,,
Trial,flow.Sequence,0_3_0,2021-04-22T15:22:21.064Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5850,,completion,,,,,,,,,2,,,,,,,,I,S,O,,189131,189145,183279,183264,183295,189159,,,
Sounds,html.Screen,0_3_1_0,2021-04-22T15:22:25.330Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4253,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,193396.00000000003,193396,189142,189131,189159,193412,,,
Judgement,html.Screen,0_3_1_1,2021-04-22T15:22:26.040Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,726,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,194107,194122,193396,193397,193412,194128,,,
Trial,flow.Sequence,0_3_1,2021-04-22T15:22:26.040Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4963,,completion,,,,,,,,,3,,,,,,,,O,I,S,,194107,194122,189142,189131,189159,194128,,,
Sounds,html.Screen,0_3_2_0,2021-04-22T15:22:30.285Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4241,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,198352,198351,194111,194107,194128,198369,,,
Judgement,html.Screen,0_3_2_1,2021-04-22T15:22:30.990Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,721,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,199057.00000000003,199072,198351,198352,198369,199081,,,
Trial,flow.Sequence,0_3_2,2021-04-22T15:22:30.990Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4944,,completion,,,,,,,,,3,,,,,,,,I,O,S,,199057.00000000003,199072,194111,194107,194128,199081,,,
Sounds,html.Screen,0_3_3_0,2021-04-22T15:22:35.249Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4251,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,203316,203315,199065,199057.00000000003,199081,203332,,,
Judgement,html.Screen,0_3_3_1,2021-04-22T15:22:35.809Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,577,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,203876,203892,203315,203316,203332,203902,,,
Trial,flow.Sequence,0_3_3,2021-04-22T15:22:35.809Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4811,,completion,,,,,,,,,2,,,,,,,,O,S,I,,203876,203892,199065,199057.00000000003,199081,203902,,,
Sounds,html.Screen,0_3_4_0,2021-04-22T15:22:40.068Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,208135,208135,203886,203876,203902,208152,,,
Judgement,html.Screen,0_3_4_1,2021-04-22T15:22:40.799Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,747,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,208866,208882,208135,208135,208152,208895,,,
Trial,flow.Sequence,0_3_4,2021-04-22T15:22:40.799Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4980,,completion,,,,,,,,,1,,,,,,,,S,O,I,,208866,208882,203886,203876,203902,208895,,,
Sounds,html.Screen,0_3_5_0,2021-04-22T15:22:45.063Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4252,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,213130,213130,208879,208867,208895,213147,,,
Judgement,html.Screen,0_3_5_1,2021-04-22T15:22:45.598Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,550,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,213665,213680,213130,213130,213147,213694,,,
Trial,flow.Sequence,0_3_5,2021-04-22T15:22:45.598Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4785,,completion,,,,,,,,,1,,,,,,,,S,I,O,,213665,213680,208879,208867,208895,213694,,,
Task,flow.Loop,0_3,2021-04-22T15:22:45.600Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30385,,completion,,,1,,,,,,,,,,,,,,,,,,213667,213680,183279,183264,183295,213694,,,
Trap,html.Screen,0_4,2021-04-22T15:22:45.601Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,skipped,,,,,,,,,,,,,,,,,,,,,213668,213680,,213668,,213694,,,
Thanks,html.Screen,0_5,2021-04-22T15:22:53.006Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7413,,response,,,,,,,,,,,continue,click button,,,,,,,,,221073,221089,213676,213668,213694,224048,,,
Headphone screening,flow.Sequence,0,2021-04-22T15:22:53.006Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193664,,completion,,,,,,,,,,,,,,,,,,,,,221074,221089,27397,27375,27425,224048,,,
Instructions,html.Page,1_0,2021-04-22T15:23:33.425Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37445,,form submission,,,,,,,,,,,,,,,,,,,,,261494.00000000003,261493,224032,224011,224048,261510,,,
Holding screen,html.Screen,1_1_0_0,2021-04-22T15:23:43.430Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10017,,timeout,,,,,,,,,,,,,,,,,,,,,271499,271499,261499,261494.00000000003,261510,271527,,,
screen,html.Screen,1_1_0_1_0,2021-04-22T15:23:44.525Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,1110,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,When -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,272595,272609,271499,271500,271527,272633,,0,When
screen,html.Screen,1_1_0_1_1,2021-04-22T15:23:45.254Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,723,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,---- it ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,273323,273339,272616,272595,272633,273366,,1,it
screen,html.Screen,1_1_0_1_2,2021-04-22T15:23:45.822Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,559,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,---- -- comes -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,273892,273908,273349,273323,273366,273933,,2,comes
screen,html.Screen,1_1_0_1_3,2021-04-22T15:23:46.622Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,792,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- to ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,274691.00000000006,274707,273915,273892,273933,274733,,3,to
screen,html.Screen,1_1_0_1_4,2021-04-22T15:23:47.207Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,577.0000000000582,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- having - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,275276,275292.00000000006,274715,274691.00000000006,274733,275303,,4,having
screen,html.Screen,1_1_0_1_5,2021-04-22T15:23:47.764Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,547,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ a ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,275833,275834,275287,275276,275303,275878,,5,a
screen,html.Screen,1_1_0_1_6,2021-04-22T15:23:48.193Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,422,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - lasting --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,276262,276278,275856,275833,275878,276304,,6,lasting
screen,html.Screen,1_1_0_1_7,2021-04-22T15:23:48.782Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,580,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- and ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,276852.00000000006,276868,276288,276262,276304,276887,,7,and
