sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-04-22T13:57:39.571Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_d/"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.3 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""en-gb"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1280,""screen_height"":800,""scroll_width"":1280,""scroll_height"":689,""window_innerWidth"":1280,""window_innerHeight"":737,""devicePixelRatio"":2}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1507,,response,,,,,,,,,,,continue,click button,,,,,,,,,8035,7909,6402,6377,6418,8053,{},,
Volume calibration,html.Screen,0_1,2021-04-22T13:58:05.093Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25387,,response,,,,,,,,,,,continue,click button,,,,,,,,,33555,33427,8040,8035,8053,33578,,,
Task instructions,html.Screen,0_2,2021-04-22T13:58:19.022Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13797.000000000007,,response,,,,,,,,,,,continue,click button,,,,,,,,,47484,47358.00000000001,33561,33556,33578,47508,,,
Sounds,html.Screen,0_3_0_0,2021-04-22T13:58:23.281Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4252,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,51744,51743,47492,47485,47508,51760,,,
Judgement,html.Screen,0_3_0_1,2021-04-22T13:58:24.583Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,1175,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,53045,52918,51743,51744,51760,53077,,,
Trial,flow.Sequence,0_3_0,2021-04-22T13:58:24.584Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5410,,completion,,,,,,,,,1,,,,,,,,S,O,I,,53046,52918,47492,47485,47508,53077,,,
Sounds,html.Screen,0_3_1_0,2021-04-22T13:58:28.854Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4255,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,57316,57315,53061,53047.00000000001,53077,57332,,,
Judgement,html.Screen,0_3_1_1,2021-04-22T13:58:29.535Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,555.0000000000073,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,57997,57870.00000000001,57315,57316,57332,58017,,,
Trial,flow.Sequence,0_3_1,2021-04-22T13:58:29.535Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4793.000000000007,,completion,,,,,,,,,3,,,,,,,,O,I,S,,57997,57870.00000000001,53061,53047.00000000001,53077,58017,,,
Sounds,html.Screen,0_3_2_0,2021-04-22T13:58:33.789Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4251,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,62251.00000000001,62251,57999,57997,58017,62268,,,
