sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2021-04-28T17:02:08.787Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific_music_b/"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":785,""window_innerWidth"":1440,""window_innerHeight"":785,""devicePixelRatio"":1}",,,,,,,,,,,,,,,5c49c25ef2ed2b0001d62a64,,,,,,,,,,,,,,,8024,,form submission,,,,,,,,,,,,,,,,,,,,,19187,19186,11156,9092,11162,19219,{},,
Introduction,html.Screen,1_0,2021-04-28T17:02:11.547Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2459,,response,,,,,,,,,,,continue,click button,,,,,,,,,21947,21663,19204,19188,19219,21978,,,
Volume calibration,html.Screen,1_1,2021-04-28T17:02:17.410Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5561,,response,,,,,,,,,,,continue,click button,,,,,,,,,27809,27523,21962,21947,21978,27847,,,
Task instructions,html.Screen,1_2,2021-04-28T17:02:23.682Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5967.000000000007,,response,,,,,,,,,,,continue,click button,,,,,,,,,34081,33797.00000000001,27830,27809,27847,34116,,,
Sounds,html.Screen,1_3_0_0,2021-04-28T17:02:27.948Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4246,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,38347,38346,34100,34082,34116,38362,,,
Judgement,html.Screen,1_3_0_1,2021-04-28T17:02:29.536Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,1305,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,39935,39651,38346,38348,38362,39967,,,
Trial,flow.Sequence,1_3_0,2021-04-28T17:02:29.537Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5535,,completion,,,,,,,,,2,,,,,,,,O,S,I,,39936,39651,34100,34082,34116,39967,,,
Sounds,html.Screen,1_3_1_0,2021-04-28T17:02:33.799Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4246,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,44198,44197,39950,39936,39967,44213,,,
Judgement,html.Screen,1_3_1_1,2021-04-28T17:02:34.425Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,343,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,44824,44540,44197,44198,44213,44866,,,
Trial,flow.Sequence,1_3_1,2021-04-28T17:02:34.425Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4573,,completion,,,,,,,,,3,,,,,,,,I,O,S,,44825,44540,39950,39936,39967,44866,,,
Sounds,html.Screen,1_3_2_0,2021-04-28T17:02:38.697Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4246,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,49096,49096,44850,44825,44866,49112,,,
Judgement,html.Screen,1_3_2_1,2021-04-28T17:02:39.231Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,250,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,49630,49346,49096,49097,49112,49664,,,
Trial,flow.Sequence,1_3_2,2021-04-28T17:02:39.232Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4480,,completion,,,,,,,,,1,,,,,,,,S,I,O,,49631,49346,44850,44825,44866,49664,,,
Sounds,html.Screen,1_3_3_0,2021-04-28T17:02:43.496Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4246,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,53895,53894,49647,49631,49664,53910,,,
Judgement,html.Screen,1_3_3_1,2021-04-28T17:02:43.971Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,191,,response,,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,54370.00000000001,54085,53894,53895,53910,54412,,,
Trial,flow.Sequence,1_3_3,2021-04-28T17:02:43.972Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4421,,completion,,,,,,,,,2,,,,,,,,I,S,O,,54371,54085,49647,49631,49664,54412,,,
Sounds,html.Screen,1_3_4_0,2021-04-28T17:02:48.243Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4246,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,58642,58641,54395,54371,54412,58658,,,
Judgement,html.Screen,1_3_4_1,2021-04-28T17:02:48.718Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,190,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,59116,58831,58641,58642,58658,59160,,,
Trial,flow.Sequence,1_3_4,2021-04-28T17:02:48.718Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4419,,completion,,,,,,,,,1,,,,,,,,S,O,I,,59117.00000000001,58831,54395,54371,54412,59160,,,
Sounds,html.Screen,1_3_5_0,2021-04-28T17:02:52.991Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4247,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,63390,63389,59143,59117.00000000001,59160,63407,,,
