sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-04-11T14:49:30.167Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_a/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-US"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":577,""window_innerWidth"":1366,""window_innerHeight"":625,""devicePixelRatio"":1}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,5098.099000062881,,response,,,,,,,,,,,continue,click button,,,,,,,,,64683.72499989346,64672.77000006288,59457.479,59461.37999999337,59574.671,64724.044,{},,
Volume calibration,html.Screen,0_1,2021-04-11T14:49:54.053Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23831.83599988347,,response,,,,,,,,,,,continue,click button,,,,,,,,,88569.73499991,88555.87999988347,64673.682,64686.23499991372,64724.044,88568.032,,,
Task instructions,html.Screen,0_2,2021-04-11T14:50:04.391Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10340.298000005656,,response,,,,,,,,,,,continue,click button,,,,,,,,,98911.04499995708,98908.33000000566,88551.738,88570.42000000365,88568.032,98915.735,,,
Sounds,html.Screen,0_3_0_0,2021-04-11T14:50:08.641Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.4679999999935,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,103161.28999995999,103148.82,98899.851,98912.19999990426,98915.735,103165.203,,,
Judgement,html.Screen,0_3_0_1,2021-04-11T14:50:09.965Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,1317.3219998830318,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,104485.175000038,104482.52499988303,103148.82,103161.73500008881,103165.203,104497.919,,,
Trial,flow.Sequence,0_3_0,2021-04-11T14:50:09.966Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5566.789999883025,,completion,,,,,,,,,2,,,,,,,,O,S,I,,104486.59499990754,104482.52499988303,98899.851,98911.92999994382,98915.735,104497.919,,,
Sounds,html.Screen,0_3_1_0,2021-04-11T14:50:14.215Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4248.97600000001,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,108734.79499993846,108730.653,104481.016,104487.37500002608,104497.919,108746.895,,,
Judgement,html.Screen,0_3_1_1,2021-04-11T14:50:14.882Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,653.6500000986416,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,109402.20999997109,109400.54500009865,108730.653,108736.51499999687,108746.895,109413.268,,,
Trial,flow.Sequence,0_3_1,2021-04-11T14:50:14.883Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4902.626000098651,,completion,,,,,,,,,1,,,,,,,,S,O,I,,109402.79500000179,109400.54500009865,104481.016,104487.14000009932,104497.919,109413.268,,,
Sounds,html.Screen,0_3_2_0,2021-04-11T14:50:19.128Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4248.981,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,113648.06500007398,113645.597,109396.691,109403.24499993585,109413.268,113662.249,,,
