sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-04-12T17:01:32.163Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_b/"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":741,""window_innerWidth"":1440,""window_innerHeight"":741,""devicePixelRatio"":1}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,10328,,response,,,,,,,,,,,continue,click button,,,,,,,,,21170,21099,10771,10727,10779,21214,{},,
Volume calibration,html.Screen,0_1,2021-04-12T17:02:04.680Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32419,,response,,,,,,,,,,,continue,click button,,,,,,,,,53686,53615,21196,21171,21214,53716,,,
Task instructions,html.Screen,0_2,2021-04-12T17:02:34.360Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29595,,response,,,,,,,,,,,continue,click button,,,,,,,,,83365,83294,53699,53686,53716,83401,,,
Sounds,html.Screen,0_3_0_0,2021-04-12T17:02:38.632Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,87636,87635,83384,83365,83401,87651,,,
Judgement,html.Screen,0_3_0_1,2021-04-12T17:02:43.080Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,4378,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,92084,92013,87635,87637,87651,92119,,,
Trial,flow.Sequence,0_3_0,2021-04-12T17:02:43.081Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8612,,completion,,,,,,,,,3,,,,,,,,I,O,S,,92085.00000000001,92013,83384,83365,83401,92119,,,
Sounds,html.Screen,0_3_1_0,2021-04-12T17:02:47.349Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,96353.00000000001,96352,92102,92085.00000000001,92119,96368,,,
Judgement,html.Screen,0_3_1_1,2021-04-12T17:02:52.346Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,4924,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,101349,101276,96352,96353.00000000001,96368,101386,,,
Trial,flow.Sequence,0_3_1,2021-04-12T17:02:52.347Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9157,,completion,,,,,,,,,2,,,,,,,,O,S,I,,101350.00000000001,101276,92102,92085.00000000001,92119,101386,,,
Sounds,html.Screen,0_3_2_0,2021-04-12T17:02:56.616Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,105619,105619,101369,101350.00000000001,101386,105635,,,
