sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-04-26T12:42:44.395Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_c/"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36"",""platform"":""MacIntel"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1401,""scroll_height"":600,""window_innerWidth"":1401,""window_innerHeight"":648,""devicePixelRatio"":2}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,9384.190999999886,,response,,,,,,,,,,,continue,click button,,,,,,,,,16746.099999999842,16741.309999999885,7323.787,7339.574999999968,7357.119,16749.917,{},,
Volume calibration,html.Screen,0_1,2021-04-26T12:42:58.536Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14129.712999999905,,response,,,,,,,,,,,continue,click button,,,,,,,,,30887.444999999843,30879.629999999906,16733.251,16746.69999999969,16749.917,30887.509,,,
Task instructions,html.Screen,0_2,2021-04-26T12:43:11.666Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13125.650999999976,,response,,,,,,,,,,,continue,click button,,,,,,,,,44017.579999999725,44013.159999999974,30870.843,30887.87999999977,30887.509,44030.001,,,
Sounds,html.Screen,0_3_0_0,2021-04-26T12:43:15.911Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4243.578000000001,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,48263.5150000001,48256.913,44013.335,44017.939999999726,44030.001,48273.579,,,
Judgement,html.Screen,0_3_0_1,2021-04-26T12:43:17.413Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,1487.6309999996665,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,49765.724999999744,49761.209999999664,48256.913,48263.77499999989,48273.579,49773.519,,,
Trial,flow.Sequence,0_3_0,2021-04-26T12:43:17.414Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5731.208999999668,,completion,,,,,,,,,3,,,,,,,,O,I,S,,49766.29000000002,49761.209999999664,44013.335,44017.855000000054,44030.001,49773.519,,,
Sounds,html.Screen,0_3_1_0,2021-04-26T12:43:21.657Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.830000000002,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,54009.38999999971,54006.683,49756.853,49766.529999999875,49773.519,54023.349,,,
Judgement,html.Screen,0_3_1_1,2021-04-26T12:43:24.444Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,2769.166000000092,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,56796.5949999998,56792.515000000094,54006.683,54009.67999999966,54023.349,56796.924,,,
Trial,flow.Sequence,0_3_1,2021-04-26T12:43:24.444Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7018.996000000094,,completion,,,,,,,,,1,,,,,,,,S,O,I,,56796.93499999985,56792.515000000094,49756.853,49766.459999999825,49773.519,56796.924,,,
Sounds,html.Screen,0_3_2_0,2021-04-26T12:43:28.679Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.830000000002,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,61031.489999999845,61030.088,56780.258,56797.15499999975,56796.924,61046.754,,,
Judgement,html.Screen,0_3_2_1,2021-04-26T12:43:30.676Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,1976.5959999999322,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,63028.53999999979,63023.34999999993,61030.088,61031.68000000005,61046.754,63030.008,,,
Trial,flow.Sequence,0_3_2,2021-04-26T12:43:30.676Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6226.425999999934,,completion,,,,,,,,,2,,,,,,,,O,S,I,,63028.84999999969,63023.34999999993,56780.258,56797.0849999997,56796.924,63030.008,,,
Sounds,html.Screen,0_3_3_0,2021-04-26T12:43:34.913Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.830000000002,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,67265.77499999985,67263.172,63013.342,63029.05499999997,63030.008,67279.838,,,
