sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-04-21T07:53:59.289Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_d/"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.1 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""en-gb"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":789,""window_innerWidth"":1440,""window_innerHeight"":837,""devicePixelRatio"":1}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,18114,,response,,,,,,,,,,,continue,click button,,,,,,,,,24334,24358,6244,6222,6259,24360,{},,
Volume calibration,html.Screen,0_1,2021-04-21T07:54:24.589Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25318.000000000007,,response,,,,,,,,,,,continue,click button,,,,,,,,,49635,49663.00000000001,24345,24335,24360,49662,,,
Task instructions,html.Screen,0_2,2021-04-21T07:54:35.962Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11391,,response,,,,,,,,,,,continue,click button,,,,,,,,,61008,61037,49646,49635,49662,61030,,,
Sounds,html.Screen,0_3_0_0,2021-04-21T07:54:40.220Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4251,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,65266.00000000001,65264,61014,61009,61030,65281,,,
Judgement,html.Screen,0_3_0_1,2021-04-21T07:54:41.178Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,989,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,66224,66253,65264,65266.00000000001,65281,66247,,,
Trial,flow.Sequence,0_3_0,2021-04-21T07:54:41.178Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5223,,completion,,,,,,,,,1,,,,,,,,S,O,I,,66224,66253,61014,61008,61030,66247,,,
Sounds,html.Screen,0_3_1_0,2021-04-21T07:54:45.434Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,70480,70480,66230,66225,66247,70497,,,
Judgement,html.Screen,0_3_1_1,2021-04-21T07:54:46.052Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,647,,response,,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,71098,71127,70480,70481,70497,71131,,,
Trial,flow.Sequence,0_3_1,2021-04-21T07:54:46.052Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4880,,completion,,,,,,,,,2,,,,,,,,I,S,O,,71099,71127,66230,66224,66247,71131,,,
Sounds,html.Screen,0_3_2_0,2021-04-21T07:54:50.318Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4251,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,75364,75364,71115,71099,71131,75382,,,
Judgement,html.Screen,0_3_2_1,2021-04-21T07:54:50.760Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,471.00000000001455,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,75806,75835.00000000001,75364,75364,75382,75831,,,
Trial,flow.Sequence,0_3_2,2021-04-21T07:54:50.760Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4704.000000000015,,completion,,,,,,,,,2,,,,,,,,O,S,I,,75806,75835.00000000001,71115,71099,71131,75831,,,
Sounds,html.Screen,0_3_3_0,2021-04-21T07:54:55.019Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,80065,80065,75815,75807,75831,80081,,,
Judgement,html.Screen,0_3_3_1,2021-04-21T07:54:55.433Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,443,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,80479,80508,80065,80066,80081,80498,,,
Trial,flow.Sequence,0_3_3,2021-04-21T07:54:55.433Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4677,,completion,,,,,,,,,1,,,,,,,,S,I,O,,80479,80508,75815,75807,75831,80498,,,
Sounds,html.Screen,0_3_4_0,2021-04-21T07:54:59.686Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,84732,84732,80481,80479,80498,84748,,,
Judgement,html.Screen,0_3_4_1,2021-04-21T07:55:00.096Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,440,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,85142,85172,84732,84732,84748,85165,,,
Trial,flow.Sequence,0_3_4,2021-04-21T07:55:00.096Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4674,,completion,,,,,,,,,3,,,,,,,,O,I,S,,85143,85172,80481,80479,80498,85165,,,
Sounds,html.Screen,0_3_5_0,2021-04-21T07:55:04.352Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,89399,89399,85148,85143,85165,89415,,,
Judgement,html.Screen,0_3_5_1,2021-04-21T07:55:04.732Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,410,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,89779,89809,89399,89399,89415,89816,,,
Trial,flow.Sequence,0_3_5,2021-04-21T07:55:04.733Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4644,,completion,,,,,,,,,3,,,,,,,,I,O,S,,89779,89809,85148,85143,85165,89816,,,
Task,flow.Loop,0_3,2021-04-21T07:55:04.735Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28779,,completion,,,1,,,,,,,,,,,,,,,,,,89782,89809,61014,61008,61030,89816,,,
Trap,html.Screen,0_4,2021-04-21T07:55:04.737Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,skipped,,,,,,,,,,,,,,,,,,,,,89783,89809,,89783,,89816,,,
Thanks,html.Screen,0_5,2021-04-21T07:55:10.111Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5389,,response,,,,,,,,,,,continue,click button,,,,,,,,,95158,95188,89799,89784,89816,97799,,,
Headphone screening,flow.Sequence,0,2021-04-21T07:55:10.111Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88929,,completion,,,,,,,,,,,,,,,,,,,,,95158,95188,6244,6221,6259,97799,,,
Instructions,html.Page,1_0,2021-04-21T07:55:34.027Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21275,,form submission,,,,,,,,,,,,,,,,,,,,,119074,119074,97790,97773,97799,119101,,,
Holding screen,html.Screen,1_1_0_0,2021-04-21T07:55:44.038Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10016,,timeout,,,,,,,,,,,,,,,,,,,,,129086.00000000001,129085,119084,119075,119101,129117,,,
