sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-04-23T16:23:10.273Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_e/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1536,""screen_height"":864,""scroll_width"":1536,""scroll_height"":706,""window_innerWidth"":1536,""window_innerHeight"":754,""devicePixelRatio"":1.25}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395652.8759999946,,response,,,,,,,,,,,continue,click button,,,,,,,,,1602731.4049999986,1602729.1149999946,207042.895,15839.46499999729,207076.239,1602743.504,{},,
Volume calibration,html.Screen,0_1,2021-04-23T16:24:22.412Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72124.10099997767,,response,,,,,,,,,,,continue,click button,,,,,,,,,1674870.2150000026,1674867.6049999776,1602726.88,1602731.684999977,1602743.504,1674876.836,,,
Task instructions,html.Screen,0_2,2021-04-23T16:24:44.935Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22516.438999980455,,response,,,,,,,,,,,continue,click button,,,,,,,,,1697394.1199999826,1697393.2749999803,1674860.247,1674870.3149999783,1674876.836,1697410.22,,,
Sounds,html.Screen,0_3_0_0,2021-04-23T16:24:49.187Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.954000000143,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,1701645.679999987,1701643.642,1697393.563,1697394.254999992,1697410.22,1701660.174,,,
Judgement,html.Screen,0_3_0_1,2021-04-23T16:24:54.903Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,5700.660999999382,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,1707361.5599999903,1707360.8349999995,1701643.642,1701645.7749999827,1701660.174,1707376.898,,,
Trial,flow.Sequence,0_3_0,2021-04-23T16:24:54.904Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9950.614999999525,,completion,,,,,,,,,1,,,,,,,,S,O,I,,1707362.4949999794,1707360.8349999995,1697393.563,1697394.2349999852,1697410.22,1707376.898,,,
Sounds,html.Screen,0_3_1_0,2021-04-23T16:24:59.152Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250.010000000009,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,1711610.8449999883,1711610.257,1707360.203,1707362.5799999863,1707376.898,1711626.908,,,
Judgement,html.Screen,0_3_1_1,2021-04-23T16:25:00.230Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,1060.7269999801647,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,1712688.36499998,1712687.6349999802,1711610.257,1711610.9799999977,1711626.908,1712693.566,,,
Trial,flow.Sequence,0_3_1,2021-04-23T16:25:00.230Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5310.736999980174,,completion,,,,,,,,,2,,,,,,,,O,S,I,,1712688.594999985,1712687.6349999802,1707360.203,1707362.5549999997,1707376.898,1712693.566,,,
Sounds,html.Screen,0_3_2_0,2021-04-23T16:25:04.469Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.99599999981,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,1716927.5699999998,1716926.882,1712676.87,1712688.7500000012,1712693.566,1716943.562,,,
Judgement,html.Screen,0_3_2_1,2021-04-23T16:25:07.509Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,3023.7679999850225,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,1719967.9349999933,1719967.329999985,1716926.882,1716927.714999998,1716943.562,1719976.892,,,
Trial,flow.Sequence,0_3_2,2021-04-23T16:25:07.509Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7273.7639999848325,,completion,,,,,,,,,3,,,,,,,,I,O,S,,1719968.0549999757,1719967.329999985,1712676.87,1712688.7049999787,1712693.566,1719976.892,,,
Sounds,html.Screen,0_3_3_0,2021-04-23T16:25:11.752Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250.003999999957,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,1724211.0399999947,1724210.517,1719960.212,1719968.1249999849,1719976.892,1724226.896,,,
Judgement,html.Screen,0_3_3_1,2021-04-23T16:25:12.397Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,627.5539999844041,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,1724855.2299999865,1724854.4499999844,1724210.517,1724211.175000004,1724226.896,1724860.178,,,
Trial,flow.Sequence,0_3_3,2021-04-23T16:25:12.397Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4877.557999984361,,completion,,,,,,,,,3,,,,,,,,O,I,S,,1724855.4349999758,1724854.4499999844,1719960.212,1719968.0999999982,1719976.892,1724860.178,,,
Sounds,html.Screen,0_3_4_0,2021-04-23T16:25:16.635Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250.086999999825,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,1729094.1599999787,1729093.541,1724843.557,1724855.5649999762,1724860.178,1729110.265,,,
Judgement,html.Screen,0_3_4_1,2021-04-23T16:25:17.240Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,587.7350000040606,,response,,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,1729698.6150000012,1729698.000000004,1729093.541,1729094.2399999767,1729110.265,1729726.894,,,
Trial,flow.Sequence,0_3_4,2021-04-23T16:25:17.240Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4837.8220000038855,,completion,,,,,,,,,2,,,,,,,,I,S,O,,1729698.7199999858,1729698.000000004,1724843.557,1724855.5249999918,1724860.178,1729726.894,,,
Sounds,html.Screen,0_3_5_0,2021-04-23T16:25:21.502Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250.074000000022,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,1733961.1399999994,1733960.314,1729710.202,1729698.784999986,1729726.894,1733976.968,,,
Judgement,html.Screen,0_3_5_1,2021-04-23T16:25:22.026Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,506.7969999825582,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,1734484.3249999976,1734483.7649999827,1733960.314,1733961.3099999842,1733976.968,1734493.511,,,
Trial,flow.Sequence,0_3_5,2021-04-23T16:25:22.026Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4756.8709999825805,,completion,,,,,,,,,1,,,,,,,,S,I,O,,1734484.4199999934,1734483.7649999827,1729710.202,1729698.7649999792,1729726.894,1734493.511,,,
