sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-04-23T14:44:48.708Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_f/"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""en-gb"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":772,""window_innerWidth"":1440,""window_innerHeight"":820,""devicePixelRatio"":2}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,71637.00000000001,,response,,,,,,,,,,,continue,click button,,,,,,,,,75397,75341.00000000001,3704,3691.0000000000005,3719,75429,{},,
Volume calibration,html.Screen,0_1,2021-04-23T14:46:51.981Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123190,,response,,,,,,,,,,,continue,click button,,,,,,,,,198667,198603,75413,75397,75429,198696,,,
Task instructions,html.Screen,0_2,2021-04-23T14:47:19.924Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27873,,response,,,,,,,,,,,continue,click button,,,,,,,,,226610,226552,198679,198668,198696,226636,,,
Sounds,html.Screen,0_3_0_0,2021-04-23T14:47:24.189Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4255,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,230874,230873,226618,226610,226636,230891,,,
Judgement,html.Screen,0_3_0_1,2021-04-23T14:47:26.498Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,2252,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,233183,233125,230873,230874,230891,233209,,,
Trial,flow.Sequence,0_3_0,2021-04-23T14:47:26.499Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6489,,completion,,,,,,,,,3,,,,,,,,I,O,S,,233184,233125,226618,226610,226636,233209,,,
Sounds,html.Screen,0_3_1_0,2021-04-23T14:47:30.753Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4246,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,237438.00000000003,237438,233193,233184,233209,237455,,,
Judgement,html.Screen,0_3_1_1,2021-04-23T14:47:32.289Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,1478,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,238974.00000000003,238916,237438,237439,237455,238998,,,
Trial,flow.Sequence,0_3_1,2021-04-23T14:47:32.289Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5707,,completion,,,,,,,,,3,,,,,,,,O,I,S,,238974.00000000003,238916,233193,233184,233209,238998,,,
Sounds,html.Screen,0_3_2_0,2021-04-23T14:47:36.550Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4254,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,243235,243235,238983,238974.00000000003,238998,243252,,,
