sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2021-04-26T09:29:28.268Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific_music_a/"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36"",""platform"":""MacIntel"",""language"":""en-US"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":741,""window_innerWidth"":1440,""window_innerHeight"":789,""devicePixelRatio"":2}",,,,,,,,,,,,,,,607d65d4c6943d9d18df3733,,,,,,,,,,,,,,,6025.987999999659,,form submission,,,,,,,,,,,,,,,,,,,,,12508.600000000115,12507.96999999966,6465.316,6464.864999999918,6481.982,12502.435,{},,
Introduction,html.Screen,1_0,2021-04-26T09:29:32.273Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4006.3249999997115,,response,,,,,,,,,,,continue,click button,,,,,,,,,16513.130000000274,16508.75999999971,12485.769,12508.850000000166,12502.435,16518.941,,,
Volume calibration,html.Screen,1_1,2021-04-26T09:29:43.447Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11158.888999999632,,response,,,,,,,,,,,continue,click button,,,,,,,,,27686.32499999967,27677.82999999963,16502.275,16513.355000000047,16518.941,27695.357,,,
Task instructions,html.Screen,1_2,2021-04-26T09:29:57.560Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14099.947999999644,,response,,,,,,,,,,,continue,click button,,,,,,,,,41799.25999999978,41795.304999999644,27678.691,27686.50499999967,27695.357,41811.459,,,
Sounds,html.Screen,1_3_0_0,2021-04-26T09:30:01.817Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4255.587999999996,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,46055.98000000009,46050.381,41794.793,41799.6549999998,41811.459,46067.047,,,
Judgement,html.Screen,1_3_0_1,2021-04-26T09:30:03.813Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,1980.597999999649,,response,,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,48051.940000000286,48047.64499999965,46050.381,46056.21499999961,46067.047,48066.967,,,
Trial,flow.Sequence,1_3_0,2021-04-26T09:30:03.813Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6236.185999999645,,completion,,,,,,,,,2,,,,,,,,I,S,O,,48052.47500000041,48047.64499999965,41794.793,41799.56000000038,41811.459,48066.967,,,
Sounds,html.Screen,1_3_1_0,2021-04-26T09:30:08.063Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.830000000002,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,52301.894999999604,52300.131,48050.301,48052.71499999981,48066.967,52316.797,,,
Judgement,html.Screen,1_3_1_1,2021-04-26T09:30:09.962Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,1880.2529999997641,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,54201.170000000275,54197.04999999976,52300.131,52302.09999999988,52316.797,54210.206,,,
Trial,flow.Sequence,1_3_1,2021-04-26T09:30:09.963Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6130.082999999766,,completion,,,,,,,,,3,,,,,,,,I,O,S,,54201.474999999846,54197.04999999976,48050.301,48052.63500000001,48066.967,54210.206,,,
Sounds,html.Screen,1_3_2_0,2021-04-26T09:30:14.208Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.830000000002,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,58446.32999999976,58443.37,54193.54,54201.68999999987,54210.206,58460.036,,,
Judgement,html.Screen,1_3_2_1,2021-04-26T09:30:15.083Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,857.9590000003373,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,59322.06000000042,59317.99500000034,58443.37,58446.53500000004,58460.036,59326.668,,,
Trial,flow.Sequence,1_3_2,2021-04-26T09:30:15.084Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5107.789000000339,,completion,,,,,,,,,1,,,,,,,,S,O,I,,59322.34499999959,59317.99500000034,54193.54,54201.61499999995,54210.206,59326.668,,,
Sounds,html.Screen,1_3_3_0,2021-04-26T09:30:19.324Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.830000000002,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,63562.85000000025,63559.832,59310.002,59322.55999999961,59326.668,63576.498,,,
Judgement,html.Screen,1_3_3_1,2021-04-26T09:30:19.953Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,611.1169999998237,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,64191.87499999953,64187.61499999982,63559.832,63563.04,63576.498,64193.14,,,
Trial,flow.Sequence,1_3_3,2021-04-26T09:30:19.954Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4860.9469999998255,,completion,,,,,,,,,1,,,,,,,,S,I,O,,64192.1599999996,64187.61499999982,59310.002,59322.479999999814,59326.668,64193.14,,,
Sounds,html.Screen,1_3_4_0,2021-04-26T09:30:24.194Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4253.451000000001,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,68432.64999999973,68429.925,64176.474,64192.34500000039,64193.14,68446.591,,,
Judgement,html.Screen,1_3_4_1,2021-04-26T09:30:24.978Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,766.1489999999321,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,69216.72000000035,69212.73999999993,68429.925,68434.62499999987,68446.591,69229.893,,,
Trial,flow.Sequence,1_3_4,2021-04-26T09:30:24.979Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5019.599999999933,,completion,,,,,,,,,2,,,,,,,,O,S,I,,69217.0100000003,69212.73999999993,64176.474,64192.28999999996,64193.14,69229.893,,,
Sounds,html.Screen,1_3_5_0,2021-04-26T09:30:29.227Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.830000000002,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,73465.20500000042,73463.057,69213.227,69217.19500000018,69229.893,73479.723,,,
Judgement,html.Screen,1_3_5_1,2021-04-26T09:30:30.023Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,777.1219999998866,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,74260.8650000002,74256.84499999988,73463.057,73465.3900000003,73479.723,74263.025,,,
Trial,flow.Sequence,1_3_5,2021-04-26T09:30:30.023Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5026.951999999888,,completion,,,,,,,,,3,,,,,,,,O,I,S,,74261.23499999994,74256.84499999988,69213.227,69217.13499999986,69229.893,74263.025,,,
Task,flow.Loop,1_3,2021-04-26T09:30:30.029Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32445.385999999882,,completion,,,1,,,,,,,,,,,,,,,,,,74267.65499999965,74256.84499999988,41794.793,41799.46000000018,41811.459,74263.025,,,
Trap,html.Screen,1_4,2021-04-26T09:30:30.031Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,skipped,,,,,,,,,,,,,,,,,,,,,74268.8049999997,74256.84499999988,,74268.685,,74263.025,,,
Thanks,html.Screen,1_5,2021-04-26T09:30:33.004Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2974.9500000000116,,response,,,,,,,,,,,continue,click button,,,,,,,,,77241.97999999978,77237.975,74246.359,74268.90999999977,74263.025,81377.981,,,
Headphone screening,flow.Sequence,1,2021-04-26T09:30:33.004Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64735.54000000001,,completion,,,,,,,,,,,,,,,,,,,,,77242.24500000037,77237.975,12485.769,12508.81500000014,12502.435,81377.981,,,
Instructions,html.Page,2_0,2021-04-26T09:31:16.219Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39076.018999999724,,form submission,,,,,,,,,,,,,,,,,,,,,120455.63000000038,120453.99999999972,81361.315,81379.31500000013,81377.981,120459.751,,,
Holding screen,html.Screen,2_1_0_0,2021-04-26T09:31:26.215Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10006.077999999994,,timeout,,,,,,,,,,,,,,,,,,,,,130451.87999999963,130449.163,120443.085,120455.88000000044,120459.751,130465.829,,,
screen,html.Screen,2_1_0_1_0,2021-04-26T09:31:27.396Z,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,1157.581000000151,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,When -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,131632.86499999958,131623.41000000015,130449.163,130452.17500000035,130465.829,131641.888,,0,When
screen,html.Screen,2_1_0_1_1,2021-04-26T09:31:27.942Z,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,531.4220000001078,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,---- it ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,132179.04999999973,132173.3100000001,131625.222,131632.99000000005,131641.888,132191.866,,1,it
screen,html.Screen,2_1_0_1_2,2021-04-26T09:31:28.493Z,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,531.5289999999804,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,---- -- comes -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,132729.36000000028,132723.395,132175.2,132179.22499999986,132191.866,132741.844,,2,comes
