sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2021-04-24T14:03:00.866Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific_music_b/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1920,""scroll_height"":893,""window_innerWidth"":1920,""window_innerHeight"":941,""devicePixelRatio"":1}",,,,,,,,,,,,,,,5eb2b9988b63a203600b503d,,,,,,,,,,,,,,,2331.23199999817,,form submission,,,,,,,,,,,,,,,,,,,,,13868.470000001253,13868.15999999817,11503.567,11518.660000001546,11536.928,13870.289,{},,
Introduction,html.Screen,1_0,2021-04-24T14:03:03.844Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2974.3759999968934,,response,,,,,,,,,,,continue,click button,,,,,,,,,16846.234999989974,16844.664999996894,13853.642,13868.699999991804,13870.289,16870.353,,,
Volume calibration,html.Screen,1_1,2021-04-24T14:03:23.124Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19253.831999993305,,response,,,,,,,,,,,continue,click button,,,,,,,,,36126.015000001644,36124.184999993304,16853.775,16846.36499999033,16870.353,36137.256,,,
Task instructions,html.Screen,1_2,2021-04-24T14:03:33.446Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10310.604000000218,,response,,,,,,,,,,,continue,click button,,,,,,,,,46448.52499999979,46447.86000000022,36120.534,36126.09999999404,36137.256,46470.589,,,
Sounds,html.Screen,1_3_0_0,2021-04-24T14:03:37.703Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250.012999999999,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,50705.39999999164,50704.008,46453.905,46448.71499999135,46470.589,50720.602,,,
Judgement,html.Screen,1_3_0_1,2021-04-24T14:03:39.263Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,1544.092999990753,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,52265.4099999927,52264.69499999075,50704.008,50705.50999999978,50720.602,52270.749,,,
Trial,flow.Sequence,1_3_0,2021-04-24T14:03:39.263Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5794.105999990752,,completion,,,,,,,,,2,,,,,,,,O,S,I,,52265.65999999002,52264.69499999075,46453.905,46448.66499998898,46470.589,52270.749,,,
Sounds,html.Screen,1_3_1_0,2021-04-24T14:03:43.502Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.956999999995,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,56504.47499999427,56503.989,52254.087,52265.77499999257,52270.749,56520.706,,,
Judgement,html.Screen,1_3_1_1,2021-04-24T14:03:43.943Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,423.9639999971332,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,56945.309999995516,56944.66999999713,56503.989,56504.56999999005,56520.706,56954.122,,,
Trial,flow.Sequence,1_3_1,2021-04-24T14:03:43.943Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4673.920999997128,,completion,,,,,,,,,1,,,,,,,,S,I,O,,56945.449999999255,56944.66999999713,52254.087,52265.74000000255,52270.749,56954.122,,,
Sounds,html.Screen,1_3_2_0,2021-04-24T14:03:48.186Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250.002,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,61187.864999999874,61187.372,56937.521,56945.54999998945,56954.122,61204.124,,,
Judgement,html.Screen,1_3_2_1,2021-04-24T14:03:48.600Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,397.4659999911164,,response,,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,61602.129999999306,61601.58999999112,61187.372,61187.94499999785,61204.124,61620.666,,,
Trial,flow.Sequence,1_3_2,2021-04-24T14:03:48.600Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4647.467999991117,,completion,,,,,,,,,2,,,,,,,,I,S,O,,61602.26999998849,61601.58999999112,56937.521,56945.51999999385,56954.122,61620.666,,,
Sounds,html.Screen,1_3_3_0,2021-04-24T14:03:52.853Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250.298999999999,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,65854.89499999676,65854.293,61603.986,61602.36499999883,61620.666,65870.965,,,
Judgement,html.Screen,1_3_3_1,2021-04-24T14:03:53.242Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,372.82499999317224,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,66244.37999998918,66243.78999999317,65854.293,65854.98999999254,65870.965,66254.299,,,
Trial,flow.Sequence,1_3_3,2021-04-24T14:03:53.242Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4623.123999993171,,completion,,,,,,,,,3,,,,,,,,O,I,S,,66244.52500000189,66243.78999999317,61603.986,61602.33499998867,61620.666,66254.299,,,
Sounds,html.Screen,1_3_4_0,2021-04-24T14:03:57.486Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.812999999995,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,70487.95999999857,70487.434,66237.635,66244.61999999767,66254.299,70504.112,,,
Judgement,html.Screen,1_3_4_1,2021-04-24T14:03:57.859Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,356.7229999995034,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,70861.52999999467,70860.8349999995,70487.434,70488.04499999096,70504.112,70870.909,,,
Trial,flow.Sequence,1_3_4,2021-04-24T14:03:57.859Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4606.535999999498,,completion,,,,,,,,,1,,,,,,,,S,O,I,,70861.67499999283,70860.8349999995,66237.635,66244.59000000206,66254.299,70870.909,,,
Sounds,html.Screen,1_3_5_0,2021-04-24T14:04:02.102Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.894,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,75104.47999999451,75104.076,70854.122,70861.76999998861,70870.909,75120.803,,,
Judgement,html.Screen,1_3_5_1,2021-04-24T14:04:02.416Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,296.89699999087316,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,75418.30499999924,75417.69999999087,75104.076,75104.56500000146,75120.803,75437.53,,,
Trial,flow.Sequence,1_3_5,2021-04-24T14:04:02.416Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4546.790999990873,,completion,,,,,,,,,3,,,,,,,,I,O,S,,75418.43499999959,75417.69999999087,70854.122,70861.74500000197,70870.909,75437.53,,,
Task,flow.Loop,1_3,2021-04-24T14:04:02.419Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28947.110999990873,,completion,,,1,,,,,,,,,,,,,,,,,,75420.88999999396,75417.69999999087,46453.905,46448.61999999557,46470.589,75437.53,,,
Trap,html.Screen,1_4,2021-04-24T14:04:02.420Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,skipped,,,,,,,,,,,,,,,,,,,,,75422.34999999346,75417.69999999087,,75422.26999999548,,75437.53,,,
Thanks,html.Screen,1_5,2021-04-24T14:04:07.005Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4569.140000002488,,response,,,,,,,,,,,continue,click button,,,,,,,,,80007.33500000206,80006.67000000249,75420.82,75422.4350000004,75437.53,84154.169,,,
Headphone screening,flow.Sequence,1,2021-04-24T14:04:07.005Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66136.38100000248,,completion,,,,,,,,,,,,,,,,,,,,,80007.46500000241,80006.67000000249,13853.642,13868.6699999962,13870.289,84154.169,,,
Instructions,html.Page,2_0,2021-04-24T14:04:30.528Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19375.58100000152,,form submission,,,,,,,,,,,,,,,,,,,,,103530.09499999462,103529.75000000151,84137.557,84132.36499999766,84154.169,103537.712,,,
