sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2021-04-26T19:04:11.211Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific_music_d/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1536,""screen_height"":864,""scroll_width"":1536,""scroll_height"":674,""window_innerWidth"":1536,""window_innerHeight"":722,""devicePixelRatio"":1.25}",,,,,,,,,,,,,,,5ec390e91c38ea1e1a06c7bb,,,,,,,,,,,,,,,3787.3490000031106,,form submission,,,,,,,,,,,,,,,,,,,,,14970.980000005511,14970.71500000311,11166.66,11166.87500000262,11183.366,14980.222,{},,
Introduction,html.Screen,1_0,2021-04-26T19:04:15.126Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3904.113000002466,,response,,,,,,,,,,,continue,click button,,,,,,,,,18886.08500000555,18884.335000002466,14963.72,14971.190000003844,14980.222,18893.634,,,
Volume calibration,html.Screen,1_1,2021-04-26T19:04:25.811Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10675.576000001478,,response,,,,,,,,,,,continue,click button,,,,,,,,,29571.125000002212,29569.210000001476,18877.176,18886.210000004212,18893.634,29584.931,,,
Task instructions,html.Screen,1_2,2021-04-26T19:04:34.125Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8298.52900000456,,response,,,,,,,,,,,continue,click button,,,,,,,,,37884.57500000368,37883.46000000456,29568.575,29571.34500000393,29584.931,37894.921,,,
Sounds,html.Screen,1_3_0_0,2021-04-26T19:04:38.368Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4246.382999999994,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,42128.09500000003,42124.631,37878.237,37884.93500000186,37894.921,42141.304,,,
Judgement,html.Screen,1_3_0_1,2021-04-26T19:04:39.304Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,921.1709999988161,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,43063.60500000301,43062.47499999881,42124.631,42128.1999999992,42141.304,43073.842,,,
Trial,flow.Sequence,1_3_0,2021-04-26T19:04:39.304Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5167.5539999988105,,completion,,,,,,,,,1,,,,,,,,S,I,O,,43063.84999999864,43062.47499999881,37878.237,37884.8399999988,37894.921,43073.842,,,
Sounds,html.Screen,1_3_1_0,2021-04-26T19:04:43.544Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4246.533000000003,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,47304.24000000494,47303.724,43057.202,43063.945000001695,43073.842,47320.375,,,
Judgement,html.Screen,1_3_1_1,2021-04-26T19:04:44.168Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,606.6750000056927,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,47927.575000001525,47927.05000000569,47303.724,47304.32999999903,47320.375,47936.504,,,
Trial,flow.Sequence,1_3_1,2021-04-26T19:04:44.168Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4853.208000005696,,completion,,,,,,,,,2,,,,,,,,O,S,I,,47927.739999999176,47927.05000000569,43057.202,43063.914999998815,43073.842,47936.504,,,
Sounds,html.Screen,1_3_2_0,2021-04-26T19:04:48.407Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4246.559000000001,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,52167.294999999285,52166.414,47913.987,47927.84500000562,47936.504,52183.063,,,
Judgement,html.Screen,1_3_2_1,2021-04-26T19:04:48.935Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,511.22699999945326,,response,,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,52695.18500000413,52694.289999999455,52166.414,52167.405000000144,52183.063,52715.956,,,
Trial,flow.Sequence,1_3_2,2021-04-26T19:04:48.935Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4757.785999999454,,completion,,,,,,,,,2,,,,,,,,I,S,O,,52695.449999999255,52694.289999999455,47913.987,47927.810000001045,47936.504,52715.956,,,
Sounds,html.Screen,1_3_3_0,2021-04-26T19:04:53.186Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4246.489000000001,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,56946.4650000009,56945.797,52699.67,52695.64000000537,52715.956,56962.445,,,
Judgement,html.Screen,1_3_3_1,2021-04-26T19:04:53.765Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,561.855000004587,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,57525.235000000976,57524.30000000459,56945.797,56946.63500000024,56962.445,57545.344,,,
Trial,flow.Sequence,1_3_3,2021-04-26T19:04:53.766Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4808.344000004588,,completion,,,,,,,,,3,,,,,,,,O,I,S,,57525.49500000168,57524.30000000459,52699.67,52695.57999999961,52715.956,57545.344,,,
Sounds,html.Screen,1_3_4_0,2021-04-26T19:04:58.016Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4246.495999999999,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,61775.7150000034,61775.152,57528.961,57525.67500000441,57545.344,61791.84,,,
Judgement,html.Screen,1_3_4_1,2021-04-26T19:04:58.653Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,619.6800000014773,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,62413.01000000385,62411.520000001474,61775.152,61775.82000000257,61791.84,62424.684,,,
Trial,flow.Sequence,1_3_4,2021-04-26T19:04:58.653Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4866.1760000014765,,completion,,,,,,,,,1,,,,,,,,S,O,I,,62413.274999998976,62411.520000001474,57528.961,57525.63000000373,57545.344,62424.684,,,
Sounds,html.Screen,1_3_5_0,2021-04-26T19:05:02.896Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4246.761999999995,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,66656.07499999896,66654.575,62408.218,62413.445000005595,62424.684,66671.446,,,
Judgement,html.Screen,1_3_5_1,2021-04-26T19:05:03.656Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,743.1940000026952,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,67416.0250000059,67414.64000000269,66654.575,66656.41500000493,66671.446,67420.576,,,
Trial,flow.Sequence,1_3_5,2021-04-26T19:05:03.656Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4989.95600000269,,completion,,,,,,,,,3,,,,,,,,I,O,S,,67416.29000000103,67414.64000000269,62408.218,62413.39500000322,62424.684,67420.576,,,
Task,flow.Loop,1_3,2021-04-26T19:05:03.662Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29519.71900000269,,completion,,,1,,,,,,,,,,,,,,,,,,67421.8450000044,67414.64000000269,37878.237,37884.760000000824,37894.921,67420.576,,,
Trap,html.Screen,1_4,2021-04-26T19:05:03.663Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,skipped,,,,,,,,,,,,,,,,,,,,,67423.13999999897,67414.64000000269,,67423.0549999993,,67420.576,,,
Thanks,html.Screen,1_5,2021-04-26T19:05:06.669Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3007.208999999857,,response,,,,,,,,,,,continue,click button,,,,,,,,,70428.57999999978,70427.78499999986,67403.98,67423.22499999864,67420.576,73015.977,,,
Headphone screening,flow.Sequence,1,2021-04-26T19:05:06.669Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55447.56299999986,,completion,,,,,,,,,,,,,,,,,,,,,70428.820000001,70427.78499999986,14963.72,14971.165000002657,14980.222,73015.977,,,
Instructions,html.Page,2_0,2021-04-26T19:05:23.204Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13947.26300000459,,form submission,,,,,,,,,,,,,,,,,,,,,86963.56000000378,86963.24000000459,72999.278,73008.3700000032,73015.977,86971.168,,,
Holding screen,html.Screen,2_1_0_0,2021-04-26T19:05:33.188Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10008.519,,timeout,,,,,,,,,,,,,,,,,,,,,96947.8900000031,96946.884,86954.579,86963.83500000229,86971.168,96979.687,,,
screen,html.Screen,2_1_0_1_0,2021-04-26T19:05:34.457Z,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,1232.0430000027118,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,When -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,98217.2750000027,98211.73000000272,96946.884,96948.30500000535,96979.687,98228.777,,0,When
screen,html.Screen,2_1_0_1_1,2021-04-26T19:05:34.781Z,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,310.9280000028666,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,---- it ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,98540.69000000163,98539.70500000287,98212.341,98217.45999999985,98228.777,98544.979,,1,it
screen,html.Screen,2_1_0_1_2,2021-04-26T19:05:35.144Z,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,357.58100000226113,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,---- -- comes -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,98903.49499999866,98902.56000000227,98528.661,98540.97500000353,98544.979,98911.554,,2,comes
screen,html.Screen,2_1_0_1_3,2021-04-26T19:05:35.436Z,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,284.13600000046426,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- to ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,99196.08500000322,99195.69000000047,98895.125,98903.78500000224,98911.554,99211.593,,3,to
screen,html.Screen,2_1_0_1_4,2021-04-26T19:05:35.744Z,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,290.98200000589713,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- having - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,99503.56000000465,99502.57500000589,99194.81,99196.1700000029,99211.593,99510.979,,4,having
screen,html.Screen,2_1_0_1_5,2021-04-26T19:05:36.027Z,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,274.53600000320876,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ a ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,99786.48500000418,99785.51500000322,99494.338,99503.84000000486,99510.979,99794.086,,5,a
screen,html.Screen,2_1_0_1_6,2021-04-26T19:05:36.354Z,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,318.82400000347116,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - lasting --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,100114.11500000395,100112.91000000347,99777.809,99786.77500000049,99794.086,100127.317,,6,lasting
screen,html.Screen,2_1_0_1_7,2021-04-26T19:05:36.688Z,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,320.34799999969255,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- and ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,100448.1500000038,100447.66499999969,100110.804,100114.48000000382,100127.317,100460.474,,7,and
