sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2021-04-26T19:47:00.670Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific_music_e/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:88.0) Gecko/20100101 Firefox/88.0"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1920,""screen_height"":1200,""scroll_width"":1920,""scroll_height"":1010,""window_innerWidth"":1920,""window_innerHeight"":1058,""devicePixelRatio"":1}",,,,,,,,,,,,,,,5f5a794d3c138614328e9147,,,,,,,,,,,,,,,3027.74,,form submission,,,,,,,,,,,,,,,,,,,,,12345,12344,9299.58,9290,9316.26,12368.72,{},,
Introduction,html.Screen,1_0,2021-04-26T19:47:10.634Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9929.28,,response,,,,,,,,,,,continue,click button,,,,,,,,,22310,22298,12352.04,12346,12368.72,22326.78,,,
Volume calibration,html.Screen,1_1,2021-04-26T19:47:44.548Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33893.22,,response,,,,,,,,,,,continue,click button,,,,,,,,,56224,56220,22310.1,22311,22326.78,56254.24,,,
Task instructions,html.Screen,1_2,2021-04-26T19:47:49.043Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4448.760000000002,,response,,,,,,,,,,,continue,click button,,,,,,,,,60719,60703,56237.56,56225,56254.24,60741.18,,,
Sounds,html.Screen,1_3_0_0,2021-04-26T19:47:53.304Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4253.5,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,64980,64978,60724.5,60720,60741.18,64994.68,,,
Judgement,html.Screen,1_3_0_1,2021-04-26T19:47:55.136Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,1802.3199999999997,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,66811,66797,64978,64981,64994.68,66829.44,,,
Trial,flow.Sequence,1_3_0,2021-04-26T19:47:55.136Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6055.82,,completion,,,,,,,,,1,,,,,,,,S,O,I,,66812,66797,60724.5,60720,60741.18,66829.44,,,
Sounds,html.Screen,1_3_1_0,2021-04-26T19:47:59.392Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4253.440000000002,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,71068,71066.2,66812.76,66812,66829.44,71082.88,,,
Judgement,html.Screen,1_3_1_1,2021-04-26T19:47:59.921Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,512.1199999999953,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,71597,71595,71066.2,71068,71082.88,71616.66,,,
Trial,flow.Sequence,1_3_1,2021-04-26T19:47:59.922Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4765.559999999998,,completion,,,,,,,,,3,,,,,,,,O,I,S,,71597,71595,66812.76,66812,66829.44,71616.66,,,
Sounds,html.Screen,1_3_2_0,2021-04-26T19:48:04.180Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4253.419999999998,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,75856,75853.4,71599.98,71598,71616.66,75870.08,,,
Judgement,html.Screen,1_3_2_1,2021-04-26T19:48:04.604Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,395.91999999999825,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,76279,76266,75853.4,75856,75870.08,76303.78,,,
Trial,flow.Sequence,1_3_2,2021-04-26T19:48:04.604Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4649.3399999999965,,completion,,,,,,,,,2,,,,,,,,O,S,I,,76280,76266,71599.98,71598,71616.66,76303.78,,,
Sounds,html.Screen,1_3_3_0,2021-04-26T19:48:08.867Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4253.460000000006,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,80542,80540.56,76287.1,76280,76303.78,80557.24,,,
Judgement,html.Screen,1_3_3_1,2021-04-26T19:48:09.285Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,395.75999999999476,,response,,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,80961,80953,80540.56,80543,80557.24,80990.94,,,
