sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2021-04-30T13:23:07.914Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific_music_f/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1920,""scroll_height"":889,""window_innerWidth"":1920,""window_innerHeight"":937,""devicePixelRatio"":1}",,,,,,,,,,,,,,,5fd8ea198512a801831f6b85,,,,,,,,,,,,,,,3394.147000159741,,form submission,,,,,,,,,,,,,,,,,,,,,8858.23000012897,8858.02000015974,5447.117,5451.850000070408,5463.873,8864.09,{},,
Introduction,html.Screen,1_0,2021-04-30T13:23:16.875Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8953.245000028834,,response,,,,,,,,,,,continue,click button,,,,,,,,,17818.905000109226,17817.335000028834,8847.384,8858.3599999547,8864.09,17831.357,,,
Volume calibration,html.Screen,1_1,2021-04-30T13:23:46.259Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29370.00800010267,,response,,,,,,,,,,,continue,click button,,,,,,,,,47203.14500015229,47201.36500010267,17814.604,17819.120000116527,17831.357,47216.491,,,
Task instructions,html.Screen,1_2,2021-04-30T13:24:02.010Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15736.879000002904,,response,,,,,,,,,,,continue,click button,,,,,,,,,62953.75999994576,62953.370000002906,47199.829,47203.25500005856,47216.491,62967.369,,,
Sounds,html.Screen,1_3_0_0,2021-04-30T13:24:06.259Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250.318000000007,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,67202.20000017434,67201.018,62950.75,62953.895000042394,62967.369,67217.687,,,
Judgement,html.Screen,1_3_0_1,2021-04-30T13:24:07.642Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,1367.7030001384264,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,68585.8700000681,68585.39000013843,67201.018,67202.27500004694,67217.687,68601.065,,,
Trial,flow.Sequence,1_3_0,2021-04-30T13:24:07.642Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5618.021000138433,,completion,,,,,,,,,1,,,,,,,,S,O,I,,68586.02500008419,68585.39000013843,62950.75,62953.854999970645,62967.369,68601.065,,,
Sounds,html.Screen,1_3_1_0,2021-04-30T13:24:11.891Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250.357999999993,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,72835.05999995396,72834.723,68584.429,68586.09500015154,68601.065,72851.423,,,
Judgement,html.Screen,1_3_1_1,2021-04-30T13:24:12.714Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,805.9770001419383,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,73657.79500012286,73657.40000014193,72834.723,72835.12499998324,72851.423,73668.07,,,
Trial,flow.Sequence,1_3_1,2021-04-30T13:24:12.714Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5056.335000141931,,completion,,,,,,,,,2,,,,,,,,O,S,I,,73657.89499995299,73657.40000014193,68584.429,68586.06999996118,68601.065,73668.07,,,
Sounds,html.Screen,1_3_2_0,2021-04-30T13:24:16.958Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250.23599999999,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,77901.99499996379,77901.686,73651.418,73657.96500002034,73668.07,77918.306,,,
