sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2022-04-24T08:39:11.308Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_a/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36 Edg/100.0.1185.50"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1280,""screen_height"":720,""scroll_width"":1232,""scroll_height"":553,""window_innerWidth"":1232,""window_innerHeight"":601,""devicePixelRatio"":1.5}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,5793.445999976158,,response,,,,,,,,,,,continue,click button,,,,,,,,,15457.199999928474,15452.399999976158,9609.617,9624.199999928474,9658.954,15474.937,{},,
Volume calibration,html.Screen,0_1,2022-04-24T08:39:45.356Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34017.96299997616,,response,,,,,,,,,,,continue,click button,,,,,,,,,49505.5,49492.89999997616,15441.565,15458.199999928474,15474.937,49503.871,,,
Task instructions,html.Screen,0_2,2022-04-24T08:40:04.652Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19291.02899997616,,response,,,,,,,,,,,continue,click button,,,,,,,,,68797,68794.89999997616,49487.196,49506.199999928474,49503.871,68801.429,,,
Sounds,html.Screen,0_3_0_0,2022-04-24T08:40:08.895Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.430999999997,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,73040.09999990463,73034.416,68784.998,68797.89999997616,68801.429,73050.86,,,
Judgement,html.Screen,0_3_0_1,2022-04-24T08:40:10.807Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,1898.4399999523157,,response,,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,74952.69999992847,74949.29999995232,73034.416,73040.5,73050.86,74967.532,,,
Trial,flow.Sequence,0_3_0,2022-04-24T08:40:10.808Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6147.870999952313,,completion,,,,,,,,,2,,,,,,,,I,S,O,,74953.79999995232,74949.29999995232,68784.998,68797.69999992847,68801.429,74967.532,,,
Sounds,html.Screen,0_3_1_0,2022-04-24T08:40:15.056Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.418999999994,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,79201.69999992847,79200.295,74950.64,74954.19999992847,74967.532,79216.951,,,
Judgement,html.Screen,0_3_1_1,2022-04-24T08:40:16.042Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,968.1489999046316,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,80187.59999990463,80185.09999990463,79200.295,79202.09999990463,79216.951,80199.955,,,
Trial,flow.Sequence,0_3_1,2022-04-24T08:40:16.043Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5217.567999904626,,completion,,,,,,,,,2,,,,,,,,O,S,I,,80188.29999995232,80185.09999990463,74950.64,74954.19999992847,74967.532,80199.955,,,
Sounds,html.Screen,0_3_2_0,2022-04-24T08:40:20.289Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.6630000000005,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,84434.5,84432.913,80183.572,80189.29999995232,80199.955,84449.618,,,
Judgement,html.Screen,0_3_2_1,2022-04-24T08:40:21.426Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,1119.5819999284722,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,85571.59999990463,85569.19999992847,84432.913,84435.19999992847,84449.618,85582.605,,,
Trial,flow.Sequence,0_3_2,2022-04-24T08:40:21.427Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5369.244999928473,,completion,,,,,,,,,1,,,,,,,,S,O,I,,85572.5,85569.19999992847,80183.572,80189.09999990463,80199.955,85582.605,,,
Sounds,html.Screen,0_3_3_0,2022-04-24T08:40:25.672Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.6600000000035,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,89817.29999995232,89815.555,85566.129,85573.09999990463,85582.605,89832.265,,,
Judgement,html.Screen,0_3_3_1,2022-04-24T08:40:26.792Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,1102.934999928475,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,90937.59999990463,90935.19999992847,89815.555,89817.59999990463,89832.265,90948.697,,,
Trial,flow.Sequence,0_3_3,2022-04-24T08:40:26.793Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5352.5949999284785,,completion,,,,,,,,,1,,,,,,,,S,I,O,,90938.29999995232,90935.19999992847,85566.129,85572.89999997616,85582.605,90948.697,,,
Sounds,html.Screen,0_3_4_0,2022-04-24T08:40:31.038Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.349000000002,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,95183.29999995232,95181.342,90931.887,90938.79999995232,90948.697,95198.046,,,
Judgement,html.Screen,0_3_4_1,2022-04-24T08:40:32.014Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,959.4539999999979,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,96159.69999992847,96157.5,95181.342,95183.5,95198.046,96164.593,,,
Trial,flow.Sequence,0_3_4,2022-04-24T08:40:32.015Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5208.803,,completion,,,,,,,,,3,,,,,,,,O,I,S,,96160.29999995232,96157.5,90931.887,90938.59999990463,90948.697,96164.593,,,
Sounds,html.Screen,0_3_5_0,2022-04-24T08:40:36.254Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.6600000000035,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,100399.09999990463,100397.535,96148.162,96160.79999995232,96164.593,100414.253,,,
Judgement,html.Screen,0_3_5_1,2022-04-24T08:40:37.122Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,850.5469999523193,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,101267.09999990463,101264.79999995232,100397.535,100399.39999997616,100414.253,101280.55,,,
Trial,flow.Sequence,0_3_5,2022-04-24T08:40:37.122Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5100.206999952323,,completion,,,,,,,,,3,,,,,,,,I,O,S,,101267.69999992847,101264.79999995232,96148.162,96160.59999990463,96164.593,101280.55,,,
Task,flow.Loop,0_3,2022-04-24T08:40:37.130Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32463.370999952313,,completion,,,1,,,,,,,,,,,,,,,,,,101275.09999990463,101264.79999995232,68784.998,68797.5,68801.429,101280.55,,,
Trap,html.Screen,0_4,2022-04-24T08:40:37.131Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,skipped,,,,,,,,,,,,,,,,,,,,,101276.59999990463,101264.79999995232,,101276.39999997616,,101280.55,,,
Thanks,html.Screen,0_5,2022-04-24T08:40:41.665Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4527.349999976155,,response,,,,,,,,,,,continue,click button,,,,,,,,,105810.39999997616,105807.89999997616,101263.816,101276.69999992847,101280.55,111495.959,,,
Headphone screening,flow.Sequence,0,2022-04-24T08:40:41.665Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96148.94599997616,,completion,,,,,,,,,,,,,,,,,,,,,105811,105807.89999997616,9609.617,9624.199999928474,9658.954,111495.959,,,
Instructions,html.Page,1_0,2022-04-24T08:41:23.514Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36161.340999952314,,form submission,,,,,,,,,,,,,,,,,,,,,147659.19999992847,147657.29999995232,111479.446,111491.19999992847,111495.959,147674.659,,,
Holding screen,html.Screen,1_1_0_0,2022-04-24T08:41:33.513Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10048.712,,timeout,,,,,,,,,,,,,,,,,,,,,157658.39999997616,157656.717,147641.636,147660,147674.659,157723.371,,,
screen,html.Screen,1_1_0_1_0,2022-04-24T08:41:34.811Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,1223.4289999523025,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,When -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,158956.5,158946.79999995232,157656.717,157659,157723.371,158956.537,,0,When
screen,html.Screen,1_1_0_1_1,2022-04-24T08:41:35.790Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,976.9629999999888,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,---- it ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,159935.89999997616,159933.5,158939.946,158957.5,158956.537,159939.721,,1,it
screen,html.Screen,1_1_0_1_2,2022-04-24T08:41:36.894Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,1098.1789999761677,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,---- -- comes -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,161040,161037.89999997616,159922.742,159936.29999995232,159939.721,161056.233,,2,comes
screen,html.Screen,1_1_0_1_3,2022-04-24T08:41:37.833Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,921.2669999999925,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- to ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,161978.39999997616,161977.5,161039.929,161040.29999995232,161056.233,161990.001,,3,to
screen,html.Screen,1_1_0_1_4,2022-04-24T08:41:38.916Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,1070.9990000000107,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- having - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,163061.89999997616,163061,161972.801,161980,161990.001,163072.932,,4,having
screen,html.Screen,1_1_0_1_5,2022-04-24T08:41:40.183Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,1253.3679999523156,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ a ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,164328.39999997616,164326.29999995232,163056.539,163062,163072.932,164339.179,,5,a
screen,html.Screen,1_1_0_1_6,2022-04-24T08:41:41.090Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,894.1209999523126,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - lasting --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,165235.19999992847,165233.29999995232,164323.297,164328.79999995232,164339.179,165239.063,,6,lasting
screen,html.Screen,1_1_0_1_7,2022-04-24T08:41:41.882Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,786.6369999284798,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- and ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,166027.5,166025.69999992847,165222.72,165235.59999990463,165239.063,166038.954,,7,and
screen,html.Screen,1_1_0_1_8,2022-04-24T08:41:42.802Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,907.0460000000021,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- fulfilling<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,166947.79999995232,166946,166022.109,166027.89999997616,166038.954,166955.501,,8,fulfilling
