sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2022-04-28T10:38:04.666Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_e/"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""en-gb"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":789,""window_innerWidth"":1440,""window_innerHeight"":837,""devicePixelRatio"":2}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,32501,,response,,,,,,,,,,,continue,click button,,,,,,,,,37379,37353,4852,4841,4868,37394,{},,
Volume calibration,html.Screen,0_1,2022-04-28T10:38:30.943Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26247,,response,,,,,,,,,,,continue,click button,,,,,,,,,63656,63630,37383,37380,37394,63677,,,
Task instructions,html.Screen,0_2,2022-04-28T10:38:39.840Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8868,,response,,,,,,,,,,,continue,click button,,,,,,,,,72553,72528,63660,63656,63677,72571,,,
Sounds,html.Screen,0_3_0_0,2022-04-28T10:38:44.093Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,76806,76805,72555,72554,72571,76821,,,
Judgement,html.Screen,0_3_0_1,2022-04-28T10:38:48.465Z,,,,,,,,,,,,,,,,,,,,,,,,,,,false,3,,4348,,response,,,,,,,,,3,,2,click #choice-2,,,,,I,O,S,,81178,81153,76805,76806,76821,81207,,,
Trial,flow.Sequence,0_3_0,2022-04-28T10:38:48.466Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8582,,completion,,,,,,,,,3,,,,,,,,I,O,S,,81179,81153,72555,72554,72571,81207,,,
Sounds,html.Screen,0_3_1_0,2022-04-28T10:38:52.729Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4251,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,85442,85442,81189,81179,81207,85458,,,
Judgement,html.Screen,0_3_1_1,2022-04-28T10:38:53.339Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,585,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,86052,86027,85442,85442,85458,86075,,,
Trial,flow.Sequence,0_3_1,2022-04-28T10:38:53.339Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4820,,completion,,,,,,,,,3,,,,,,,,O,I,S,,86052,86027,81189,81179,81207,86075,,,
Sounds,html.Screen,0_3_2_0,2022-04-28T10:38:57.599Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4253,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,90312,90312,86057,86052,86075,90328,,,
