sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2022-05-03T12:09:04.731Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_f/"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":772,""window_innerWidth"":1440,""window_innerHeight"":820,""devicePixelRatio"":2}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,47494,,response,,,,,,,,,,,continue,click button,,,,,,,,,50661,50709,3215,3207,3231,50682,{},,
Volume calibration,html.Screen,0_1,2022-05-03T12:09:30.685Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26004,,response,,,,,,,,,,,continue,click button,,,,,,,,,76616,76669,50665,50661,50682,76635,,,
Task instructions,html.Screen,0_2,2022-05-03T12:09:42.318Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11697,,response,,,,,,,,,,,continue,click button,,,,,,,,,88249,88315,76618,76616,76635,88277,,,
Sounds,html.Screen,0_3_0_0,2022-05-03T12:09:46.565Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,92496,92495,88261,88249,88277,92502,,,
Judgement,html.Screen,0_3_0_1,2022-05-03T12:09:48.282Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,1775,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,94214,94270,92495,92496,92502,94242,,,
Trial,flow.Sequence,0_3_0,2022-05-03T12:09:48.282Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5993,,completion,,,,,,,,,3,,,,,,,,I,O,S,,94214,94270,88261,88249,88277,94242,,,
Sounds,html.Screen,0_3_1_0,2022-05-03T12:09:52.540Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4235,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,98472.00000000001,98471,94226,94214,94242,98477,,,
Judgement,html.Screen,0_3_1_1,2022-05-03T12:09:53.335Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,860,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,99267,99331,98471,98472.00000000001,98477,99296,,,
Trial,flow.Sequence,0_3_1,2022-05-03T12:09:53.336Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5089,,completion,,,,,,,,,2,,,,,,,,O,S,I,,99268,99331,94226,94214,94242,99296,,,
Sounds,html.Screen,0_3_2_0,2022-05-03T12:09:57.599Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4252,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,103531,103531,99279,99268,99296,103548,,,
Judgement,html.Screen,0_3_2_1,2022-05-03T12:09:58.275Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,728,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,104207.00000000001,104259,103531,103532,103548,104226,,,
Trial,flow.Sequence,0_3_2,2022-05-03T12:09:58.275Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4963,,completion,,,,,,,,,1,,,,,,,,S,O,I,,104208,104259,99279,99268,99296,104226,,,
Sounds,html.Screen,0_3_3_0,2022-05-03T12:10:02.524Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4245,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,108456,108454,104210,104208,104226,108471,,,
Judgement,html.Screen,0_3_3_1,2022-05-03T12:10:03.078Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,619.0000000000146,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,109010,109073.00000000001,108454,108457.00000000001,108471,109037,,,
Trial,flow.Sequence,0_3_3,2022-05-03T12:10:03.078Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4847.000000000015,,completion,,,,,,,,,3,,,,,,,,O,I,S,,109011,109073.00000000001,104210,104208,104226,109037,,,
Sounds,html.Screen,0_3_4_0,2022-05-03T12:10:07.338Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,113270,113270,109021,109011,109037,113287,,,
Judgement,html.Screen,0_3_4_1,2022-05-03T12:10:08.028Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,745,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,113961,114015,113270,113270,113287,113989,,,
Trial,flow.Sequence,0_3_4,2022-05-03T12:10:08.029Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4978,,completion,,,,,,,,,1,,,,,,,,S,I,O,,113961,114015,109021,109011,109037,113989,,,
Sounds,html.Screen,0_3_5_0,2022-05-03T12:10:12.294Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4254,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,118226,118226,113973,113961,113989,118243,,,
