"item","Provo_ID","word","word_ID","text"
98,43,1,"Proper","Proper ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,2,"ventilation","------ ventilation ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,3,"will","------ ----------- will ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,4,"make","------ ----------- ---- make - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,5,"a","------ ----------- ---- ---- a --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,6,"backdraft","------ ----------- ---- ---- - backdraft ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,7,"less","------ ----------- ---- ---- - --------- less -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,8,"likely.","------ ----------- ---- ---- - --------- ---- likely.<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,9,"Opening","------ ----------- ---- ---- - --------- ---- -------<br>Opening - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,10,"a","------ ----------- ---- ---- - --------- ---- -------<br>------- a ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,11,"room","------ ----------- ---- ---- - --------- ---- -------<br>------- - room -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,12,"or","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- or -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,13,"building","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- building -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,14,"at","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- at --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,15,"the","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- the ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,16,"highest","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- highest ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,17,"point","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- point ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,18,"allows","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- allows<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,19,"heated","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>heated ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,20,"gases","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ gases --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,21,"and","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- and ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,22,"smoke","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- smoke -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,23,"to","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- to -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,24,"be","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- be -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,25,"released","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- released ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,26,"gradually.","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- gradually. --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
