sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,item,list,music_frequency,offensiveness,pleasantness,preference,response,response_action,snippet_file,song_name,song_rating,sound,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Instructions,html.Page,0_0,2021-12-03T12:05:59.918Z,"{""labjs_version"":""20.2.3"",""labjs_build"":{""flavor"":""production"",""commit"":""7ea907d66ca8aeef8054924ca5d82ffbe11e34e5""},""location"":""https://run.pavlovia.org/mvasilev/lab_music_d/"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""Europe/London"",""timezoneOffset"":0,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1920,""scroll_height"":959,""window_innerWidth"":1920,""window_innerHeight"":1007,""devicePixelRatio"":1}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,55543.017,,form submission,,,,,,,,,,,,,,,,65991.90000000596,65990.5,10414.143,10428.29999999702,10447.483,65995.7,{},,
Headphones,html.Page,0_1,2021-12-03T12:06:03.679Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3756.8999999940424,,form submission,,,,,,,,,,,,,,,,69753.20000000298,69752.59999999404,65979.03,65992.59999999404,65995.7,69763.315,,,
Holding screen,html.Screen,0_2_0_0,2021-12-03T12:06:13.681Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10002.885999999999,,timeout,,,,,,,,,,,,,,,,79755.29999999702,79749.531,69746.646,69753.90000000596,69763.315,79766.201,,,
screen,html.Screen,0_2_0_1_0,2021-12-03T12:06:14.694Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,1000.4990000029793,,response,,,99,,,,,,Space,keypress(Space),,,,,When -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,80768.09999999404,80766.70000000298,79749.531,79755.79999999702,79766.201,80783.296,,0,When
screen,html.Screen,0_2_0_1_1,2021-12-03T12:06:15.085Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,375.30399999403744,,response,,,99,,,,,,Space,keypress(Space),,,,,---- it ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,81159.5,81158.59999999404,80766.625,80768.40000000596,80783.296,81166.58,,1,it
screen,html.Screen,0_2_0_1_2,2021-12-03T12:06:15.845Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,752.0199999940378,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- comes -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,81919.5,81918.59999999404,81149.911,81159.79999999702,81166.58,81933.587,,2,comes
screen,html.Screen,0_2_0_1_3,2021-12-03T12:06:16.453Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,592.9130000000005,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- to ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,82527.40000000596,82526.5,81916.916,81919.70000000298,81933.587,82533.704,,3,to
screen,html.Screen,0_2_0_1_4,2021-12-03T12:06:17.065Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,604.6960000059626,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- having - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,83139.5,83138.40000000596,82517.034,82528,82533.704,83150.649,,4,having
screen,html.Screen,0_2_0_1_5,2021-12-03T12:06:18.053Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,975.8509999999951,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- ------ a ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,84127.5,84126.5,83133.978,83139.79999999702,83150.649,84134.004,,5,a
screen,html.Screen,0_2_0_1_6,2021-12-03T12:06:18.733Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,672.4959999999992,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - lasting --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,84807.40000000596,84806.5,84117.335,84127.90000000596,84134.004,84817.767,,6,lasting
screen,html.Screen,0_2_0_1_7,2021-12-03T12:06:19.357Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,612.7329999999929,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - ------- and ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,85431.40000000596,85430.5,84801.096,84807.79999999702,84817.767,85434.518,,7,and
screen,html.Screen,0_2_0_1_8,2021-12-03T12:06:19.989Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,627.8820000059641,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - ------- --- fulfilling<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,86063.5,86062.40000000596,85417.848,85431.70000000298,85434.518,86068.025,,8,fulfilling
