sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,item,list,music_frequency,offensiveness,pleasantness,preference,response,response_action,snippet_file,song_name,song_rating,sound,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Instructions,html.Page,0_0,2021-11-12T12:50:59.100Z,"{""labjs_version"":""20.2.3"",""labjs_build"":{""flavor"":""production"",""commit"":""7ea907d66ca8aeef8054924ca5d82ffbe11e34e5""},""location"":""https://run.pavlovia.org/mvasilev/lab_music_e/"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""Europe/London"",""timezoneOffset"":0,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1920,""scroll_height"":959,""window_innerWidth"":1920,""window_innerHeight"":1007,""devicePixelRatio"":1}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675.5400000000009,,form submission,,,,,,,,,,,,,,,,16322.699999988079,16321.5,14629.291,14621.699999988079,14645.96,16330.159,{},,
Headphones,html.Page,0_1,2021-11-12T12:51:00.879Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770.7410000357631,,form submission,,,,,,,,,,,,,,,,18101.5,18100.900000035763,16313.478,16323.300000011921,16330.159,18113.724,,,
Holding screen,html.Screen,0_2_0_0,2021-11-12T12:51:10.884Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10019.218,,timeout,,,,,,,,,,,,,,,,28106.600000023842,28099.598,18097.052,18102.19999998808,18113.724,28132.942,,,
screen,html.Screen,0_2_0_1_0,2021-11-12T12:51:12.575Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,1663.75799998808,,response,,,99,,,,,,Space,keypress(Space),,,,,When -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,29798,29796.69999998808,28099.598,28107.19999998808,28132.942,29799.791,,0,When
screen,html.Screen,0_2_0_1_1,2021-11-12T12:51:13.158Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,580.408999988078,,response,,,99,,,,,,Space,keypress(Space),,,,,---- it ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,30381.19999998808,30380.19999998808,29783.121,29798.5,29799.791,30383.37,,1,it
screen,html.Screen,0_2_0_1_2,2021-11-12T12:51:13.686Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,524.8299999880801,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- comes -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,30909.100000023842,30908.19999998808,30366.7,30381.5,30383.37,30916.849,,2,comes
screen,html.Screen,0_2_0_1_3,2021-11-12T12:51:14.510Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,815.3509999880807,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- to ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,31733.100000023842,31732.19999998808,30900.179,30909.400000035763,30916.849,31750.447,,3,to
screen,html.Screen,0_2_0_1_4,2021-11-12T12:51:15.359Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,829.6530000238417,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- having - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,32581.30000001192,32580.100000023842,31733.776,31733.69999998808,31750.447,32583.915,,4,having
screen,html.Screen,0_2_0_1_5,2021-11-12T12:51:15.942Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,580.185000023841,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- ------ a ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,33165,33164.10000002384,32567.245,32581.600000023842,32583.915,33167.493,,5,a
screen,html.Screen,0_2_0_1_6,2021-11-12T12:51:16.534Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,588.5069999999978,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - lasting --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,33757,33756,33150.822,33165.5,33167.493,33767.557,,6,lasting
