sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,item,list,music_frequency,offensiveness,pleasantness,preference,response,response_action,snippet_file,song_name,song_rating,sound,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Instructions,html.Page,0_0,2021-12-02T13:12:18.472Z,"{""labjs_version"":""20.2.3"",""labjs_build"":{""flavor"":""production"",""commit"":""7ea907d66ca8aeef8054924ca5d82ffbe11e34e5""},""location"":""https://run.pavlovia.org/mvasilev/lab_music_c/"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""Europe/London"",""timezoneOffset"":0,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1920,""scroll_height"":959,""window_innerWidth"":1920,""window_innerHeight"":1007,""devicePixelRatio"":1}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,25085.854,,form submission,,,,,,,,,,,,,,,,35207.800000000745,35207,10087.804,10103.60000000149,10121.146,35227.83,{},,
Headphones,html.Page,0_1,2021-12-02T13:12:20.605Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2112.6699999999983,,form submission,,,,,,,,,,,,,,,,37341,37340.5,35211.159,35208.20000000298,35227.83,37344.911,,,
Holding screen,html.Screen,0_2_0_0,2021-12-02T13:12:30.601Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10002.659,,timeout,,,,,,,,,,,,,,,,47337.400000002235,47330.9,37328.241,37341.5,37344.911,47347.57,,,
screen,html.Screen,0_2_0_1_0,2021-12-02T13:12:31.732Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,1119.7300000007453,,response,,,99,,,,,,Space,keypress(Space),,,,,When -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,48468.60000000149,48467.300000000745,47330.9,47337.70000000298,47347.57,48481.336,,0,When
screen,html.Screen,0_2_0_1_1,2021-12-02T13:12:32.259Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,513.3640000029773,,response,,,99,,,,,,Space,keypress(Space),,,,,---- it ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,48995.60000000149,48994.70000000298,48464.665,48469,48481.336,48998.213,,1,it
screen,html.Screen,0_2_0_1_2,2021-12-02T13:12:32.707Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,444.5870000007417,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- comes -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,49443.70000000298,49442.800000000745,48981.542,48995.900000002235,48998.213,49448.282,,2,comes
screen,html.Screen,0_2_0_1_3,2021-12-02T13:12:33.131Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,418.5180000007458,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- to ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,49867.70000000298,49866.800000000745,49431.612,49443.900000002235,49448.282,49881.736,,3,to
screen,html.Screen,0_2_0_1_4,2021-12-02T13:12:33.572Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,425.0640000007479,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- having - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,50307.900000002235,50306.800000000745,49865.066,49868.20000000298,49881.736,50315.223,,4,having
screen,html.Screen,0_2_0_1_5,2021-12-02T13:12:33.947Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,367.4770000029821,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- ------ a ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,50683.70000000298,50682.70000000298,50298.552,50308.10000000149,50315.223,50698.629,,5,a
screen,html.Screen,0_2_0_1_6,2021-12-02T13:12:34.372Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,408.0710000029794,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - lasting --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,51107.70000000298,51106.70000000298,50681.959,50684.10000000149,50698.629,51115.395,,6,lasting
