"subject","item","Provo_ID","list","accuracy","duration","sound","ended_on","response","correctResponse","Pool","item_quest"
1,7,NA,"A",1,3620.46699998807,"silence","response","FALSE","FALSE","University pool",1
1,7,NA,"A",1,3081.91200000595,"silence","response","TRUE","TRUE","University pool",2
1,13,NA,"A",1,5228.68099998808,"silence","response","FALSE","FALSE","University pool",1
1,13,NA,"A",1,2665.867,"silence","response","TRUE","TRUE","University pool",2
1,10,NA,"A",1,3867.24099998808,"silence","response","TRUE","TRUE","University pool",1
1,10,NA,"A",1,2711.33399998213,"silence","response","TRUE","TRUE","University pool",2
1,1,NA,"A",1,3242.2089999821,"silence","response","TRUE","TRUE","University pool",1
1,1,NA,"A",1,2087.13099999406,"silence","response","FALSE","FALSE","University pool",2
1,4,NA,"A",1,2350.35299998213,"silence","response","FALSE","FALSE","University pool",1
1,4,NA,"A",1,2535.00099999405,"silence","response","TRUE","TRUE","University pool",2
1,2,NA,"A",0,2658.7249999881,"lyrical","response","TRUE","FALSE","University pool",1
1,2,NA,"A",1,2167.28499999404,"lyrical","response","FALSE","FALSE","University pool",2
1,14,NA,"A",1,2106.55999998807,"lyrical","response","FALSE","FALSE","University pool",1
1,14,NA,"A",1,4429.24600000598,"lyrical","response","FALSE","FALSE","University pool",2
1,5,NA,"A",1,2145.11399998213,"lyrical","response","TRUE","TRUE","University pool",1
1,5,NA,"A",0,5090.08299999998,"lyrical","response","FALSE","TRUE","University pool",2
1,8,NA,"A",1,4056.13799998211,"lyrical","response","FALSE","FALSE","University pool",1
1,8,NA,"A",1,3316.185,"lyrical","response","TRUE","TRUE","University pool",2
1,11,NA,"A",0,2257.38800000597,"lyrical","response","TRUE","FALSE","University pool",1
1,11,NA,"A",1,2893.37500000594,"lyrical","response","FALSE","FALSE","University pool",2
1,3,NA,"A",1,3838.864000006,"instrumental","response","TRUE","TRUE","University pool",1
1,3,NA,"A",1,2347.79799998808,"instrumental","response","FALSE","FALSE","University pool",2
1,15,NA,"A",1,2358.34299998812,"instrumental","response","FALSE","FALSE","University pool",1
1,15,NA,"A",0,2118.83700000006,"instrumental","response","FALSE","TRUE","University pool",2
1,9,NA,"A",1,2128.43599999999,"instrumental","response","FALSE","FALSE","University pool",1
1,9,NA,"A",1,2514.3009999881,"instrumental","response","FALSE","FALSE","University pool",2
1,6,NA,"A",1,2029.39999998803,"instrumental","response","TRUE","TRUE","University pool",1
1,6,NA,"A",1,2747.35499999998,"instrumental","response","FALSE","FALSE","University pool",2
1,12,NA,"A",1,2730.5189999881,"instrumental","response","FALSE","FALSE","University pool",1
1,12,NA,"A",1,1628.20600000594,"instrumental","response","TRUE","TRUE","University pool",2
2,4,NA,"A",0,3413.57500000673,"silence","response","TRUE","FALSE","University pool",1
2,4,NA,"A",1,2912.42399999691,"silence","response","TRUE","TRUE","University pool",2
2,13,NA,"A",1,5483.38700002019,"silence","response","FALSE","FALSE","University pool",1
2,13,NA,"A",1,2567.73200000817,"silence","response","TRUE","TRUE","University pool",2
2,7,NA,"A",1,3114.04600002733,"silence","response","FALSE","FALSE","University pool",1
2,7,NA,"A",1,3014.90300002217,"silence","response","TRUE","TRUE","University pool",2
2,1,NA,"A",1,4469.69500000146,"silence","response","TRUE","TRUE","University pool",1
2,1,NA,"A",1,2281.15600002755,"silence","response","FALSE","FALSE","University pool",2
2,10,NA,"A",1,16847.2130000232,"silence","response","TRUE","TRUE","University pool",1
2,10,NA,"A",1,2452.37900000159,"silence","response","TRUE","TRUE","University pool",2
2,14,NA,"A",1,2636.50700000778,"lyrical","response","FALSE","FALSE","University pool",1
2,14,NA,"A",1,3086.73300002137,"lyrical","response","FALSE","FALSE","University pool",2
2,2,NA,"A",0,6498.14500001812,"lyrical","response","TRUE","FALSE","University pool",1
2,2,NA,"A",1,3128.57400002255,"lyrical","response","FALSE","FALSE","University pool",2
2,5,NA,"A",1,3028.56699998095,"lyrical","response","TRUE","TRUE","University pool",1
2,5,NA,"A",1,9987.79800000542,"lyrical","response","TRUE","TRUE","University pool",2
2,8,NA,"A",1,3127.22299998847,"lyrical","response","FALSE","FALSE","University pool",1
2,8,NA,"A",0,4914.18799997575,"lyrical","response","FALSE","TRUE","University pool",2
2,11,NA,"A",0,5131.95200001029,"lyrical","response","TRUE","FALSE","University pool",1
2,11,NA,"A",1,3721.93200000131,"lyrical","response","FALSE","FALSE","University pool",2
2,3,NA,"A",1,4156.98600000737,"instrumental","response","TRUE","TRUE","University pool",1
2,3,NA,"A",1,14265.3309999973,"instrumental","response","FALSE","FALSE","University pool",2
2,6,NA,"A",1,2654.29299999238,"instrumental","response","TRUE","TRUE","University pool",1
2,6,NA,"A",1,2852.96700001811,"instrumental","response","FALSE","FALSE","University pool",2
2,15,NA,"A",1,2916.1519999865,"instrumental","response","FALSE","FALSE","University pool",1
2,15,NA,"A",0,3513.07600002422,"instrumental","response","FALSE","TRUE","University pool",2
2,12,NA,"A",1,3634.76200000441,"instrumental","response","FALSE","FALSE","University pool",1
2,12,NA,"A",1,9670.35799999535,"instrumental","response","TRUE","TRUE","University pool",2
2,9,NA,"A",1,3622.40899999393,"instrumental","response","FALSE","FALSE","University pool",1
2,9,NA,"A",1,4826.62099997723,"instrumental","response","FALSE","FALSE","University pool",2
3,10,NA,"A",1,4789.66900000034,"silence","response","TRUE","TRUE","University pool",1
3,10,NA,"A",1,4060.05099999963,"silence","response","TRUE","TRUE","University pool",2
3,1,NA,"A",1,3477.06900000112,"silence","response","TRUE","TRUE","University pool",1
3,1,NA,"A",1,3264.67099999997,"silence","response","FALSE","FALSE","University pool",2
3,13,NA,"A",1,7735.81,"silence","response","FALSE","FALSE","University pool",1
3,13,NA,"A",1,7271.40100000112,"silence","response","TRUE","TRUE","University pool",2
3,7,NA,"A",0,3660.86100000073,"silence","response","TRUE","FALSE","University pool",1
3,7,NA,"A",1,4233.19000000111,"silence","response","TRUE","TRUE","University pool",2
3,4,NA,"A",0,9030.53200000076,"silence","response","TRUE","FALSE","University pool",1
3,4,NA,"A",0,4737.78699999966,"silence","response","FALSE","TRUE","University pool",2
3,5,NA,"A",1,3498.51000000071,"lyrical","response","TRUE","TRUE","University pool",1
3,5,NA,"A",1,4676.90000000072,"lyrical","response","TRUE","TRUE","University pool",2
3,8,NA,"A",1,4251.52200000035,"lyrical","response","FALSE","FALSE","University pool",1
3,8,NA,"A",0,5607.36299999966,"lyrical","response","FALSE","TRUE","University pool",2
3,2,NA,"A",0,12958.1829999996,"lyrical","response","TRUE","FALSE","University pool",1
3,2,NA,"A",0,4011.71800000116,"lyrical","response","TRUE","FALSE","University pool",2
3,14,NA,"A",1,4067.07299999963,"lyrical","response","FALSE","FALSE","University pool",1
3,14,NA,"A",1,3486.53700000036,"lyrical","response","FALSE","FALSE","University pool",2
3,11,NA,"A",1,6974.03700000118,"lyrical","response","FALSE","FALSE","University pool",1
3,11,NA,"A",1,8460.32800000114,"lyrical","response","FALSE","FALSE","University pool",2
3,6,NA,"A",0,8924.23700000043,"instrumental","response","FALSE","TRUE","University pool",1
3,6,NA,"A",1,7323.99499999965,"instrumental","response","FALSE","FALSE","University pool",2
3,9,NA,"A",1,4469.42599999963,"instrumental","response","FALSE","FALSE","University pool",1
3,9,NA,"A",1,4120.56300000078,"instrumental","response","FALSE","FALSE","University pool",2
3,15,NA,"A",1,5320.62200000114,"instrumental","response","FALSE","FALSE","University pool",1
3,15,NA,"A",1,5769.51500000071,"instrumental","response","TRUE","TRUE","University pool",2
3,12,NA,"A",0,5892.44799999963,"instrumental","response","TRUE","FALSE","University pool",1
3,12,NA,"A",1,2941.97300000186,"instrumental","response","TRUE","TRUE","University pool",2
3,3,NA,"A",1,4099.1680000003,"instrumental","response","TRUE","TRUE","University pool",1
3,3,NA,"A",1,2909.90999999898,"instrumental","response","FALSE","FALSE","University pool",2
4,13,NA,"A",1,4877.75799999924,"silence","response","FALSE","FALSE","University pool",1
4,13,NA,"A",1,3656.98499999999,"silence","response","TRUE","TRUE","University pool",2
4,10,NA,"A",1,3295.42300000001,"silence","response","TRUE","TRUE","University pool",1
4,10,NA,"A",1,4801.50099999999,"silence","response","TRUE","TRUE","University pool",2
4,7,NA,"A",1,2876.51100000151,"silence","response","FALSE","FALSE","University pool",1
4,7,NA,"A",1,3616.20300000074,"silence","response","TRUE","TRUE","University pool",2
4,1,NA,"A",1,2012.20200000075,"silence","response","TRUE","TRUE","University pool",1
4,1,NA,"A",1,1795.14000000077,"silence","response","FALSE","FALSE","University pool",2
4,4,NA,"A",1,12490.4380000022,"silence","response","FALSE","FALSE","University pool",1
4,4,NA,"A",1,4443.09200000152,"silence","response","TRUE","TRUE","University pool",2
4,11,NA,"A",1,2535.20399999927,"lyrical","response","FALSE","FALSE","University pool",1
4,11,NA,"A",0,5928.34500000224,"lyrical","response","TRUE","FALSE","University pool",2
4,14,NA,"A",1,2281.43199999997,"lyrical","response","FALSE","FALSE","University pool",1
4,14,NA,"A",1,2189.41400000226,"lyrical","response","FALSE","FALSE","University pool",2
4,8,NA,"A",0,3074.20400000148,"lyrical","response","TRUE","FALSE","University pool",1
4,8,NA,"A",1,1669.95000000147,"lyrical","response","TRUE","TRUE","University pool",2
4,2,NA,"A",1,2712.81000000145,"lyrical","response","FALSE","FALSE","University pool",1
4,2,NA,"A",1,5235.08900000073,"lyrical","response","FALSE","FALSE","University pool",2
4,5,NA,"A",1,2515.77500000072,"lyrical","response","TRUE","TRUE","University pool",1
4,5,NA,"A",1,3358.14700000151,"lyrical","response","TRUE","TRUE","University pool",2
4,9,NA,"A",1,2591.70799999929,"instrumental","response","FALSE","FALSE","University pool",1
4,9,NA,"A",1,2846.83200000226,"instrumental","response","FALSE","FALSE","University pool",2
4,12,NA,"A",1,2286.57899999921,"instrumental","response","FALSE","FALSE","University pool",1
4,12,NA,"A",0,2185.8820000015,"instrumental","response","FALSE","TRUE","University pool",2
4,3,NA,"A",1,3224.08400000073,"instrumental","response","TRUE","TRUE","University pool",1
4,3,NA,"A",1,1629.92800000147,"instrumental","response","FALSE","FALSE","University pool",2
4,15,NA,"A",0,3566.77900000149,"instrumental","response","TRUE","FALSE","University pool",1
4,15,NA,"A",0,2830.12200000219,"instrumental","response","FALSE","TRUE","University pool",2
4,6,NA,"A",1,1912.19699999923,"instrumental","response","TRUE","TRUE","University pool",1
4,6,NA,"A",1,2114.84500000149,"instrumental","response","FALSE","FALSE","University pool",2
5,10,NA,"A",0,8801.74299999705,"silence","response","FALSE","TRUE","University pool",1
5,10,NA,"A",1,3422.614,"silence","response","TRUE","TRUE","University pool",2
5,1,NA,"A",1,3195.95899999404,"silence","response","TRUE","TRUE","University pool",1
5,1,NA,"A",1,2882.82199999999,"silence","response","FALSE","FALSE","University pool",2
5,13,NA,"A",1,4525.916000003,"silence","response","FALSE","FALSE","University pool",1
5,13,NA,"A",0,5966.89100000297,"silence","response","FALSE","TRUE","University pool",2
5,7,NA,"A",0,4988.69099999702,"silence","response","TRUE","FALSE","University pool",1
5,7,NA,"A",1,4075.22699999402,"silence","response","TRUE","TRUE","University pool",2
5,4,NA,"A",1,4333.40799999703,"silence","response","FALSE","FALSE","University pool",1
5,4,NA,"A",1,3806.64299999404,"silence","response","TRUE","TRUE","University pool",2
5,8,NA,"A",1,2839.14799999108,"lyrical","response","FALSE","FALSE","University pool",1
5,8,NA,"A",1,3020.37099999702,"lyrical","response","TRUE","TRUE","University pool",2
5,5,NA,"A",1,4131.598,"lyrical","response","TRUE","TRUE","University pool",1
5,5,NA,"A",0,6804.65500000003,"lyrical","response","FALSE","TRUE","University pool",2
5,2,NA,"A",1,3151.85499999998,"lyrical","response","FALSE","FALSE","University pool",1
5,2,NA,"A",1,6863.98299999407,"lyrical","response","FALSE","FALSE","University pool",2
5,11,NA,"A",1,4918.970000003,"lyrical","response","FALSE","FALSE","University pool",1
5,11,NA,"A",0,10287.74,"lyrical","response","TRUE","FALSE","University pool",2
5,14,NA,"A",1,2426.15700000001,"lyrical","response","FALSE","FALSE","University pool",1
5,14,NA,"A",1,6399.86599999398,"lyrical","response","FALSE","FALSE","University pool",2
5,6,NA,"A",1,6211.41700000293,"instrumental","response","TRUE","TRUE","University pool",1
5,6,NA,"A",1,3111.91699999408,"instrumental","response","FALSE","FALSE","University pool",2
5,15,NA,"A",1,2556.78099999111,"instrumental","response","FALSE","FALSE","University pool",1
5,15,NA,"A",1,1981.45899999107,"instrumental","response","TRUE","TRUE","University pool",2
5,9,NA,"A",1,2517.97899999109,"instrumental","response","FALSE","FALSE","University pool",1
5,9,NA,"A",1,2495.93800000299,"instrumental","response","FALSE","FALSE","University pool",2
5,3,NA,"A",1,2741.12099999399,"instrumental","response","TRUE","TRUE","University pool",1
5,3,NA,"A",1,1609.81899999105,"instrumental","response","FALSE","FALSE","University pool",2
5,12,NA,"A",1,3323.90699999104,"instrumental","response","FALSE","FALSE","University pool",1
5,12,NA,"A",1,2445.47799999698,"instrumental","response","TRUE","TRUE","University pool",2
6,1,NA,"A",1,2425.19000000894,"silence","response","TRUE","TRUE","University pool",1
6,1,NA,"A",1,1867.03100000299,"silence","response","FALSE","FALSE","University pool",2
6,10,NA,"A",1,2116.30100000298,"silence","response","TRUE","TRUE","University pool",1
6,10,NA,"A",1,1998.943,"silence","response","TRUE","TRUE","University pool",2
6,4,NA,"A",1,3570.64500000895,"silence","response","FALSE","FALSE","University pool",1
6,4,NA,"A",1,1958.08400000297,"silence","response","TRUE","TRUE","University pool",2
6,7,NA,"A",1,2296.39500000299,"silence","response","FALSE","FALSE","University pool",1
6,7,NA,"A",1,2265.997000003,"silence","response","TRUE","TRUE","University pool",2
6,13,NA,"A",1,3916.43400000891,"silence","response","FALSE","FALSE","University pool",1
6,13,NA,"A",1,2479.37900000298,"silence","response","TRUE","TRUE","University pool",2
6,5,NA,"A",1,2883.30700000894,"lyrical","response","TRUE","TRUE","University pool",1
6,5,NA,"A",1,7682.82600000297,"lyrical","response","TRUE","TRUE","University pool",2
6,8,NA,"A",1,3439.18300000596,"lyrical","response","FALSE","FALSE","University pool",1
6,8,NA,"A",1,1991.87699999998,"lyrical","response","TRUE","TRUE","University pool",2
6,14,NA,"A",1,2131.19400000002,"lyrical","response","FALSE","FALSE","University pool",1
6,14,NA,"A",1,3200.17700000299,"lyrical","response","FALSE","FALSE","University pool",2
6,11,NA,"A",1,4951.290999997,"lyrical","response","FALSE","FALSE","University pool",1
6,11,NA,"A",1,4973.63700000895,"lyrical","response","FALSE","FALSE","University pool",2
6,2,NA,"A",1,2879.82000000891,"lyrical","response","FALSE","FALSE","University pool",1
6,2,NA,"A",1,1990.30799999699,"lyrical","response","FALSE","FALSE","University pool",2
6,6,NA,"A",1,2622.27600000298,"instrumental","response","TRUE","TRUE","University pool",1
6,6,NA,"A",1,1991.83600000595,"instrumental","response","FALSE","FALSE","University pool",2
6,9,NA,"A",1,2660.757999997,"instrumental","response","FALSE","FALSE","University pool",1
6,9,NA,"A",1,1960.4520000089,"instrumental","response","FALSE","FALSE","University pool",2
6,12,NA,"A",1,2478.24899999704,"instrumental","response","FALSE","FALSE","University pool",1
6,12,NA,"A",1,1418.31000000006,"instrumental","response","TRUE","TRUE","University pool",2
6,3,NA,"A",1,2467.16200000001,"instrumental","response","TRUE","TRUE","University pool",1
6,3,NA,"A",0,2375.19700000295,"instrumental","response","TRUE","FALSE","University pool",2
