sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,item,list,music_frequency,offensiveness,pleasantness,preference,response,response_action,snippet_file,song_name,song_rating,sound,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Instructions,html.Page,0_0,2021-11-26T12:35:07.645Z,"{""labjs_version"":""20.2.3"",""labjs_build"":{""flavor"":""production"",""commit"":""7ea907d66ca8aeef8054924ca5d82ffbe11e34e5""},""location"":""https://run.pavlovia.org/mvasilev/lab_music_a/"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""Europe/London"",""timezoneOffset"":0,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1920,""scroll_height"":959,""window_innerWidth"":1920,""window_innerHeight"":1007,""devicePixelRatio"":1}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,38910.97900000037,,form submission,,,,,,,,,,,,,,,,52574.199999999255,52573.40000000037,13629.091,13642.099999999627,13662.421,52575.178,{},,
Headphones,html.Page,0_1,2021-11-26T12:35:11.457Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3810.2220000003726,,form submission,,,,,,,,,,,,,,,,56385.699999999255,56385.40000000037,52558.498,52574.699999999255,52575.178,56394.088,,,
Holding screen,html.Screen,0_2_0_0,2021-11-26T12:35:21.453Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999.445999999996,,timeout,,,,,,,,,,,,,,,,66380.19999999925,66376.869,56377.423,56386.199999999255,56394.088,66393.534,,,
screen,html.Screen,0_2_0_1_0,2021-11-26T12:35:22.322Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,855.1659999992553,,response,,,99,,,,,,Space,keypress(Space),,,,,When -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,67249.80000000075,67248.69999999925,66376.869,66380.40000000037,66393.534,67260.223,,0,When
screen,html.Screen,0_2_0_1_1,2021-11-26T12:35:22.834Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,500.4769999992568,,response,,,99,,,,,,Space,keypress(Space),,,,,---- it ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,67761.30000000075,67760.69999999925,67243.558,67250,67260.223,67776.884,,1,it
screen,html.Screen,0_2_0_1_2,2021-11-26T12:35:23.402Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,551.715999999622,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- comes -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,68329.30000000075,68328.59999999963,67760.219,67761.5,67776.884,68343.395,,2,comes
screen,html.Screen,0_2_0_1_3,2021-11-26T12:35:23.826Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,409.2049999996234,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- to ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,68753.30000000075,68752.59999999963,68326.731,68329.40000000037,68343.395,68760.187,,3,to
screen,html.Screen,0_2_0_1_4,2021-11-26T12:35:24.362Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,528.4129999996221,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- having - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,69289.40000000037,69288.59999999963,68743.521,68753.59999999963,68760.187,69293.499,,4,having
screen,html.Screen,0_2_0_1_5,2021-11-26T12:35:24.682Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,315.00100000000384,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- ------ a ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,69609.19999999925,69608.5,69276.833,69289.59999999963,69293.499,69610.131,,5,a
screen,html.Screen,0_2_0_1_6,2021-11-26T12:35:25.210Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,526.369000000006,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - lasting --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,70137.19999999925,70136.5,69593.466,69609.5,69610.131,70143.46,,6,lasting
