sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,item,list,music_frequency,offensiveness,pleasantness,preference,response,response_action,snippet_file,song_name,song_rating,sound,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Instructions,html.Page,0_0,2021-11-26T12:38:41.200Z,"{""labjs_version"":""20.2.3"",""labjs_build"":{""flavor"":""production"",""commit"":""7ea907d66ca8aeef8054924ca5d82ffbe11e34e5""},""location"":""https://run.pavlovia.org/mvasilev/lab_music_b/"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":0,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1920,""scroll_height"":921,""window_innerWidth"":1920,""window_innerHeight"":969,""devicePixelRatio"":1}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,23427.01599997616,,form submission,,,,,,,,,,,,,,,,32473.5,32472.399999976158,9028.718,9020,9045.384,32477.78,{},,
Headphones,html.Page,0_1,2021-11-26T12:38:44.160Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2955.1199999761593,,form submission,,,,,,,,,,,,,,,,35433,35432.89999997616,32461.114,32474.199999928474,32477.78,35444.328,,,
Holding screen,html.Screen,0_2_0_0,2021-11-26T12:38:54.160Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999.599999999999,,timeout,,,,,,,,,,,,,,,,45433.10000002384,45427.262,35427.662,35433.10000002384,35444.328,45443.928,,,
screen,html.Screen,0_2_0_1_0,2021-11-26T12:38:55.796Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,1624.4719999761583,,response,,,99,,,,,,Space,keypress(Space),,,,,When -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,47069.699999928474,47068.39999997616,45427.262,45433.5,45443.928,47077.196,,0,When
screen,html.Screen,0_2_0_1_1,2021-11-26T12:38:56.675Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,870.7039999761546,,response,,,99,,,,,,Space,keypress(Space),,,,,---- it ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,47948.799999952316,47947.89999997616,47060.53,47070.10000002384,47077.196,47960.494,,1,it
screen,html.Screen,0_2_0_1_2,2021-11-26T12:38:57.611Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,923.3059999523175,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- comes -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,48884.799999952316,48883.799999952316,47943.828,47949.199999928474,47960.494,48893.79,,2,comes
screen,html.Screen,0_2_0_1_3,2021-11-26T12:38:58.483Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,862.0099999523154,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- to ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,49756.799999952316,49755.799999952316,48877.124,48885.10000002384,48893.79,49760.422,,3,to
screen,html.Screen,0_2_0_1_4,2021-11-26T12:38:59.300Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,811.3779999523176,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- having - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,50573,50571.799999952316,49743.756,49757.39999997616,49760.422,50577.056,,4,having
screen,html.Screen,0_2_0_1_5,2021-11-26T12:38:59.931Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,626.6439999284776,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- ------ a ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,51204.699999928474,51203.699999928474,50560.39,50573.299999952316,50577.056,51210.364,,5,a
screen,html.Screen,0_2_0_1_6,2021-11-26T12:39:00.467Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,529.335999928473,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - lasting --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,51740.699999928474,51739.699999928474,51193.698,51205.199999928474,51210.364,51743.676,,6,lasting
