sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,item,list,music_frequency,offensiveness,pleasantness,preference,response,response_action,snippet_file,song_name,song_rating,sound,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Instructions,html.Page,0_0,2021-11-12T15:29:49.580Z,"{""labjs_version"":""20.2.3"",""labjs_build"":{""flavor"":""production"",""commit"":""7ea907d66ca8aeef8054924ca5d82ffbe11e34e5""},""location"":""https://run.pavlovia.org/mvasilev/lab_music_c/"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""Europe/London"",""timezoneOffset"":0,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1920,""scroll_height"":959,""window_innerWidth"":1920,""window_innerHeight"":1007,""devicePixelRatio"":1}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,34022.428,,form submission,,,,,,,,,,,,,,,,41384.300000071526,41383,7327.232,7347,7360.572,41386.577,{},,
Headphones,html.Page,0_1,2021-11-12T15:29:52.060Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2477.8229999761606,,form submission,,,,,,,,,,,,,,,,43865,43864.39999997616,41369.906,41385.10000002384,41386.577,43870.664,,,
Holding screen,html.Screen,0_2_0_0,2021-11-12T15:30:02.057Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10002.524000000005,,timeout,,,,,,,,,,,,,,,,53861.89999997616,53856.518,43853.993,43865.5,43870.664,53873.188,,,
screen,html.Screen,0_2_0_1_0,2021-11-12T15:30:02.932Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,862.3119999999981,,response,,,99,,,,,,Space,keypress(Space),,,,,When -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,54736.89999997616,54735.5,53856.518,53862.39999997616,53873.188,54740.346,,0,When
screen,html.Screen,0_2_0_1_1,2021-11-12T15:30:03.555Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,618.5539999761604,,response,,,99,,,,,,Space,keypress(Space),,,,,---- it ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,55359.800000071526,55358.89999997616,54723.674,54737.200000047684,54740.346,55373.677,,1,it
screen,html.Screen,0_2_0_1_2,2021-11-12T15:30:04.155Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,585.0230000476804,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- comes -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,55959.60000002384,55958.700000047684,55357.007,55360.10000002384,55373.677,55973.912,,2,comes
screen,html.Screen,0_2_0_1_3,2021-11-12T15:30:04.827Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,656.9879999761615,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- to ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,56631.800000071526,56630.89999997616,55957.241,55960,55973.912,56640.69,,3,to
screen,html.Screen,0_2_0_1_4,2021-11-12T15:30:05.387Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,550.1100000715232,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- having - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,57192.10000002384,57190.800000071526,56624.02,56632.300000071526,56640.69,57207.585,,4,having
screen,html.Screen,0_2_0_1_5,2021-11-12T15:30:05.955Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,551.2150000715264,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- ------ a ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,57759.700000047684,57758.800000071526,57190.914,57192.300000071526,57207.585,57774.346,,5,a
screen,html.Screen,0_2_0_1_6,2021-11-12T15:30:06.539Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,568.4540000715278,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - lasting --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,58343.700000047684,58342.800000071526,57757.676,57760.200000047684,57774.346,58357.881,,6,lasting
screen,html.Screen,0_2_0_1_7,2021-11-12T15:30:07.083Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,528.8190000476825,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - ------- and ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,58887.700000047684,58886.700000047684,58341.21,58344,58357.881,58891.292,,7,and
screen,html.Screen,0_2_0_1_8,2021-11-12T15:30:07.651Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,563.5080000715243,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - ------- --- fulfilling<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,59455.800000071526,59454.800000071526,58874.622,58888,58891.292,59458.189,,8,fulfilling
screen,html.Screen,0_2_0_1_9,2021-11-12T15:30:08.294Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,636.5110000476852,,response,,,99,,,,,,Space,keypress(Space),,,,,"---- -- ----- -- ------ - ------- --- ----------<br>relationship, ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----",60095.700000047684,60094.700000047684,59441.518,59456.10000002384,59458.189,60108.301,,9,"relationship,"
screen,html.Screen,0_2_0_1_10,2021-11-12T15:30:08.869Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,562.2990000238424,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- common ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,60671.5,60670.60000002384,60091.631,60096.10000002384,60108.301,60675.169,,10,common
screen,html.Screen,0_2_0_1_11,2021-11-12T15:30:09.469Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,595.4310000238402,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ wisdom ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,61271.5,61270.60000002384,60658.498,60671.800000071526,60675.169,61275.274,,11,wisdom
screen,html.Screen,0_2_0_1_12,2021-11-12T15:30:10.109Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,635.3260000238442,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ says ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,61911.39999997616,61910.60000002384,61258.604,61271.800000071526,61275.274,61925.519,,12,says
