sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,item,list,music_frequency,offensiveness,pleasantness,preference,response,response_action,snippet_file,song_name,song_rating,sound,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Instructions,html.Page,0_0,2021-12-03T10:44:03.664Z,"{""labjs_version"":""20.2.3"",""labjs_build"":{""flavor"":""production"",""commit"":""7ea907d66ca8aeef8054924ca5d82ffbe11e34e5""},""location"":""https://run.pavlovia.org/mvasilev/lab_music_d/"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""Europe/London"",""timezoneOffset"":0,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1920,""scroll_height"":959,""window_innerWidth"":1920,""window_innerHeight"":1007,""devicePixelRatio"":1}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,12723.382999964237,,form submission,,,,,,,,,,,,,,,,21444.399999976158,21443.599999964237,8686.887,8696.699999988079,8720.217,21446.581,{},,
Headphones,html.Page,0_1,2021-12-03T10:44:06.980Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3312.9190000000017,,form submission,,,,,,,,,,,,,,,,24759.799999952316,24759.5,21429.895,21444.799999952316,21446.581,24769.867,,,
Holding screen,html.Screen,0_2_0_0,2021-12-03T10:44:16.976Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999.601999999999,,timeout,,,,,,,,,,,,,,,,34756.59999996424,34752.804,24753.202,24760.19999998808,24769.867,34769.469,,,
screen,html.Screen,0_2_0_1_0,2021-12-03T10:44:17.826Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,836.2309999880817,,response,,,99,,,,,,Space,keypress(Space),,,,,When -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,35606.69999998808,35605.69999998808,34752.804,34756.89999997616,34769.469,35636.127,,0,When
screen,html.Screen,0_2_0_1_1,2021-12-03T10:44:18.010Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,153.57299998807866,,response,,,99,,,,,,Space,keypress(Space),,,,,---- it ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,35790.39999997616,35789.69999998808,35619.462,35607,35636.127,35802.874,,1,it
screen,html.Screen,0_2_0_1_2,2021-12-03T10:44:18.394Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,370.7259999642338,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- comes -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,36174.39999997616,36173.59999996424,35786.208,35790.59999996424,35802.874,36186.199,,2,comes
screen,html.Screen,0_2_0_1_3,2021-12-03T10:44:18.762Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,355.4009999642367,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- to ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,36542.39999997616,36541.59999996424,36169.533,36174.5,36186.199,36552.906,,3,to
screen,html.Screen,0_2_0_1_4,2021-12-03T10:44:19.122Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,348.7939999880764,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- having - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,36902.59999996424,36901.69999998808,36536.239,36542.799999952316,36552.906,36919.357,,4,having
screen,html.Screen,0_2_0_1_5,2021-12-03T10:44:19.442Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,302.34299998807546,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- ------ a ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,37222.39999997616,37221.69999998808,36902.694,36902.799999952316,36919.357,37236.213,,5,a
screen,html.Screen,0_2_0_1_6,2021-12-03T10:44:19.818Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,361.4869999880757,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - lasting --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,37598.39999997616,37597.69999998808,37219.545,37222.59999996424,37236.213,37602.741,,6,lasting
