sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,item,list,music_frequency,offensiveness,pleasantness,preference,response,response_action,snippet_file,song_name,song_rating,sound,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Instructions,html.Page,0_0,2021-11-26T13:18:13.550Z,"{""labjs_version"":""20.2.3"",""labjs_build"":{""flavor"":""production"",""commit"":""7ea907d66ca8aeef8054924ca5d82ffbe11e34e5""},""location"":""https://run.pavlovia.org/mvasilev/lab_music_e/"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""Europe/London"",""timezoneOffset"":0,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1920,""scroll_height"":959,""window_innerWidth"":1920,""window_innerHeight"":1007,""devicePixelRatio"":1}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,17733.231999999625,,form submission,,,,,,,,,,,,,,,,25391.400000000373,25390.599999999627,7640.703,7653.299999998882,7657.368,25388.88,{},,
Headphones,html.Page,0_1,2021-11-26T13:18:16.734Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3186.9199999988814,,form submission,,,,,,,,,,,,,,,,28576.099999999627,28575.799999998882,25372.195,25391.900000000373,25388.88,28589.694,,,
Holding screen,html.Screen,0_2_0_0,2021-11-26T13:18:26.735Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999.636999999999,,timeout,,,,,,,,,,,,,,,,38576.699999999255,38572.666,28573.029,28576.5,28589.694,38589.331,,,
screen,html.Screen,0_2_0_1_0,2021-11-26T13:18:27.919Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,1170.8689999992566,,response,,,99,,,,,,Space,keypress(Space),,,,,When -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,39761.199999999255,39760.199999999255,38572.666,38577,38589.331,39772.579,,0,When
screen,html.Screen,0_2_0_1_1,2021-11-26T13:18:28.311Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,379.2209999988845,,response,,,99,,,,,,Space,keypress(Space),,,,,---- it ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,40152.59999999963,40151.79999999888,39755.914,39761.5,39772.579,40155.962,,1,it
screen,html.Screen,0_2_0_1_2,2021-11-26T13:18:28.671Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,355.938000000373,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- comes -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,40512.59999999963,40511.90000000037,40139.297,40152.699999999255,40155.962,40522.598,,2,comes
screen,html.Screen,0_2_0_1_3,2021-11-26T13:18:29.079Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,397.3020000003744,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- to ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,40920.5,40919.90000000037,40505.933,40512.79999999888,40522.598,40922.588,,3,to
screen,html.Screen,0_2_0_1_4,2021-11-26T13:18:29.415Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,333.21199999887904,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- having - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,41256.699999999255,41255.79999999888,40905.923,40920.90000000037,40922.588,41272.566,,4,having
screen,html.Screen,0_2_0_1_5,2021-11-26T13:18:29.807Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,375.33400000037363,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- ------ a ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,41648.59999999963,41647.90000000037,41255.901,41256.90000000037,41272.566,41655.875,,5,a
screen,html.Screen,0_2_0_1_6,2021-11-26T13:18:30.423Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,607.9249999988824,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - lasting --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,42264.5,42263.79999999888,41639.21,41649,41655.875,42272.497,,6,lasting
screen,html.Screen,0_2_0_1_7,2021-11-26T13:18:30.839Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,407.3029999988794,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - ------- and ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,42680.59999999963,42679.79999999888,42255.832,42264.79999999888,42272.497,42689.166,,7,and
