sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,item,list,music_frequency,offensiveness,pleasantness,preference,response,response_action,snippet_file,song_name,song_rating,sound,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Instructions,html.Page,0_0,2021-12-10T10:29:03.682Z,"{""labjs_version"":""20.2.3"",""labjs_build"":{""flavor"":""production"",""commit"":""7ea907d66ca8aeef8054924ca5d82ffbe11e34e5""},""location"":""https://run.pavlovia.org/mvasilev/lab_music_f/"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""Europe/London"",""timezoneOffset"":0,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1920,""scroll_height"":959,""window_innerWidth"":1920,""window_innerHeight"":1007,""devicePixelRatio"":1}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,48252.791000047684,,form submission,,,,,,,,,,,,,,,,57780.5,57779.200000047684,9476.399,9493.900000095367,9526.409,57775.384,{},,
Headphones,html.Page,0_1,2021-12-10T10:29:06.375Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2694.2160000238437,,form submission,,,,,,,,,,,,,,,,60470,60469.60000002384,57758.706,57781.200000047684,57775.384,60475.159,,,
Holding screen,html.Screen,0_2_0_0,2021-12-10T10:29:16.370Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.668000000005,,timeout,,,,,,,,,,,,,,,,70465.30000007153,70459.157,60458.478,60470.5,60475.159,70475.827,,,
screen,html.Screen,0_2_0_1_0,2021-12-10T10:29:18.110Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,1728.373000047679,,response,,,99,,,,,,Space,keypress(Space),,,,,When -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,72205.60000002384,72204.20000004768,70459.157,70465.70000004768,70475.827,72209.83,,0,When
screen,html.Screen,0_2_0_1_1,2021-12-10T10:29:19.238Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,1121.870000047682,,response,,,99,,,,,,Space,keypress(Space),,,,,---- it ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,73332.70000004768,73331.70000004768,72193.159,72206,72209.83,73343.248,,1,it
screen,html.Screen,0_2_0_1_2,2021-12-10T10:29:20.389Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,1140.4520000476768,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- comes -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,74484.60000002384,74483.70000004768,73326.578,73333,73343.248,74493.567,,2,comes
screen,html.Screen,0_2_0_1_3,2021-12-10T10:29:21.293Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,894.1330000476883,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- to ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,75388.60000002384,75387.70000004768,74476.897,74484.90000009537,74493.567,75393.876,,3,to
screen,html.Screen,0_2_0_1_4,2021-12-10T10:29:22.254Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,953.724000023838,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- having - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,76348.80000007153,76347.60000002384,75377.206,75389.10000002384,75393.876,76360.886,,4,having
screen,html.Screen,0_2_0_1_5,2021-12-10T10:29:22.821Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,554.7140000238433,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- ------ a ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,76916.5,76915.60000002384,76344.215,76349.10000002384,76360.886,76927.621,,5,a
screen,html.Screen,0_2_0_1_6,2021-12-10T10:29:23.357Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,523.8790000000008,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - lasting --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,77452.5,77451.5,76910.951,76917,76927.621,77461.116,,6,lasting
