"subject","labjs_version","browser","browser_version","screen_width","screen_height","device_pixel_ratio","platform","OS"
1,"'20'2'2","Edge","97.0.1072","1280","720","1.5","""Win32","Windows"
2,"'20'2'2","Chrome","97.0.4692","1280","800","2","""MacIntel","Mac OS X"
3,"'20'2'2","Firefox","96.0.","1536","864","1.25","""Win32","Windows"
4,"'20'2'2","Firefox","96.0.","1920","1080","1","""Win32","Windows"
5,"'20'2'2","Firefox","96.0.","1536","864","1.25","""Win32","Windows"
6,"'20'2'2","Chrome","97.0.4692","1536","864","1.25","""Win32","Windows"
7,"'20'2'2","Chrome","97.0.4692","1536","864","1.25","""Win32","Windows"
8,"'20'2'2","Chrome","97.0.4692","1440","900","2","""MacIntel","Mac OS X"
9,"'20'2'2","Chrome","97.0.4692","1920","1080","0.8999999761581421","""Win32","Windows"
10,"'20'2'2","Chrome","97.0.4692","1440","900","2","""MacIntel","Mac OS X"
11,"'20'2'2","Chrome","97.0.4692","1280","720","1.5","""Win32","Windows"
12,"'20'2'2","Chrome","97.0.4692","1536","864","1.25","""Win32","Windows"
13,"'20'2'2","Chrome","97.0.4692","1920","1080","1","""Win32","Windows"
14,"'20'2'2","Chrome","97.0.4692","1280","720","1.2000000476837158","""Win32","Windows"
15,"'20'2'2","Chrome","97.0.4692","1440","900","2","""MacIntel","Mac OS X"
16,"'20'2'2","Chrome","97.0.4692","2560","1080","1","""Win32","Windows"
17,"'20'2'2","Chrome","97.0.4692","1536","864","1.25","""Linux x86_64","Chrome OS"
