sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2022-02-15T16:44:54.159Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific2_music_b/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 OPR/83.0.4254.46"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":0,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1879,""scroll_height"":914,""window_innerWidth"":1879,""window_innerHeight"":962,""devicePixelRatio"":1}",,,,,,,,,,,,,,,5c6838ea5f8d580001e8a8ab,,,,,,,,,,,,,,,14408.597000002235,,form submission,,,,,,,,,,,,,,,,,,,,,24166.60000000149,24166.400000002235,9741.147,9756.20000000298,9757.803,24172.246,{},,
Introduction,html.Screen,1_0,2022-02-15T16:44:57.713Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3547.054000000746,,response,,,,,,,,,,,continue,click button,,,,,,,,,27720.800000000745,27719.300000000745,24155.496,24166.900000002235,24172.246,27725.808,,,
Volume calibration,html.Screen,1_1,2022-02-15T16:45:13.027Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15307.492000000744,,response,,,,,,,,,,,continue,click button,,,,,,,,,43035.60000000149,43033.300000000745,27709.108,27720.900000002235,27725.808,43041.124,,,
Task instructions,html.Screen,1_2,2022-02-15T16:45:19.100Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6066.076000002977,,response,,,,,,,,,,,continue,click button,,,,,,,,,49107.900000002235,49107.20000000298,43024.351,43035.70000000298,43041.124,49113.838,,,
Sounds,html.Screen,1_3_0_0,2022-02-15T16:45:23.345Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4254.197999999997,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,53352.800000000745,53351.372,49097.096,49108.10000000149,49113.838,53368.036,,,
Judgement,html.Screen,1_3_0_1,2022-02-15T16:45:24.876Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,1515.264000000745,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,54884.10000000149,54883.300000000745,53351.372,53352.800000000745,53368.036,54902.861,,,
Trial,flow.Sequence,1_3_0,2022-02-15T16:45:24.876Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5769.462000000742,,completion,,,,,,,,,1,,,,,,,,S,O,I,,54884.300000000745,54883.300000000745,49097.096,49108,49113.838,54902.861,,,
Sounds,html.Screen,1_3_1_0,2022-02-15T16:45:29.133Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4254.276000000005,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,59140.800000000745,59140.436,54886.202,54884.400000002235,54902.861,59157.137,,,
Judgement,html.Screen,1_3_1_1,2022-02-15T16:45:29.488Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,338.26300000223273,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,59496.60000000149,59495.400000002235,59140.436,59140.900000002235,59157.137,59507.519,,,
Trial,flow.Sequence,1_3_1,2022-02-15T16:45:29.489Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4592.539000002238,,completion,,,,,,,,,2,,,,,,,,O,S,I,,59496.900000002235,59495.400000002235,54886.202,54884.300000000745,54902.861,59507.519,,,
Sounds,html.Screen,1_3_2_0,2022-02-15T16:45:33.738Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4254.184999999998,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,63745.400000002235,63745.009,59490.86,59497,59507.519,63761.704,,,
