sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2022-02-17T14:58:38.280Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific2_music_e/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":0,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1920,""scroll_height"":889,""window_innerWidth"":1920,""window_innerHeight"":937,""devicePixelRatio"":1}",,,,,,,,,,,,,,,60b8a2ea5eb4ad8ae98302f9,,,,,,,,,,,,,,,7661.576999999999,,form submission,,,,,,,,,,,,,,,,,,,,,20809.5,20809,13113.757,13125.900000000373,13147.423,20814.038,{},,
Introduction,html.Screen,1_0,2022-02-17T14:58:45.592Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7304.4619999999995,,response,,,,,,,,,,,continue,click button,,,,,,,,,28121.5,28118.5,20797.682,20809.900000000373,20814.038,28130.764,,,
Volume calibration,html.Screen,1_1,2022-02-17T14:59:07.707Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22102.636000000373,,response,,,,,,,,,,,continue,click button,,,,,,,,,50236.70000000112,50233.40000000037,28114.142,28121.60000000149,28130.764,50247.518,,,
Task instructions,html.Screen,1_2,2022-02-17T14:59:36.782Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29061.68200000112,,response,,,,,,,,,,,continue,click button,,,,,,,,,79310.90000000037,79309.20000000112,50230.922,50236.90000000037,50247.518,79314.041,,,
Sounds,html.Screen,1_3_0_0,2022-02-17T14:59:41.020Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250.005000000005,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,83549.5,83547.618,79297.332,79311,79314.041,83564.046,,,
Judgement,html.Screen,1_3_0_1,2022-02-17T14:59:42.350Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,1314.054000001488,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,84879.30000000075,84878.10000000149,83547.618,83549.60000000149,83564.046,84880.735,,,
Trial,flow.Sequence,1_3_0,2022-02-17T14:59:42.350Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5564.059000001493,,completion,,,,,,,,,1,,,,,,,,S,O,I,,84879.60000000149,84878.10000000149,79297.332,79311,79314.041,84880.735,,,
Sounds,html.Screen,1_3_1_0,2022-02-17T14:59:46.586Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250.0869999999995,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,89115,89114.306,84864.118,84879.70000000112,84880.735,89130.822,,,
Judgement,html.Screen,1_3_1_1,2022-02-17T14:59:47.279Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,676.1779999999999,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,89808.20000000112,89807,89114.306,89115.10000000149,89130.822,89814.156,,,
Trial,flow.Sequence,1_3_1,2022-02-17T14:59:47.279Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4926.264999999999,,completion,,,,,,,,,3,,,,,,,,O,I,S,,89808.5,89807,84864.118,84879.70000000112,84880.735,89814.156,,,
Sounds,html.Screen,1_3_2_0,2022-02-17T14:59:51.520Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.967000000004,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,94049.40000000037,94047.48,89797.637,89808.70000000112,89814.156,94064.123,,,
Judgement,html.Screen,1_3_2_1,2022-02-17T14:59:52.183Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,647.2770000003657,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,94712.20000000112,94711.40000000037,94047.48,94050,94064.123,94714.09,,,
Trial,flow.Sequence,1_3_2,2022-02-17T14:59:52.183Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4897.24400000037,,completion,,,,,,,,,1,,,,,,,,S,I,O,,94712.5,94711.40000000037,89797.637,89808.60000000149,89814.156,94714.09,,,
