sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2022-02-03T13:03:07.530Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific2_music_f/"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36"",""platform"":""MacIntel"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":0,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":716,""window_innerWidth"":1440,""window_innerHeight"":764,""devicePixelRatio"":2}",,,,,,,,,,,,,,,6162dc2bee2699a19022b8f4,,,,,,,,,,,,,,,5755.226999999999,,form submission,,,,,,,,,,,,,,,,,,,,,37111.80000001192,37111,31339.107,31341.80000001192,31355.773,37119.515,{},,
Introduction,html.Screen,1_0,2022-02-03T13:03:12.057Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4512.985000000001,,response,,,,,,,,,,,continue,click button,,,,,,,,,41638.80000001192,41632.5,37102.849,37112.59999999404,37119.515,41636.001,,,
Volume calibration,html.Screen,1_1,2022-02-03T13:03:32.907Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20842.399000005964,,response,,,,,,,,,,,continue,click button,,,,,,,,,62488.09999999404,62478.40000000596,41619.335,41639,41636.001,62492.855,,,
Task instructions,html.Screen,1_2,2022-02-03T13:03:40.169Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7254.144999999997,,response,,,,,,,,,,,continue,click button,,,,,,,,,69750.09999999404,69747,62476.189,62488.20000001788,62492.855,69756.546,,,
Sounds,html.Screen,1_3_0_0,2022-02-03T13:03:44.415Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.830000000002,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,73995.59999999404,73989.71,69739.88,69750.40000000596,69756.546,74006.376,,,
Judgement,html.Screen,1_3_0_1,2022-02-03T13:03:48.124Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,3694.8240000178776,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,77705.30000001192,77701.20000001788,73989.71,73995.80000001192,74006.376,77719.297,,,
Trial,flow.Sequence,1_3_0,2022-02-03T13:03:48.127Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7944.654000017879,,completion,,,,,,,,,1,,,,,,,,S,O,I,,77708,77701.20000001788,69739.88,69750.40000000596,69756.546,77719.297,,,
Sounds,html.Screen,1_3_1_0,2022-02-03T13:03:52.374Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.829999999987,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,81954.59999999404,81952.461,77702.631,77709.20000001788,77719.297,81969.127,,,
Judgement,html.Screen,1_3_1_1,2022-02-03T13:03:53.491Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2,,1099.4729999940464,,response,,,,,,,,,2,,1,click #choice-1,,,,,O,S,I,,83072.30000001192,83068.59999999404,81952.461,81954.80000001192,81969.127,83085.749,,,
Trial,flow.Sequence,1_3_1,2022-02-03T13:03:53.492Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5349.302999994034,,completion,,,,,,,,,2,,,,,,,,O,S,I,,83072.80000001192,83068.59999999404,77702.631,77708.90000000596,77719.297,83085.749,,,
Sounds,html.Screen,1_3_2_0,2022-02-03T13:03:57.740Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.830000000002,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,87320.59999999404,87318.913,83069.083,83073.09999999404,83085.749,87335.579,,,
Judgement,html.Screen,1_3_2_1,2022-02-03T13:03:58.417Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,657.9210000000021,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,87997.40000000596,87993.5,87318.913,87320.90000000596,87335.579,88001.188,,,
Trial,flow.Sequence,1_3_2,2022-02-03T13:03:58.417Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4907.751000000004,,completion,,,,,,,,,3,,,,,,,,O,I,S,,87997.90000000596,87993.5,83069.083,83073,83085.749,88001.188,,,
Sounds,html.Screen,1_3_3_0,2022-02-03T13:04:02.657Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.830000000002,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,92237.59999999404,92234.352,87984.522,87998.09999999404,88001.188,92251.018,,,
Judgement,html.Screen,1_3_3_1,2022-02-03T13:04:03.490Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,815.7820000119245,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,93070.40000000596,93066.80000001192,92234.352,92237.80000001192,92251.018,93084.318,,,
Trial,flow.Sequence,1_3_3,2022-02-03T13:04:03.490Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5065.612000011926,,completion,,,,,,,,,1,,,,,,,,S,I,O,,93070.80000001192,93066.80000001192,87984.522,87998,88001.188,93084.318,,,
Sounds,html.Screen,1_3_4_0,2022-02-03T13:04:07.740Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.830000000002,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,97320.90000000596,97317.482,93067.652,93070.90000000596,93084.318,97334.148,,,
Judgement,html.Screen,1_3_4_1,2022-02-03T13:04:08.143Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,385.85199999999895,,response,,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,97723.09999999404,97720,97317.482,97321.09999999404,97334.148,97750.798,,,
Trial,flow.Sequence,1_3_4,2022-02-03T13:04:08.143Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4635.682000000001,,completion,,,,,,,,,2,,,,,,,,I,S,O,,97723.40000000596,97720,93067.652,93070.80000001192,93084.318,97750.798,,,
Sounds,html.Screen,1_3_5_0,2022-02-03T13:04:12.406Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.830000000002,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,101986.5,101983.962,97734.132,97723.5,97750.798,102000.628,,,
Judgement,html.Screen,1_3_5_1,2022-02-03T13:04:13.179Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,755.4719999940426,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,102759.59999999404,102756.09999999404,101983.962,101986.59999999404,102000.628,102771.728,,,
