sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2022-02-03T15:35:59.451Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific2_music_b/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.76"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""Europe/London"",""timezoneOffset"":0,""screen_width"":1366,""screen_height"":768,""scroll_width"":1349,""scroll_height"":659,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,,,,,,,,,,,,60780a1d2f47465618b6f69b,,,,,,,,,,,,,,,10679.499000023843,,form submission,,,,,,,,,,,,,,,,,,,,,31690.20000001788,31687.100000023842,20941,20947.70000001788,21007.601,31747.243,{},,
Introduction,html.Screen,1_0,2022-02-03T15:36:04.354Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4836.957000017883,,response,,,,,,,,,,,continue,click button,,,,,,,,,36593.70000001788,36584.20000001788,31663.987,31692.30000001192,31747.243,36625.717,,,
Volume calibration,html.Screen,1_1,2022-02-03T15:36:25.168Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20770.983000017884,,response,,,,,,,,,,,continue,click button,,,,,,,,,57407.90000000596,57396.70000001788,36575.911,36595,36625.717,57422.044,,,
Task instructions,html.Screen,1_2,2022-02-03T15:36:38.081Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12895.455999999998,,response,,,,,,,,,,,continue,click button,,,,,,,,,70320.60000002384,70317.5,57388.877,57408.5,57422.044,70326.087,,,
Sounds,html.Screen,1_3_0_0,2022-02-03T15:36:42.325Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4245.847999999998,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,74564,74555.404,70309.572,70321.70000001788,70326.087,74571.935,,,
Judgement,html.Screen,1_3_0_1,2022-02-03T15:36:43.809Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,1472.6650000238442,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,76048.30000001192,76044.60000002384,74555.404,74564.90000000596,74571.935,76053.814,,,
Trial,flow.Sequence,1_3_0,2022-02-03T15:36:43.811Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5718.513000023842,,completion,,,,,,,,,3,,,,,,,,I,O,S,,76049.80000001192,76044.60000002384,70309.572,70321.5,70326.087,76053.814,,,
Sounds,html.Screen,1_3_1_0,2022-02-03T15:36:48.046Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4245.832999999999,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,80285.40000000596,80283.145,76037.228,76051.30000001192,76053.814,80299.647,,,
Judgement,html.Screen,1_3_1_1,2022-02-03T15:36:48.980Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,914.6530000119237,,response,,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,81218.90000000596,81214.30000001192,80283.145,80286.20000001788,80299.647,81232.097,,,
Trial,flow.Sequence,1_3_1,2022-02-03T15:36:48.981Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5160.486000011922,,completion,,,,,,,,,2,,,,,,,,I,S,O,,81220.30000001192,81214.30000001192,76037.228,76050.40000000596,76053.814,81232.097,,,
Sounds,html.Screen,1_3_2_0,2022-02-03T15:36:53.225Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4245.748000000007,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,85464.10000002384,85461.411,81215.403,81221.30000001192,81232.097,85477.845,,,
Judgement,html.Screen,1_3_2_1,2022-02-03T15:36:54.038Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,796.2550000238407,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,86277.5,86274.10000002384,85461.411,85464.90000000596,85477.845,86302.805,,,
Trial,flow.Sequence,1_3_2,2022-02-03T15:36:54.040Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5042.003000023848,,completion,,,,,,,,,1,,,,,,,,S,O,I,,86279,86274.10000002384,81215.403,81220.90000000596,81232.097,86302.805,,,
Sounds,html.Screen,1_3_3_0,2022-02-03T15:36:58.303Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4254.343000000008,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,90542.20000001788,90539.775,86260.621,86280.10000002384,86302.805,90557.148,,,
Judgement,html.Screen,1_3_3_1,2022-02-03T15:37:00.629Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,2307.851999999999,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,92868.5,92865,90539.775,90543,90557.148,92870.7,,,
