sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2022-02-04T11:29:29.363Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific2_music_c/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""Europe/London"",""timezoneOffset"":0,""screen_width"":1536,""screen_height"":864,""scroll_width"":1536,""scroll_height"":674,""window_innerWidth"":1536,""window_innerHeight"":722,""devicePixelRatio"":1.25}",,,,,,,,,,,,,,,5defac7e56b506000cdd3b32,,,,,,,,,,,,,,,8237.899000000745,,form submission,,,,,,,,,,,,,,,,,,,,,15879.100000000559,15878.800000000745,7607.588,7617.9000000003725,7640.901,15889.849,{},,
Introduction,html.Screen,1_0,2022-02-04T11:29:33.428Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4051.951000000745,,response,,,,,,,,,,,continue,click button,,,,,,,,,19943.60000000056,19941.800000000745,15873.64,15879.300000000745,15889.849,19955.982,,,
Volume calibration,html.Screen,1_1,2022-02-04T11:29:47.602Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14161.418000000373,,response,,,,,,,,,,,continue,click button,,,,,,,,,34118.20000000112,34117.40000000037,19939.671,19943.700000000186,19955.982,34120.845,,,
Task instructions,html.Screen,1_2,2022-02-04T11:29:55.986Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8381.055000000371,,response,,,,,,,,,,,continue,click button,,,,,,,,,42502.59999999963,42501.90000000037,34104.664,34118.20000000112,34120.845,42503.1,,,
Sounds,html.Screen,1_3_0_0,2022-02-04T11:30:00.222Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.461000000003,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,46738.40000000037,46735.905,42486.494,42502.70000000112,42503.1,46752.561,,,
Judgement,html.Screen,1_3_0_1,2022-02-04T11:30:01.754Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,1517.2390000007435,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,48270.59999999963,48269.800000000745,46735.905,46738.40000000037,46752.561,48285.956,,,
Trial,flow.Sequence,1_3_0,2022-02-04T11:30:01.754Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5766.7000000007465,,completion,,,,,,,,,1,,,,,,,,S,O,I,,48270.800000000745,48269.800000000745,42486.494,42502.70000000112,42503.1,48285.956,,,
Sounds,html.Screen,1_3_1_0,2022-02-04T11:30:06.003Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.389999999999,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,52519.40000000037,52518.937,48269.498,48271,48285.956,52535.346,,,
Judgement,html.Screen,1_3_1_1,2022-02-04T11:30:07.210Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,1190.5540000003748,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,53726.800000000745,53725.90000000037,52518.937,52519.5,52535.346,53735.17,,,
Trial,flow.Sequence,1_3_1,2022-02-04T11:30:07.210Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5439.944000000374,,completion,,,,,,,,,1,,,,,,,,S,I,O,,53726.90000000037,53725.90000000037,48269.498,48270.800000000745,48285.956,53735.17,,,
Sounds,html.Screen,1_3_2_0,2022-02-04T11:30:11.453Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.757000000005,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,57969.800000000745,57968.081,53718.756,53727,53735.17,57984.927,,,
Judgement,html.Screen,1_3_2_1,2022-02-04T11:30:12.266Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,796.9730000003692,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,58782.59999999963,58781.90000000037,57968.081,57970,57984.927,58784.39,,,
Trial,flow.Sequence,1_3_2,2022-02-04T11:30:12.266Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5046.730000000374,,completion,,,,,,,,,2,,,,,,,,O,S,I,,58782.800000000745,58781.90000000037,53718.756,53727,53735.17,58784.39,,,
Sounds,html.Screen,1_3_3_0,2022-02-04T11:30:16.502Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250.014000000003,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,63018.70000000112,63017.154,58767.904,58782.800000000745,58784.39,63034.404,,,
Judgement,html.Screen,1_3_3_1,2022-02-04T11:30:17.178Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,659.4960000003703,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,63694.70000000112,63693.90000000037,63017.154,63018.70000000112,63034.404,63700.907,,,
Trial,flow.Sequence,1_3_3,2022-02-04T11:30:17.178Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4909.510000000373,,completion,,,,,,,,,3,,,,,,,,I,O,S,,63694.90000000037,63693.90000000037,58767.904,58782.800000000745,58784.39,63700.907,,,
Sounds,html.Screen,1_3_4_0,2022-02-04T11:30:21.418Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4248.999000000003,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,67934.30000000075,67933.603,63684.2,63695,63700.907,67949.906,,,
