sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2022-02-21T15:48:46.605Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific2_music_d/"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36"",""platform"":""MacIntel"",""language"":""en-US"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":0,""screen_width"":1280,""screen_height"":800,""scroll_width"":1242,""scroll_height"":570,""window_innerWidth"":1242,""window_innerHeight"":618,""devicePixelRatio"":2}",,,,,,,,,,,,,,,609c417cf3543ef094823a57,,,,,,,,,,,,,,,7010.994999999999,,form submission,,,,,,,,,,,,,,,,,,,,,30924.5,30924,23879.657,23894.19999999553,23913.005,30946.294,{},,
Introduction,html.Screen,1_0,2022-02-21T15:48:51.642Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5011.605999998508,,response,,,,,,,,,,,continue,click button,,,,,,,,,35961.39999999851,35957.89999999851,30912.946,30924.69999999553,30946.294,35965.168,,,
Volume calibration,html.Screen,1_1,2022-02-21T15:49:06.355Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14704.332000000002,,response,,,,,,,,,,,continue,click button,,,,,,,,,50673.89999999851,50669.5,35948.494,35961.59999999404,35965.168,50686.967,,,
Task instructions,html.Screen,1_2,2022-02-21T15:49:16.020Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9649.632999994043,,response,,,,,,,,,,,continue,click button,,,,,,,,,60338.69999999553,60336.59999999404,50670.293,50673.89999999851,50686.967,60341.213,,,
Sounds,html.Screen,1_3_0_0,2022-02-21T15:49:20.253Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4242.962999999996,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,64571.79999999702,64567.502,60324.539,60338.89999999851,60341.213,64584.176,,,
Judgement,html.Screen,1_3_0_1,2022-02-21T15:49:21.329Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,1061.42399999404,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,65647.89999999851,65645.59999999404,64567.502,64572,64584.176,65651.312,,,
Trial,flow.Sequence,1_3_0,2022-02-21T15:49:21.329Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5304.386999994036,,completion,,,,,,,,,3,,,,,,,,O,I,S,,65648.19999999553,65645.59999999404,60324.539,60338.89999999851,60341.213,65651.312,,,
Sounds,html.Screen,1_3_1_0,2022-02-21T15:49:25.570Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4251.869999999995,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,69888.79999999702,69886.508,65634.638,65648.5,65651.312,69903.182,,,
Judgement,html.Screen,1_3_1_1,2022-02-21T15:49:26.389Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,801.7179999985092,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,70707.19999999553,70704.89999999851,69886.508,69889,69903.182,70720.208,,,
Trial,flow.Sequence,1_3_1,2022-02-21T15:49:26.389Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5053.5879999985045,,completion,,,,,,,,,1,,,,,,,,S,I,O,,70707.5,70704.89999999851,65634.638,65648.29999999702,65651.312,70720.208,,,
