sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2022-02-15T13:03:15.093Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific2_music_e/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.81 Safari/537.36"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":0,""screen_width"":1536,""screen_height"":864,""scroll_width"":1536,""scroll_height"":706,""window_innerWidth"":1536,""window_innerHeight"":754,""devicePixelRatio"":1.25}",,,,,,,,,,,,,,,6053583d8ec99854b153ffff,,,,,,,,,,,,,,,8981.813999809265,,form submission,,,,,,,,,,,,,,,,,,,,,24136.799999952316,24136.199999809265,15120.657,15135.199999809265,15154.386,24252.197,{},,
Introduction,html.Screen,1_0,2022-02-15T13:03:19.483Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4271.702999856949,,response,,,,,,,,,,,continue,click button,,,,,,,,,28527,28523.89999985695,24119.007,24137.099999904633,24252.197,28534.51,,,
Volume calibration,html.Screen,1_1,2022-02-15T13:03:55.024Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35528.990000000005,,response,,,,,,,,,,,continue,click button,,,,,,,,,64067.5,64063.5,28517.951,28527.199999809265,28534.51,64076.017,,,
Task instructions,html.Screen,1_2,2022-02-15T13:03:59.138Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4104.2829999523165,,response,,,,,,,,,,,continue,click button,,,,,,,,,68181.29999995232,68180.29999995232,64059.523,64067.59999990463,64076.017,68191.766,,,
Sounds,html.Screen,1_3_0_0,2022-02-15T13:04:03.388Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4248.975999999995,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,72431.09999990463,72424.076,68175.256,68181.5,68191.766,72440.742,,,
Judgement,html.Screen,1_3_0_1,2022-02-15T13:04:05.090Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,1691.557999952318,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,74133.39999985695,74132.29999995232,72424.076,72431.59999990463,72440.742,74140.318,,,
Trial,flow.Sequence,1_3_0,2022-02-15T13:04:05.090Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5940.533999952313,,completion,,,,,,,,,1,,,,,,,,S,O,I,,74133.69999980927,74132.29999995232,68175.256,68181.39999985695,68191.766,74140.318,,,
Sounds,html.Screen,1_3_1_0,2022-02-15T13:04:09.331Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4248.981,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,78374.59999990463,78372.903,74123.746,74134,74140.318,78389.299,,,
Judgement,html.Screen,1_3_1_1,2022-02-15T13:04:09.891Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,543.7010000000009,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,78934.59999990463,78933,78372.903,78374.89999985695,78389.299,78939.155,,,
Trial,flow.Sequence,1_3_1,2022-02-15T13:04:09.891Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4792.682000000001,,completion,,,,,,,,,3,,,,,,,,O,I,S,,78934.79999995232,78933,74123.746,74133.79999995232,74140.318,78939.155,,,
