sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2022-02-15T14:05:57.450Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific2_music_f/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36 Edg/98.0.1108.50"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":0,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,,,,,,,,,,,,5afc14a00b2d5f00015693b4,,,,,,,,,,,,,,,7082.571,,form submission,,,,,,,,,,,,,,,,,,,,,23464.799999999814,23463.5,16330.819,16339.099999999627,16380.929,23490.673,{},,
Introduction,html.Screen,1_0,2022-02-15T14:07:20.186Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82706.327,,response,,,,,,,,,,,continue,click button,,,,,,,,,106203.09999999963,106197,23457.44,23465.900000000373,23490.673,106209.719,,,
Volume calibration,html.Screen,1_1,2022-02-15T14:07:40.535Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20335.98100000019,,response,,,,,,,,,,,continue,click button,,,,,,,,,126552.29999999981,126545.70000000019,106193.382,106203.5,106209.719,126556.395,,,
Task instructions,html.Screen,1_2,2022-02-15T14:07:51.488Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10946.90499999981,,response,,,,,,,,,,,continue,click button,,,,,,,,,137504.90000000037,137503.2999999998,126539.818,126552.59999999963,126556.395,137512.371,,,
Sounds,html.Screen,1_3_0_0,2022-02-15T14:07:55.731Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4245.888999999996,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,141748.5,141741.522,137496.042,137505.40000000037,137512.371,141758.26,,,
Judgement,html.Screen,1_3_0_1,2022-02-15T14:07:57.269Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,1525.940000000177,,response,,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,143286.2999999998,143284.2000000002,141741.522,141748.7999999998,141758.26,143290.018,,,
Trial,flow.Sequence,1_3_0,2022-02-15T14:07:57.270Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5771.8290000001725,,completion,,,,,,,,,2,,,,,,,,I,S,O,,143287.2000000002,143284.2000000002,137496.042,137505.2999999998,137512.371,143290.018,,,
Sounds,html.Screen,1_3_1_0,2022-02-15T14:08:01.504Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4245.849999999977,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,147520.7999999998,147519.189,143273.613,143288.2000000002,143290.018,147535.868,,,
Judgement,html.Screen,1_3_1_1,2022-02-15T14:08:01.925Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,404.03200000038487,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,147942.09999999963,147939.90000000037,147519.189,147521.09999999963,147535.868,147952.181,,,
Trial,flow.Sequence,1_3_1,2022-02-15T14:08:01.926Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4649.882000000362,,completion,,,,,,,,,2,,,,,,,,O,S,I,,147942.7999999998,147939.90000000037,143273.613,143287.5,143290.018,147952.181,,,
Sounds,html.Screen,1_3_2_0,2022-02-15T14:08:06.166Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4245.812999999995,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,152183.2999999998,152181.541,147935.524,147943.09999999963,147952.181,152197.994,,,
Judgement,html.Screen,1_3_2_1,2022-02-15T14:08:08.517Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,2335.4060000003665,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,154534.90000000037,154533.40000000037,152181.541,152183.5,152197.994,154545.626,,,
Trial,flow.Sequence,1_3_2,2022-02-15T14:08:08.517Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6581.219000000361,,completion,,,,,,,,,3,,,,,,,,I,O,S,,154535.5,154533.40000000037,147935.524,147943.09999999963,147952.181,154545.626,,,
Sounds,html.Screen,1_3_3_0,2022-02-15T14:08:12.759Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4246.168000000005,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,158776.7000000002,158774.836,154528.973,154535.7000000002,154545.626,158791.794,,,
Judgement,html.Screen,1_3_3_1,2022-02-15T14:08:13.143Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,367.30599999963306,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,159160.7000000002,159159.09999999963,158774.836,158777.09999999963,158791.794,159174.636,,,
Trial,flow.Sequence,1_3_3,2022-02-15T14:08:13.143Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4613.473999999638,,completion,,,,,,,,,3,,,,,,,,O,I,S,,159161.2000000002,159159.09999999963,154528.973,154535.59999999963,154545.626,159174.636,,,
Sounds,html.Screen,1_3_4_0,2022-02-15T14:08:17.388Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4245.641999999993,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,163405.7000000002,163403.938,159157.799,159161.59999999963,159174.636,163420.278,,,
Judgement,html.Screen,1_3_4_1,2022-02-15T14:08:17.824Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,420.3219999996363,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,163842,163840.59999999963,163403.938,163405.90000000037,163420.278,163853.189,,,
Trial,flow.Sequence,1_3_4,2022-02-15T14:08:17.824Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4665.963999999629,,completion,,,,,,,,,1,,,,,,,,S,I,O,,163842.5,163840.59999999963,159157.799,159161.5,159174.636,163853.189,,,
Sounds,html.Screen,1_3_5_0,2022-02-15T14:08:22.066Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4245.873999999982,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,168084.09999999963,168082.442,163836.545,163842.7999999998,163853.189,168099.063,,,
Judgement,html.Screen,1_3_5_1,2022-02-15T14:08:22.415Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,332.3370000003779,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,168432.7999999998,168431.40000000037,168082.442,168084.40000000037,168099.063,168448.639,,,
Trial,flow.Sequence,1_3_5,2022-02-15T14:08:22.415Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4578.2110000003595,,completion,,,,,,,,,1,,,,,,,,S,O,I,,168433,168431.40000000037,163836.545,163842.7000000002,163853.189,168448.639,,,
Task,flow.Loop,1_3,2022-02-15T14:08:22.421Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30919.02900000036,,completion,,,1,,,,,,,,,,,,,,,,,,168439.09999999963,168431.40000000037,137496.042,137505.2000000002,137512.371,168448.639,,,
Trap,html.Screen,1_4,2022-02-15T14:08:22.423Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,skipped,,,,,,,,,,,,,,,,,,,,,168440.7000000002,168431.40000000037,,168440.59999999963,,168448.639,,,
Thanks,html.Screen,1_5,2022-02-15T14:08:26.265Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3833.3610000000044,,response,,,,,,,,,,,continue,click button,,,,,,,,,172283.5,172282,168431.994,168440.90000000037,168448.639,175291.991,,,
