"subject","block_number","sound","list","block_time","block_time_s","block_time_m","block_start"
1,1,"Silence","A",186288.349000095,186.288349000095,3.10480581666826,41687
1,2,"Lyrical","A",184226.137000191,184.226137000191,3.07043561666985,41882
1,3,"Instrumental","A",168775.680999809,168.775680999809,2.81292801666349,42085
1,4,"Speech","A",178126.489000095,178.126489000095,2.96877481666826,42261
2,1,"Silence","A",178477.507999999,178.477507999999,2.97462513333331,43047
2,2,"Lyrical","A",153183.402999999,153.183402999999,2.55305671666664,43235
2,3,"Instrumental","A",143806.026999998,143.806026999998,2.39676711666664,43400
2,4,"Speech","A",145083.072999999,145.083072999999,2.41805121666665,43551
3,1,"Silence","A",187964.410999928,187.964410999928,3.13274018333214,43053
3,2,"Lyrical","A",181821.121000024,181.821121000024,3.03035201666706,43252
3,3,"Instrumental","A",165082.363000024,165.082363000024,2.75137271666706,43476
3,4,"Speech","A",189036.549999952,189.036549999952,3.15060916666587,43648
4,1,"Silence","A",273279.716,273.279716,4.55466193333333,42792
4,2,"Lyrical","A",248880.463,248.880463,4.14800771666666,43078
4,3,"Instrumental","A",218192.814,218.192814,3.63654690000001,43427
4,4,"Speech","A",227680.437,227.680437,3.79467395,43652
5,1,"Silence","A",263126.423,263.126423,4.38544038333333,42962
5,2,"Lyrical","A",254821.108,254.821108,4.24701846666667,43237
5,3,"Instrumental","A",213916.132,213.916132,3.56526886666666,43592
5,4,"Speech","A",229376.418,229.376418,3.8229403,43814
6,1,"Silence","A",158206.961999999,158.206961999999,2.63678269999999,48429
6,2,"Lyrical","A",135474.691999997,135.474691999997,2.25791153333328,48595
6,3,"Instrumental","A",133851.351999997,133.851351999997,2.23085586666662,48742
6,4,"Speech","A",139034.520999999,139.034520999999,2.31724201666664,48882
7,1,"Silence","A",201226.02,201.22602,3.353767,48437
7,2,"Lyrical","A",185289.9,185.2899,3.088165,48647
7,3,"Instrumental","A",167223.32,167.22332,2.78705533333333,48873
7,4,"Speech","A",170182.34,170.18234,2.83637233333333,49047
8,1,"Silence","A",159437.022000048,159.437022000048,2.65728370000079,50539
8,2,"Lyrical","A",144759.501,144.759501,2.41265835,50706
8,3,"Instrumental","A",128236.303,128.236303,2.13727171666667,50860
8,4,"Speech","A",140970.140000024,140.970140000024,2.34950233333373,50994
9,1,"Silence","A",166195.065000003,166.195065000003,2.76991775000005,51721
9,2,"Lyrical","A",178727.118000009,178.727118000009,2.97878530000015,51895
9,3,"Instrumental","A",153314.307,153.314307,2.55523845,52154
9,4,"Speech","A",169402.146000006,169.402146000006,2.8233691000001,52313
10,1,"Silence","A",183009,183.009,3.05015,51737
10,2,"Lyrical","A",183010,183.01,3.05016666666667,51930
10,3,"Instrumental","A",189388,189.388,3.15646666666667,52139
10,4,"Speech","A",177069,177.069,2.95115,52335
11,1,"Silence","A",175527.195000143,175.527195000143,2.92545325000238,51864
11,2,"Lyrical","A",190269.546000095,190.269546000095,3.17115910000159,52050
11,3,"Instrumental","A",161516.677,161.516677,2.69194461666667,52281
11,4,"Speech","A",166467.833000095,166.467833000095,2.77446388333492,52458
12,1,"Silence","A",245928.32,245.92832,4.09880533333333,51946
12,2,"Lyrical","A",244524.34,244.52434,4.07540566666667,52210
12,3,"Instrumental","A",204542.54,204.54254,3.40904233333333,52553
12,4,"Speech","A",227832.64,227.83264,3.79721066666666,52764
13,1,"Silence","A",204449.523999952,204.449523999952,3.40749206666587,52851
13,2,"Lyrical","A",237314.755999905,237.314755999905,3.95524593333174,53062
13,3,"Instrumental","A",181436.419999976,181.436419999976,3.02394033333294,53309
13,4,"Speech","A",224679.562999905,224.679562999905,3.74465938333174,53497
14,1,"Silence","A",259448.520999928,259.448520999928,4.32414201666547,53886
14,2,"Lyrical","A",238481.222,238.481222,3.97468703333333,54156
14,3,"Instrumental","A",231326.051999952,231.326051999952,3.85543419999921,54492
14,4,"Speech","A",226969.628999976,226.969628999976,3.7828271499996,54729
15,1,"Silence","A",151730.579000072,151.730579000072,2.52884298333453,65009
15,2,"Lyrical","A",159069.527000048,159.069527000048,2.65115878333413,65169
15,3,"Instrumental","A",152954.751000024,152.954751000024,2.5492458500004,65339
15,4,"Speech","A",157072.408000048,157.072408000048,2.61787346666746,65498
16,1,"Silence","A",193860.515000012,193.860515000012,3.23100858333353,65241
16,2,"Lyrical","A",191728.805999988,191.728805999988,3.1954800999998,65443
16,3,"Instrumental","A",172174.872000036,172.174872000036,2.8695812000006,65644
16,4,"Speech","A",179849.989999988,179.849989999988,2.99749983333314,65822
17,1,"Silence","A",140780.394,140.780394,2.3463399,65485
17,2,"Lyrical","A",140763.347,140.763347,2.34605578333333,65635
17,3,"Instrumental","A",128308.178,128.308178,2.13846963333333,65787
17,4,"Speech","A",135080.864,135.080864,2.25134773333334,65921
18,1,"Silence","A",202422,202.422,3.3737,66598
18,2,"Lyrical","A",195594,195.594,3.2599,66807
18,3,"Instrumental","A",155383,155.383,2.58971666666667,67098
18,4,"Speech","A",145703,145.703,2.42838333333333,67260
19,1,"Silence","A",193752.355999952,193.752355999952,3.22920593333254,66683
19,2,"Lyrical","A",174100.235,174.100235,2.90167058333333,66886
19,3,"Instrumental","A",165483.674,165.483674,2.75806123333333,67111
19,4,"Speech","A",174026.216999976,174.026216999976,2.9004369499996,67283
20,1,"Silence","A",257164.711,257.164711,4.28607851666667,67070
20,2,"Lyrical","A",220638.190999952,220.638190999952,3.67730318333254,67350
20,3,"Instrumental","A",222259.419999952,222.259419999952,3.70432366666587,67607
20,4,"Speech","A",209488.903999928,209.488903999928,3.49148173333214,67839
21,1,"Silence","A",203917.814,203.917814,3.39863023333333,68270
21,2,"Lyrical","A",166628.879000095,166.628879000095,2.77714798333492,68492
21,3,"Instrumental","A",150061.1,150.0611,2.50101833333333,68725
21,4,"Speech","A",161295.614000095,161.295614000095,2.68826023333492,68882
22,1,"Silence","A",183683.202000024,183.683202000024,3.0613867000004,71995
22,2,"Lyrical","A",194164.915,194.164915,3.23608191666667,72189
22,3,"Instrumental","A",157587.894999976,157.587894999976,2.62646491666627,72396
22,4,"Speech","A",164860.805,164.860805,2.74768008333333,72561
23,1,"Silence","A",210022.7,210.0227,3.50037833333333,72060
23,2,"Lyrical","A",201683.34,201.68334,3.361389,72279
23,3,"Instrumental","A",190378.12,190.37812,3.17296866666667,72581
23,4,"Speech","A",181531.48,181.53148,3.02552466666667,72781
24,1,"Silence","A",252826.359000095,252.826359000095,4.21377265000159,72014
24,2,"Lyrical","A",246826.164,246.826164,4.1137694,72281
24,3,"Instrumental","A",232450.683000143,232.450683000143,3.87417805000238,72543
24,4,"Speech","A",250982.327000048,250.982327000048,4.18303878333413,72783
25,1,"Silence","A",174326.2,174.3262,2.90543666666667,72439
25,2,"Lyrical","A",164706.26,164.70626,2.74510433333333,72621
25,3,"Instrumental","A",164803.74,164.80374,2.746729,72796
25,4,"Speech","A",183513.16,183.51316,3.05855266666667,72975
26,1,"Silence","A",161709.055,161.709055,2.69515091666667,30790
26,2,"Lyrical","A",157684.164,157.684164,2.6280694,30959
26,3,"Instrumental","A",154984.348,154.984348,2.58307246666667,31128
26,4,"Speech","A",174870.325,174.870325,2.91450541666667,31302
27,1,"Lyrical","B",158122.594000012,158.122594000012,2.63537656666687,61764
