sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2022-05-03T18:28:15.304Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific3_music_a/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1920,""scroll_height"":921,""window_innerWidth"":1920,""window_innerHeight"":969,""devicePixelRatio"":1}",,,,,,,,,,,,,,,606451b5aab2ec4afaae10f4,,,,,,,,,,,,,,,44963.04199999981,,form submission,,,,,,,,,,,,,,,,,,,,,51384.5,51384.299999999814,6406.121,6412.5999999996275,6421.258,51390.557,{},,
Introduction,html.Screen,1_0,2022-05-03T18:29:07.035Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51723.34299999944,,response,,,,,,,,,,,continue,click button,,,,,,,,,103115.39999999944,103113.89999999944,51383.597,51384.699999999255,51390.557,103117.712,,,
Volume calibration,html.Screen,1_1,2022-05-03T18:29:32.276Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25236.887999999628,,response,,,,,,,,,,,continue,click button,,,,,,,,,128356.19999999925,128354.59999999963,103110.761,103115.39999999944,103117.712,128359.774,,,
Task instructions,html.Screen,1_2,2022-05-03T18:29:45.852Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13571.42599999925,,response,,,,,,,,,,,continue,click button,,,,,,,,,141931.7999999998,141931.19999999925,128352.906,128356.29999999981,128359.774,141935.585,,,
Sounds,html.Screen,1_3_0_0,2022-05-03T18:29:50.099Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.873000000021,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,146179.59999999963,146178.53,141928.764,141932,141935.585,146185.458,,,
Judgement,html.Screen,1_3_0_1,2022-05-03T18:29:53.722Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,3615.941999999428,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,149802,149801.39999999944,146178.53,146179.59999999963,146185.458,149803.426,,,
Trial,flow.Sequence,1_3_0,2022-05-03T18:29:53.722Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7865.814999999449,,completion,,,,,,,,,1,,,,,,,,S,I,O,,149802,149801.39999999944,141928.764,141932,141935.585,149803.426,,,
Sounds,html.Screen,1_3_1_0,2022-05-03T18:29:57.966Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.804000000004,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,154046.69999999925,154046.368,149796.454,149802.19999999925,149803.426,154053.23,,,
Judgement,html.Screen,1_3_1_1,2022-05-03T18:29:58.341Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,367.56999999980326,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,154421.19999999925,154420.7999999998,154046.368,154046.7999999998,154053.23,154437.813,,,
Trial,flow.Sequence,1_3_1,2022-05-03T18:29:58.341Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4617.373999999807,,completion,,,,,,,,,1,,,,,,,,S,O,I,,154421.39999999944,154420.7999999998,149796.454,149802.09999999963,149803.426,154437.813,,,
