sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2022-04-27T12:49:57.460Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific3_music_c/"",""userAgent"":""Mozilla/5.0 (X11; CrOS x86_64 14469.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.94 Safari/537.36"",""platform"":""Linux x86_64"",""language"":""en-GB"",""locale"":""en-US"",""timeZone"":""Europe/Stockholm"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":1228,""scroll_height"":574,""window_innerWidth"":1228,""window_innerHeight"":622,""devicePixelRatio"":1}",,,,,,,,,,,,,,,5b2240df023fe3000150533f,,,,,,,,,,,,,,,4532.849999999256,,form submission,,,,,,,,,,,,,,,,,,,,,23206.89999999944,23206.199999999255,18640.02,18642.89999999944,18673.35,23223.205,{},,
Introduction,html.Screen,1_0,2022-04-27T12:50:02.467Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4988.6949999994395,,response,,,,,,,,,,,continue,click button,,,,,,,,,28213.699999999255,28211.89999999944,23189.871,23207.299999999814,23223.205,28239.601,,,
Volume calibration,html.Screen,1_1,2022-04-27T12:50:32.039Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29544.098999999256,,response,,,,,,,,,,,continue,click button,,,,,,,,,57785.299999999814,57783.699999999255,28222.936,28213.89999999944,28239.601,57788.274,,,
Task instructions,html.Screen,1_2,2022-04-27T12:50:43.618Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11574.425999999257,,response,,,,,,,,,,,continue,click button,,,,,,,,,69364.39999999944,69362.69999999925,57771.609,57785.5,57788.274,69371.04,,,
Sounds,html.Screen,1_3_0_0,2022-04-27T12:50:47.859Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.632000000012,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,73605.5,73604.007,69354.375,69364.59999999963,69371.04,73620.672,,,
Judgement,html.Screen,1_3_0_1,2022-04-27T12:50:51.330Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2,,3454.527999999249,,response,,,,,,,,,2,,3,click #choice-3,,,,,I,S,O,,77076.89999999944,77075.19999999925,73604.007,73605.79999999981,73620.672,77087.362,,,
Trial,flow.Sequence,1_3_0,2022-04-27T12:50:51.331Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7704.159999999261,,completion,,,,,,,,,2,,,,,,,,I,S,O,,77077.19999999925,77075.19999999925,69354.375,69364.5,69371.04,77087.362,,,
Sounds,html.Screen,1_3_1_0,2022-04-27T12:50:55.575Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.611000000004,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,81321.29999999981,81320.308,77070.697,77077.29999999981,77087.362,81336.973,,,
Judgement,html.Screen,1_3_1_1,2022-04-27T12:50:56.798Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,1205.8269999998156,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,82544.5,82542.79999999981,81320.308,81321.5,81336.973,82553.773,,,
Trial,flow.Sequence,1_3_1,2022-04-27T12:50:56.798Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5455.43799999982,,completion,,,,,,,,,1,,,,,,,,S,O,I,,82544.89999999944,82542.79999999981,77070.697,77077.29999999981,77087.362,82553.773,,,
