sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2022-05-10T16:17:35.881Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific3_music_b/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-US"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":577,""window_innerWidth"":1366,""window_innerHeight"":625,""devicePixelRatio"":1}",,,,,,,,,,,,,,,60e564056acbe72cb648e68a,,,,,,,,,,,,,,,16101.260000011927,,form submission,,,,,,,,,,,,,,,,,,,,,91280.5,91278.80000001192,74995.845,68822.89999997616,75177.54,91741.578,{},,
Introduction,html.Screen,1_0,2022-05-10T16:17:59.528Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23178.821999976164,,response,,,,,,,,,,,continue,click button,,,,,,,,,114927.39999997616,114920.39999997616,91208.308,91281.39999997616,91741.578,115271.226,,,
Volume calibration,html.Screen,1_1,2022-05-10T16:18:14.992Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15112.574000011926,,response,,,,,,,,,,,continue,click button,,,,,,,,,130390.80000001192,130383.80000001192,114921.243,114927.80000001192,115271.226,130402.16,,,
Task instructions,html.Screen,1_2,2022-05-10T16:18:16.774Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1768.7399999761546,,response,,,,,,,,,,,continue,click button,,,,,,,,,132173.5,132170.89999997616,130385.499,130391.19999998808,130402.16,132185.772,,,
Sounds,html.Screen,1_3_0_0,2022-05-10T16:18:21.043Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4265.434000000008,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,136442.69999998808,136417.902,132168.524,132174.30000001192,132185.772,136451.206,,,
Judgement,html.Screen,1_3_0_1,2022-05-10T16:18:25.608Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,4552.293999999994,,response,,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,141007.19999998808,141003.5,136417.902,136443.30000001192,136451.206,141017.208,,,
Trial,flow.Sequence,1_3_0,2022-05-10T16:18:25.614Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8817.728000000003,,completion,,,,,,,,,2,,,,,,,,I,S,O,,141013,141003.5,132168.524,132174.19999998808,132185.772,141017.208,,,
Sounds,html.Screen,1_3_1_0,2022-05-10T16:18:29.855Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.435999999987,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,145254.39999997616,145249.87,141000.474,141013.60000002384,141017.208,145266.644,,,
Judgement,html.Screen,1_3_1_1,2022-05-10T16:18:30.929Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,1058.255999976158,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,146328.60000002384,146324.89999997616,145249.87,145255.80000001192,145266.644,146349.623,,,
Trial,flow.Sequence,1_3_1,2022-05-10T16:18:30.930Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5307.691999976145,,completion,,,,,,,,,1,,,,,,,,S,I,O,,146329.5,146324.89999997616,141000.474,141013.5,141017.208,146349.623,,,
Sounds,html.Screen,1_3_2_0,2022-05-10T16:18:35.187Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4268.811000000016,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,150586.60000002384,150582.86,146332.999,146330.10000002384,146349.623,150618.434,,,
Judgement,html.Screen,1_3_2_1,2022-05-10T16:18:36.077Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,854.1660000238335,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,151476.19999998808,151472.60000002384,150582.86,150588.10000002384,150618.434,151482.283,,,
Trial,flow.Sequence,1_3_2,2022-05-10T16:18:36.078Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5122.9770000238495,,completion,,,,,,,,,1,,,,,,,,S,O,I,,151477.19999998808,151472.60000002384,146332.999,146329.89999997616,146349.623,151482.283,,,
Sounds,html.Screen,1_3_3_0,2022-05-10T16:18:40.323Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.508999999991,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,155722.30000001192,155715.425,151465.776,151477.80000001192,151482.283,155731.792,,,
Judgement,html.Screen,1_3_3_1,2022-05-10T16:18:41.123Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,787.3080000238551,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,156522.30000001192,156519.10000002384,155715.425,155723.10000002384,155731.792,156531.371,,,
Trial,flow.Sequence,1_3_3,2022-05-10T16:18:41.124Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5036.817000023846,,completion,,,,,,,,,3,,,,,,,,I,O,S,,156522.89999997616,156519.10000002384,151465.776,151477.60000002384,151482.283,156531.371,,,
Sounds,html.Screen,1_3_4_0,2022-05-10T16:18:45.371Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.363999999972,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,160770.5,160764.335,156515.123,156523.5,156531.371,160780.735,,,
Judgement,html.Screen,1_3_4_1,2022-05-10T16:18:45.946Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,561.3650000238558,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,161345.19999998808,161342.10000002384,160764.335,160771.30000001192,160780.735,161348.112,,,
