sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2022-05-09T17:08:13.944Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific3_music_g/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1280,""screen_height"":720,""scroll_width"":1280,""scroll_height"":577,""window_innerWidth"":1280,""window_innerHeight"":577,""devicePixelRatio"":1.5}",,,,,,,,,,,,,,,60b792b1c5c2e56c4c7a7d1d,,,,,,,,,,,,,,,2738.9230000000007,,form submission,,,,,,,,,,,,,,,,,,,,,15711.700000047684,15711,12688.95,12944.700000047684,12972.077,15720.963,{},,
Introduction,html.Screen,1_0,2022-05-09T17:08:16.916Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2956.0370000000003,,response,,,,,,,,,,,continue,click button,,,,,,,,,18684,18677,15687.732,15712.100000023842,15720.963,18703.135,,,
Volume calibration,html.Screen,1_1,2022-05-09T17:08:32.115Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15173.565000047685,,response,,,,,,,,,,,continue,click button,,,,,,,,,33882.5,33876.700000047684,18670.153,18684.300000071526,18703.135,33880.448,,,
Task instructions,html.Screen,1_2,2022-05-09T17:08:35.075Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2961.4519999761615,,response,,,,,,,,,,,continue,click button,,,,,,,,,36843.39999997616,36841.89999997616,33863.908,33882.800000071526,33880.448,36845.991,,,
Sounds,html.Screen,1_3_0_0,2022-05-09T17:08:39.316Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4248.32,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,41083.800000071526,41077.736,36829.402,36843.89999997616,36845.991,41094.311,,,
Judgement,html.Screen,1_3_0_1,2022-05-09T17:08:42.518Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,3190.2890000238403,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,44285.700000047684,44284.60000002384,41077.736,41084.10000002384,41094.311,44292.906,,,
Trial,flow.Sequence,1_3_0,2022-05-09T17:08:42.520Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7438.60900002384,,completion,,,,,,,,,2,,,,,,,,O,S,I,,44288.10000002384,44284.60000002384,36829.402,36843.89999997616,36845.991,44292.906,,,
Sounds,html.Screen,1_3_1_0,2022-05-09T17:08:46.758Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4248.587999999996,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,48526.10000002384,48524.671,44276.306,44288.700000047684,44292.906,48541.494,,,
Judgement,html.Screen,1_3_1_1,2022-05-09T17:08:47.578Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,801.6060000238431,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,49345.89999997616,49343.10000002384,48524.671,48526.5,48541.494,49357.684,,,
Trial,flow.Sequence,1_3_1,2022-05-09T17:08:47.579Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5050.194000023839,,completion,,,,,,,,,1,,,,,,,,S,O,I,,49346.5,49343.10000002384,44276.306,44288.200000047684,44292.906,49357.684,,,
Sounds,html.Screen,1_3_2_0,2022-05-09T17:08:51.823Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4248.296999999999,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,53591.200000047684,53589.586,49340.971,49347,49357.684,53605.981,,,
Judgement,html.Screen,1_3_2_1,2022-05-09T17:08:52.507Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,667.1190000238421,,response,,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,54274.60000002384,54273.10000002384,53589.586,53591.60000002384,53605.981,54289.187,,,
Trial,flow.Sequence,1_3_2,2022-05-09T17:08:52.507Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4915.416000023841,,completion,,,,,,,,,2,,,,,,,,I,S,O,,54275,54273.10000002384,49340.971,49346.800000071526,49357.684,54289.187,,,
Sounds,html.Screen,1_3_3_0,2022-05-09T17:08:56.754Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4248.069000000003,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,58522.300000071526,58520.668,54272.345,54275.39999997616,54289.187,58537.256,,,
Judgement,html.Screen,1_3_3_1,2022-05-09T17:08:57.597Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,825.7439999999988,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,59364.700000047684,59363,58520.668,58522.5,58537.256,59386.969,,,
Trial,flow.Sequence,1_3_3,2022-05-09T17:08:57.597Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5073.813000000002,,completion,,,,,,,,,1,,,,,,,,S,I,O,,59365,59363,54272.345,54275.300000071526,54289.187,59386.969,,,
Sounds,html.Screen,1_3_4_0,2022-05-09T17:09:01.852Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4248.296000000002,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,63620.200000047684,63618.672,59353.725,59365.300000071526,59386.969,63635.265,,,
Judgement,html.Screen,1_3_4_1,2022-05-09T17:09:02.871Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,1001.8350000238424,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,64639.10000002384,64637.10000002384,63618.672,63620.5,63635.265,64651.828,,,
Trial,flow.Sequence,1_3_4,2022-05-09T17:09:02.872Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5250.1310000238445,,completion,,,,,,,,,3,,,,,,,,O,I,S,,64639.5,64637.10000002384,59353.725,59365.200000047684,59386.969,64651.828,,,
Sounds,html.Screen,1_3_5_0,2022-05-09T17:09:07.117Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4248.132999999994,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,68884.70000004768,68883.477,64635.18,64639.800000071526,64651.828,68899.961,,,
Judgement,html.Screen,1_3_5_1,2022-05-09T17:09:07.759Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,625.4389999761624,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,69527.39999997616,69525.39999997616,68883.477,68885,68899.961,69549.652,,,
Trial,flow.Sequence,1_3_5,2022-05-09T17:09:07.760Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4873.571999976157,,completion,,,,,,,,,3,,,,,,,,I,O,S,,69527.70000004768,69525.39999997616,64635.18,64639.700000047684,64651.828,69549.652,,,
Task,flow.Loop,1_3,2022-05-09T17:09:07.773Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32679.408999976156,,completion,,,1,,,,,,,,,,,,,,,,,,69541.10000002384,69525.39999997616,36829.402,36843.800000071526,36845.991,69549.652,,,
Trap,html.Screen,1_4,2022-05-09T17:09:07.776Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,skipped,,,,,,,,,,,,,,,,,,,,,69544.10000002384,69525.39999997616,,69543.80000007153,,69549.652,,,
