"subject","gender","age","education","list","experiment_time","trap_accuracy","honesty","subject_pool","filename"
1,"female",31,"postgraduate","A",18.1833,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_A_PARTICIPANT_SESSION_2022-04-25_12h49.56.400.csv"
2,"female",38,"undergraduate","A",17.45,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_A_PARTICIPANT_SESSION_2022-04-25_13h11.32.303.csv"
3,"female",48,"phd","A",19.9833,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_A_PARTICIPANT_SESSION_2022-04-25_13h13.10.821.csv"
4,"female",37,"undergraduate","A",26.6333,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_A_PARTICIPANT_SESSION_2022-04-25_13h15.48.671.csv"
5,"male",32,"undergraduate","A",26.0333,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_A_PARTICIPANT_SESSION_2022-04-25_13h17.31.905.csv"
6,"male",36,"postgraduate","A",15.85,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_A_PARTICIPANT_SESSION_2022-04-25_14h39.13.529.csv"
7,"female",31,"A-Levels","A",19.95,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_A_PARTICIPANT_SESSION_2022-04-25_14h44.00.507.csv"
8,"male",24,"undergraduate","A",15.1833,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_A_PARTICIPANT_SESSION_2022-04-25_15h14.44.48.csv"
9,"male",20,"A-Levels","A",19.3,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_A_PARTICIPANT_SESSION_2022-04-25_15h38.34.134.csv"
10,"female",19,"A-Levels","A",21.1167,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_A_PARTICIPANT_SESSION_2022-04-25_15h39.54.42.csv"
11,"male",27,"undergraduate","A",19.05,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_A_PARTICIPANT_SESSION_2022-04-25_15h40.40.797.csv"
12,"male",36,"phd","A",24.4333,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_A_PARTICIPANT_SESSION_2022-04-25_15h45.25.561.csv"
13,"male",37,"GCSEs","A",20.2333,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_A_PARTICIPANT_SESSION_2022-04-25_15h57.25.526.csv"
14,"male",29,"undergraduate","A",31.0333,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_A_PARTICIPANT_SESSION_2022-04-25_16h18.48.783.csv"
15,"male",23,"postgraduate","A",17.7,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_A_PARTICIPANT_SESSION_2022-05-03_19h16.47.768.csv"
16,"female",31,"A-Levels","A",18.05,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_A_PARTICIPANT_SESSION_2022-05-03_19h22.17.591.csv"
17,"female",32,"undergraduate","A",13.8167,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_A_PARTICIPANT_SESSION_2022-05-03_19h22.48.885.csv"
18,"female",28,"postgraduate","A",18.15,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_A_PARTICIPANT_SESSION_2022-05-03_19h45.21.582.csv"
19,"male",21,"A-Levels","A",22.6667,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_A_PARTICIPANT_SESSION_2022-05-03_19h50.03.231.csv"
20,"male",37,"undergraduate","A",27.3833,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_A_PARTICIPANT_SESSION_2022-05-03_19h58.50.631.csv"
21,"female",22,"undergraduate","A",18.2,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_A_PARTICIPANT_SESSION_2022-05-03_20h12.38.744.csv"
22,"female",31,"undergraduate","A",19.45,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_A_PARTICIPANT_SESSION_2022-05-03_21h16.06.262.csv"
23,"male",30,"undergraduate","A",21.2333,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_A_PARTICIPANT_SESSION_2022-05-03_21h18.10.263.csv"
24,"female",41,"A-Levels","A",26.9,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_A_PARTICIPANT_SESSION_2022-05-03_21h21.18.374.csv"
