"subject","list","music","song_number","music_set","snippet_file","Pool","familiarity","preference","pleasantness","offensiveness","distraction","actual_artist","actual_song_name","artist_name","song_name"
1,"A","lyrical","1","A","static/A1_lyrical.mp3","Prolific",3,5,5,1,9,"Sa-Roc","Starseed",NA,NA
1,"A","lyrical","2","A","static/A2_lyrical.mp3","Prolific",1,1,1,1,10,"Johnie Bee ft. Rasco","In My Prime",NA,NA
1,"A","lyrical","3","A","static/A3_lyrical.mp3","Prolific",1,2,3,1,10,"Evidence","Throw It All Away",NA,NA
1,"A","instrumental","1","B","static/B1_instrumental.mp3","Prolific",2,6,6,1,8,"The Four Owls","Old Earth",NA,NA
1,"A","instrumental","2","B","static/B2_instrumental.mp3","Prolific",1,4,4,1,6,"Aesop Rock","Molecules",NA,NA
1,"A","instrumental","3","B","static/B3_instrumental.mp3","Prolific",1,5,5,1,5,"Atmosphere","Just for show",NA,NA
2,"A","lyrical","1","A","static/A1_lyrical.mp3","Prolific",7,4,4,1,10,"Sa-Roc","Starseed",NA,NA
2,"A","lyrical","2","A","static/A2_lyrical.mp3","Prolific",1,1,1,1,10,"Johnie Bee ft. Rasco","In My Prime",NA,NA
2,"A","lyrical","3","A","static/A3_lyrical.mp3","Prolific",1,2,2,1,10,"Evidence","Throw It All Away",NA,NA
2,"A","instrumental","1","B","static/B1_instrumental.mp3","Prolific",1,3,3,1,6,"The Four Owls","Old Earth",NA,NA
2,"A","instrumental","2","B","static/B2_instrumental.mp3","Prolific",1,1,1,1,10,"Aesop Rock","Molecules",NA,NA
2,"A","instrumental","3","B","static/B3_instrumental.mp3","Prolific",1,2,2,1,10,"Atmosphere","Just for show",NA,NA
3,"A","lyrical","1","A","static/A1_lyrical.mp3","Prolific",1,3,3,1,10,"Sa-Roc","Starseed",NA,NA
3,"A","lyrical","2","A","static/A2_lyrical.mp3","Prolific",1,2,2,1,10,"Johnie Bee ft. Rasco","In My Prime",NA,NA
3,"A","lyrical","3","A","static/A3_lyrical.mp3","Prolific",1,2,2,1,10,"Evidence","Throw It All Away",NA,NA
3,"A","instrumental","1","B","static/B1_instrumental.mp3","Prolific",1,4,4,1,8,"The Four Owls","Old Earth",NA,NA
3,"A","instrumental","2","B","static/B2_instrumental.mp3","Prolific",1,7,6,1,3,"Aesop Rock","Molecules",NA,NA
3,"A","instrumental","3","B","static/B3_instrumental.mp3","Prolific",1,6,6,1,3,"Atmosphere","Just for show",NA,NA
4,"A","lyrical","1","A","static/A1_lyrical.mp3","Prolific",10,9,9,1,6,"Sa-Roc","Starseed",NA,NA
4,"A","lyrical","2","A","static/A2_lyrical.mp3","Prolific",1,5,5,1,8,"Johnie Bee ft. Rasco","In My Prime",NA,NA
4,"A","lyrical","3","A","static/A3_lyrical.mp3","Prolific",1,8,8,NA,3,"Evidence","Throw It All Away",NA,NA
4,"A","instrumental","1","B","static/B1_instrumental.mp3","Prolific",10,10,10,1,4,"The Four Owls","Old Earth",NA,NA
4,"A","instrumental","2","B","static/B2_instrumental.mp3","Prolific",1,5,5,1,5,"Aesop Rock","Molecules",NA,NA
4,"A","instrumental","3","B","static/B3_instrumental.mp3","Prolific",1,6,5,1,6,"Atmosphere","Just for show",NA,NA
5,"A","lyrical","1","A","static/A1_lyrical.mp3","Prolific",10,10,10,2,6,"Sa-Roc","Starseed",NA,NA
5,"A","lyrical","2","A","static/A2_lyrical.mp3","Prolific",7,6,2,9,7,"Johnie Bee ft. Rasco","In My Prime",NA,NA
5,"A","lyrical","3","A","static/A3_lyrical.mp3","Prolific",2,3,5,4,10,"Evidence","Throw It All Away",NA,NA
5,"A","instrumental","1","B","static/B1_instrumental.mp3","Prolific",7,6,6,6,3,"The Four Owls","Old Earth",NA,NA
5,"A","instrumental","2","B","static/B2_instrumental.mp3","Prolific",1,1,5,2,1,"Aesop Rock","Molecules",NA,NA
5,"A","instrumental","3","B","static/B3_instrumental.mp3","Prolific",1,1,5,9,4,"Atmosphere","Just for show",NA,NA
6,"A","lyrical","1","A","static/A1_lyrical.mp3","Prolific",1,8,8,1,3,"Sa-Roc","Starseed",NA,NA
6,"A","lyrical","2","A","static/A2_lyrical.mp3","Prolific",1,8,8,1,4,"Johnie Bee ft. Rasco","In My Prime",NA,NA
6,"A","lyrical","3","A","static/A3_lyrical.mp3","Prolific",1,6,6,1,4,"Evidence","Throw It All Away",NA,NA
6,"A","instrumental","1","B","static/B1_instrumental.mp3","Prolific",1,5,5,1,3,"The Four Owls","Old Earth",NA,NA
6,"A","instrumental","2","B","static/B2_instrumental.mp3","Prolific",1,4,4,1,3,"Aesop Rock","Molecules",NA,NA
