sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2022-05-03T18:04:14.992Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific3_music_a/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1280,""screen_height"":800,""scroll_width"":1280,""scroll_height"":609,""window_innerWidth"":1280,""window_innerHeight"":657,""devicePixelRatio"":1.5}",,,,,,,,,,,,,,,6033e1c97228c71437568d9a,,,,,,,,,,,,,,,6582.740000023841,,form submission,,,,,,,,,,,,,,,,,,,,,18961.5,18961.100000023842,12361.588,12366.100000023842,12378.36,18961.824,{},,
Introduction,html.Screen,1_0,2022-05-03T18:04:17.560Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2566.7760000238413,,response,,,,,,,,,,,continue,click button,,,,,,,,,21529.30000001192,21528.600000023842,18945.272,18961.69999998808,18961.824,21545.151,,,
Volume calibration,html.Screen,1_1,2022-05-03T18:04:33.791Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16214.14900001192,,response,,,,,,,,,,,continue,click button,,,,,,,,,37760.10000002384,37759.30000001192,21528.48,21529.400000035763,21545.151,37762.253,,,
Task instructions,html.Screen,1_2,2022-05-03T18:04:39.689Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5895.547000011924,,response,,,,,,,,,,,continue,click button,,,,,,,,,43658.60000002384,43657.80000001192,37745.639,37760.10000002384,37762.253,43662.328,,,
Sounds,html.Screen,1_3_0_0,2022-05-03T18:04:43.929Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250.226999999999,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,47898.40000003576,47895.914,43645.768,43658.80000001192,43662.328,47912.555,,,
Judgement,html.Screen,1_3_0_1,2022-05-03T18:04:45.711Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,1767.0450000238416,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,49680.60000002384,49679.60000002384,47895.914,47898.5,47912.555,49695.861,,,
Trial,flow.Sequence,1_3_0,2022-05-03T18:04:45.712Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6017.2720000238405,,completion,,,,,,,,,1,,,,,,,,S,O,I,,49680.80000001192,49679.60000002384,43645.768,43658.69999998808,43662.328,49695.861,,,
Sounds,html.Screen,1_3_1_0,2022-05-03T18:04:49.961Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250.314000000006,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,53930.40000003576,53929.368,49679.353,49681.19999998808,49695.861,53946.175,,,
Judgement,html.Screen,1_3_1_1,2022-05-03T18:04:50.467Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,488.42500002383895,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,54435.80000001192,54434.60000002384,53929.368,53930.5,53946.175,54462.692,,,
Trial,flow.Sequence,1_3_1,2022-05-03T18:04:50.467Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4738.739000023845,,completion,,,,,,,,,3,,,,,,,,I,O,S,,54436,54434.60000002384,49679.353,49680.90000003576,49695.861,54462.692,,,
