sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2022-05-09T11:43:06.042Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific3_music_d/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1280,""screen_height"":720,""scroll_width"":1280,""scroll_height"":577,""window_innerWidth"":1280,""window_innerHeight"":577,""devicePixelRatio"":1.5}",,,,,,,,,,,,,,,5f9ac9de923dca223848cf19,,,,,,,,,,,,,,,11042.876000047683,,form submission,,,,,,,,,,,,,,,,,,,,,30185.300000071526,30173.200000047684,19113.226,19114.700000047684,19130.324,30245.62,{},,
Introduction,html.Screen,1_0,2022-05-09T11:43:15.539Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9415.380000000001,,response,,,,,,,,,,,continue,click button,,,,,,,,,39682.60000002384,39661,30162.832,30188.399999976158,30245.62,39727.848,,,
Volume calibration,html.Screen,1_1,2022-05-09T11:43:49.623Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34015.352000047686,,response,,,,,,,,,,,continue,click button,,,,,,,,,73767.70000004768,73743.20000004768,39661.188,39683.5,39727.848,73773.415,,,
Task instructions,html.Screen,1_2,2022-05-09T11:44:05.164Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15528.885000071532,,response,,,,,,,,,,,continue,click button,,,,,,,,,89308.10000002384,89302.30000007153,73740.093,73768.10000002384,73773.415,89338.068,,,
Sounds,html.Screen,1_3_0_0,2022-05-09T11:44:09.437Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.415999999997,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,93581.70000004768,93571.382,89331.171,89310.5,89338.068,93587.484,,,
Judgement,html.Screen,1_3_0_1,2022-05-09T11:44:11.367Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,1920.0160000000033,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,95511.20000004768,95507.5,93571.382,93582.10000002384,93587.484,95520.577,,,
Trial,flow.Sequence,1_3_0,2022-05-09T11:44:11.369Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6169.432000000001,,completion,,,,,,,,,3,,,,,,,,I,O,S,,95513.39999997616,95507.5,89331.171,89308.89999997616,89338.068,95520.577,,,
Sounds,html.Screen,1_3_1_0,2022-05-09T11:44:15.611Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.409,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,99755.60000002384,99753.823,95504.068,95515.20000004768,95520.577,99769.986,,,
Judgement,html.Screen,1_3_1_1,2022-05-09T11:44:16.556Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,925.9139999761537,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,100701,100695.89999997616,99753.823,99756.10000002384,99769.986,100703.236,,,
Trial,flow.Sequence,1_3_1,2022-05-09T11:44:16.557Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5175.322999976153,,completion,,,,,,,,,1,,,,,,,,S,O,I,,100701.89999997616,100695.89999997616,95504.068,95514,95520.577,100703.236,,,
