sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2022-04-30T11:14:44.475Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific3_music_e/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":577,""window_innerWidth"":1366,""window_innerHeight"":625,""devicePixelRatio"":1}",,,,,,,,,,,,,,,5b7467ea50075a0001107043,,,,,,,,,,,,,,,3657.486999999255,,form submission,,,,,,,,,,,,,,,,,,,,,34443.89999999851,34443.199999999255,30102.53,30110.299999998882,30785.713,34744.89,{},,
Introduction,html.Screen,1_0,2022-04-30T11:14:49.116Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4336.709999999628,,response,,,,,,,,,,,continue,click button,,,,,,,,,39085.39999999851,39081.59999999963,34311.652,34444.79999999888,34744.89,39142.836,,,
Volume calibration,html.Screen,1_1,2022-04-30T11:15:25.993Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36813.46399999888,,response,,,,,,,,,,,continue,click button,,,,,,,,,75962.19999999925,75956.29999999888,39076.184,39085.699999999255,39142.836,75966.026,,,
Task instructions,html.Screen,1_2,2022-04-30T11:15:32.561Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6563.373999998512,,response,,,,,,,,,,,continue,click button,,,,,,,,,82530.5,82529.39999999851,75949.363,75962.39999999851,75966.026,82572.006,,,
Sounds,html.Screen,1_3_0_0,2022-04-30T11:15:36.866Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4299.999000000011,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,86835.5,86805.353,82538.68,82530.79999999888,82572.006,86872.005,,,
Judgement,html.Screen,1_3_0_1,2022-04-30T11:15:37.580Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,675.2949999988778,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,87548.69999999925,87547.29999999888,86805.353,86835.69999999925,86872.005,87552.483,,,
Trial,flow.Sequence,1_3_0,2022-04-30T11:15:37.580Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4975.2939999988885,,completion,,,,,,,,,3,,,,,,,,O,I,S,,87549.09999999963,87547.29999999888,82538.68,82530.69999999925,82572.006,87552.483,,,
Sounds,html.Screen,1_3_1_0,2022-04-30T11:15:41.819Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4251.746000000014,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,91788.39999999851,91787.566,87535.82,87549.69999999925,87552.483,91804.229,,,
Judgement,html.Screen,1_3_1_1,2022-04-30T11:15:42.301Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,463.9709999992483,,response,,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,92269.79999999888,92268.19999999925,91787.566,91788.59999999963,91804.229,92283.912,,,
Trial,flow.Sequence,1_3_1,2022-04-30T11:15:42.301Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4715.716999999262,,completion,,,,,,,,,2,,,,,,,,I,S,O,,92270.19999999925,92268.19999999925,87535.82,87549.19999999925,87552.483,92283.912,,,
Sounds,html.Screen,1_3_2_0,2022-04-30T11:15:46.551Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4251.737000000008,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,96519.89999999851,96518.986,92267.249,92270.39999999851,92283.912,96535.649,,,
Judgement,html.Screen,1_3_2_1,2022-04-30T11:15:46.973Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,405.55099999925005,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,96942.39999999851,96941.19999999925,96518.986,96520.09999999963,96535.649,96948.821,,,
Trial,flow.Sequence,1_3_2,2022-04-30T11:15:46.974Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4657.287999999258,,completion,,,,,,,,,1,,,,,,,,S,I,O,,96942.79999999888,96941.19999999925,92267.249,92270.39999999851,92283.912,96948.821,,,
Sounds,html.Screen,1_3_3_0,2022-04-30T11:15:51.216Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4251.8139999999985,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,101185.59999999963,101183.972,96932.158,96943.09999999963,96948.821,101200.635,,,
Judgement,html.Screen,1_3_3_1,2022-04-30T11:15:51.692Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,459.5649999992602,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,101661.39999999851,101660.19999999925,101183.972,101185.79999999888,101200.635,101663.622,,,
Trial,flow.Sequence,1_3_3,2022-04-30T11:15:51.693Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4711.378999999259,,completion,,,,,,,,,2,,,,,,,,O,S,I,,101661.69999999925,101660.19999999925,96932.158,96942.89999999851,96948.821,101663.622,,,
Sounds,html.Screen,1_3_4_0,2022-04-30T11:15:55.932Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4251.861999999994,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,105900.89999999851,105898.821,101646.959,101661.89999999851,101663.622,105915.484,,,
Judgement,html.Screen,1_3_4_1,2022-04-30T11:15:56.548Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,600.6159999996307,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,106517.29999999888,106516.09999999963,105898.821,105901.09999999963,105915.484,106527.898,,,
Trial,flow.Sequence,1_3_4,2022-04-30T11:15:56.548Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4852.477999999624,,completion,,,,,,,,,1,,,,,,,,S,O,I,,106517.59999999963,106516.09999999963,101646.959,101661.89999999851,101663.622,106527.898,,,
Sounds,html.Screen,1_3_5_0,2022-04-30T11:16:00.796Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4251.826000000001,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,110764.79999999888,110763.061,106511.235,106517.69999999925,106527.898,110779.724,,,
Judgement,html.Screen,1_3_5_1,2022-04-30T11:16:01.153Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,341.275999999998,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,111122.5,111121,110763.061,110765,110779.724,111193.146,,,
Trial,flow.Sequence,1_3_5,2022-04-30T11:16:01.154Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4593.101999999999,,completion,,,,,,,,,3,,,,,,,,I,O,S,,111122.79999999888,111121,106511.235,106517.69999999925,106527.898,111193.146,,,
Task,flow.Loop,1_3,2022-04-30T11:16:01.163Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28548.994000000006,,completion,,,1,,,,,,,,,,,,,,,,,,111132.29999999888,111121,82538.68,82530.59999999963,82572.006,111193.146,,,
Trap,html.Screen,1_4,2022-04-30T11:16:01.213Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,skipped,,,,,,,,,,,,,,,,,,,,,111181.69999999925,111121,,111181.29999999888,,111193.146,,,
