sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2022-05-09T16:21:23.806Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific3_music_g/"",""userAgent"":""Mozilla/5.0 (X11; CrOS x86_64 14526.89.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.133 Safari/537.36"",""platform"":""Linux x86_64"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1300,""screen_height"":731,""scroll_width"":1300,""scroll_height"":580,""window_innerWidth"":1300,""window_innerHeight"":580,""devicePixelRatio"":1.0499999523162842}",,,,,,,,,,,,,,,5e94750cc1e0092b6b028461,,,,,,,,,,,,,,,21459.593999999626,,form submission,,,,,,,,,,,,,,,,,,,,,39984.299999999814,39981.59999999963,18388.806,18363.599999999627,18522.006,40034.31,{},,
Introduction,html.Screen,1_0,2022-05-09T16:21:32.891Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9028.690000000002,,response,,,,,,,,,,,continue,click button,,,,,,,,,49069.69999999972,49063,39951.06,39986.5,40034.31,49092.111,,,
Volume calibration,html.Screen,1_1,2022-05-09T16:21:51.622Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18698.98899999963,,response,,,,,,,,,,,continue,click button,,,,,,,,,67800.19999999972,67791.09999999963,49058.811,49069.89999999991,49092.111,67807.137,,,
Task instructions,html.Screen,1_2,2022-05-09T16:21:57.227Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5591.062999999718,,response,,,,,,,,,,,continue,click button,,,,,,,,,73405.5,73398.19999999972,67790.487,67800.3999999999,67807.137,73401.61,,,
Sounds,html.Screen,1_3_0_0,2022-05-09T16:22:01.461Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4245.797000000006,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,77639.3999999999,77630.757,73384.96,73405.79999999981,73401.61,77647.407,,,
Judgement,html.Screen,1_3_0_1,2022-05-09T16:22:10.618Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,3,,9144.4929999999,,response,,,,,,,,,3,,2,click #choice-2,,,,,I,O,S,,86796.59999999963,86791.8999999999,77630.757,77640,77647.407,86805.205,,,
Trial,flow.Sequence,1_3_0,2022-05-09T16:22:10.621Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13390.289999999906,,completion,,,,,,,,,3,,,,,,,,I,O,S,,86799.3999999999,86791.8999999999,73384.96,73405.79999999981,73401.61,86805.205,,,
Sounds,html.Screen,1_3_1_0,2022-05-09T16:22:14.858Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4245.830999999991,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,91036.5,91034.386,86788.555,86800,86805.205,91051.036,,,
Judgement,html.Screen,1_3_1_1,2022-05-09T16:22:16.848Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,1970.5639999996347,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,93026.19999999972,93021.59999999963,91034.386,91037,91051.036,93032.45,,,
Trial,flow.Sequence,1_3_1,2022-05-09T16:22:16.848Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6216.394999999626,,completion,,,,,,,,,3,,,,,,,,O,I,S,,93026.59999999963,93021.59999999963,86788.555,86799.59999999963,86805.205,93032.45,,,
Sounds,html.Screen,1_3_2_0,2022-05-09T16:22:21.086Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4245.76400000001,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,97264.29999999981,97261.564,93015.8,93027,93032.45,97278.214,,,
Judgement,html.Screen,1_3_2_1,2022-05-09T16:22:22.732Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,1626.9859999997134,,response,,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,98909.79999999981,98905.19999999972,97261.564,97264.8999999999,97278.214,98910.035,,,
Trial,flow.Sequence,1_3_2,2022-05-09T16:22:22.732Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5872.7499999997235,,completion,,,,,,,,,2,,,,,,,,I,S,O,,98910.5,98905.19999999972,93015.8,93027,93032.45,98910.035,,,
Sounds,html.Screen,1_3_3_0,2022-05-09T16:22:26.963Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4245.762000000002,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,103141.5,103139.147,98893.385,98910.8999999999,98910.035,103155.797,,,
Judgement,html.Screen,1_3_3_1,2022-05-09T16:22:28.347Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,1365.9029999997147,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,104525.19999999972,104521.69999999972,103139.147,103142,103155.797,104537.861,,,
Trial,flow.Sequence,1_3_3,2022-05-09T16:22:28.347Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5611.664999999717,,completion,,,,,,,,,1,,,,,,,,S,I,O,,104525.59999999963,104521.69999999972,98893.385,98910.69999999972,98910.035,104537.861,,,
Sounds,html.Screen,1_3_4_0,2022-05-09T16:22:32.590Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4245.747999999992,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,108768.29999999981,108766.959,104521.211,104525.79999999981,104537.861,108783.609,,,
Judgement,html.Screen,1_3_4_1,2022-05-09T16:22:33.024Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,412.89100000000326,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,109201.8999999999,109196.5,108766.959,108768.5,108783.609,109199.965,,,
Trial,flow.Sequence,1_3_4,2022-05-09T16:22:33.024Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4658.638999999996,,completion,,,,,,,,,2,,,,,,,,O,S,I,,109202.19999999972,109196.5,104521.211,104525.69999999972,104537.861,109199.965,,,
Sounds,html.Screen,1_3_5_0,2022-05-09T16:22:37.252Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4245.751000000004,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,113430.19999999972,113429.066,109183.315,109202.3999999999,109199.965,113445.716,,,
Judgement,html.Screen,1_3_5_1,2022-05-09T16:22:37.747Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,475.98399999972025,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,113925.69999999972,113921.69999999972,113429.066,113430.3999999999,113445.716,113928.672,,,
Trial,flow.Sequence,1_3_5,2022-05-09T16:22:37.748Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4721.734999999724,,completion,,,,,,,,,1,,,,,,,,S,O,I,,113926,113921.69999999972,109183.315,109202.19999999972,109199.965,113928.672,,,
Task,flow.Loop,1_3,2022-05-09T16:22:37.755Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40520.08999999972,,completion,,,0.8333333333333334,,,,,,,,,,,,,,,,,,113933.29999999981,113921.69999999972,73384.96,73405.69999999972,73401.61,113928.672,,,
Trap,html.Screen,1_4,2022-05-09T16:22:37.758Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,skipped,,,,,,,,,,,,,,,,,,,,,113935.8999999999,113921.69999999972,,113935.59999999963,,113928.672,,,
