sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2022-05-03T11:22:38.730Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific3_music_h/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1920,""scroll_height"":921,""window_innerWidth"":1920,""window_innerHeight"":969,""devicePixelRatio"":1}",,,,,,,,,,,,,,,5c0822f550d77a000164d7ce,,,,,,,,,,,,,,,5568.639000000752,,form submission,,,,,,,,,,,,,,,,,,,,,79253.59999999776,79253.30000000075,73667.17,73672.30000000075,73684.661,79256.838,{},,
Introduction,html.Screen,1_0,2022-05-03T11:25:32.233Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173499.162,,response,,,,,,,,,,,continue,click button,,,,,,,,,252757.69999999925,252756,79240.154,79253.80000000075,79256.838,252763.253,,,
Volume calibration,html.Screen,1_1,2022-05-03T11:25:47.778Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15536.547000000748,,response,,,,,,,,,,,continue,click button,,,,,,,,,268302.59999999776,268299.80000000075,252746.769,252757.80000000075,252763.253,268312.119,,,
Task instructions,html.Screen,1_2,2022-05-03T11:25:56.664Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8876.181000000739,,response,,,,,,,,,,,continue,click button,,,,,,,,,277188.80000000075,277188.30000000075,268295.436,268302.69999999925,268312.119,277204.338,,,
Sounds,html.Screen,1_3_0_0,2022-05-03T11:26:00.929Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4254.232000000018,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,281453.30000000075,281441.804,277187.815,277188.8999999985,277204.338,281458.57,,,
Judgement,html.Screen,1_3_0_1,2022-05-03T11:26:02.456Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,1521.0299999977578,,response,,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,282980.30000000075,282979.59999999776,281441.804,281453.3999999985,281458.57,282993.425,,,
Trial,flow.Sequence,1_3_0,2022-05-03T11:26:02.456Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5775.261999997776,,completion,,,,,,,,,2,,,,,,,,I,S,O,,282980.30000000075,282979.59999999776,277187.815,277188.8999999985,277204.338,282993.425,,,
Sounds,html.Screen,1_3_1_0,2022-05-03T11:26:06.707Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4254.244000000006,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,287231.3999999985,287230.986,282976.746,282980.3999999985,282993.425,287247.669,,,
Judgement,html.Screen,1_3_1_1,2022-05-03T11:26:07.264Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,539.9309999977704,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,287788.19999999925,287787.59999999776,287230.986,287231.3999999985,287247.669,287798.162,,,
Trial,flow.Sequence,1_3_1,2022-05-03T11:26:07.264Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4794.1749999977765,,completion,,,,,,,,,1,,,,,,,,S,O,I,,287788.3999999985,287787.59999999776,282976.746,282980.3999999985,282993.425,287798.162,,,
Sounds,html.Screen,1_3_2_0,2022-05-03T11:26:11.512Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4254.254000000015,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,292036.09999999776,292035.704,287781.455,287788.3999999985,287798.162,292052.416,,,
Judgement,html.Screen,1_3_2_1,2022-05-03T11:26:12.032Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,503.08399999997346,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,292556,292555.5,292035.704,292036.19999999925,292052.416,292569.594,,,
Trial,flow.Sequence,1_3_2,2022-05-03T11:26:12.032Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4757.337999999989,,completion,,,,,,,,,2,,,,,,,,O,S,I,,292556.19999999925,292555.5,287781.455,287788.3999999985,287798.162,292569.594,,,
Sounds,html.Screen,1_3_3_0,2022-05-03T11:26:16.283Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4254.237000000023,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,296807.59999999776,296807.204,292552.906,292556.19999999925,292569.594,296823.831,,,
Judgement,html.Screen,1_3_3_1,2022-05-03T11:26:16.976Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,675.7689999977592,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,297500.19999999925,297499.59999999776,296807.204,296807.69999999925,296823.831,297507.934,,,
Trial,flow.Sequence,1_3_3,2022-05-03T11:26:16.976Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4930.005999997782,,completion,,,,,,,,,1,,,,,,,,S,I,O,,297500.30000000075,297499.59999999776,292552.906,292556.19999999925,292569.594,297507.934,,,
Sounds,html.Screen,1_3_4_0,2022-05-03T11:26:21.221Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4254.181999999972,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,301745.80000000075,301745.415,297491.195,297500.30000000075,297507.934,301762.116,,,
Judgement,html.Screen,1_3_4_1,2022-05-03T11:26:21.624Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,385.48399999778485,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,302148,302147.59999999776,301745.415,301745.8999999985,301762.116,302162.546,,,
Trial,flow.Sequence,1_3_4,2022-05-03T11:26:21.624Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4639.665999997756,,completion,,,,,,,,,3,,,,,,,,O,I,S,,302148,302147.59999999776,297491.195,297500.30000000075,297507.934,302162.546,,,
Sounds,html.Screen,1_3_5_0,2022-05-03T11:26:25.876Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4254.201000000001,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,306400.3999999985,306400.024,302145.784,302148.09999999776,302162.546,306416.747,,,
Judgement,html.Screen,1_3_5_1,2022-05-03T11:26:26.240Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,346.8529999977909,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,306764.19999999925,306763.59999999776,306400.024,306400.3999999985,306416.747,306767.096,,,
Trial,flow.Sequence,1_3_5,2022-05-03T11:26:26.240Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4601.053999997792,,completion,,,,,,,,,3,,,,,,,,I,O,S,,306764.19999999925,306763.59999999776,302145.784,302148.09999999776,302162.546,306767.096,,,
Task,flow.Loop,1_3,2022-05-03T11:26:26.242Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29559.261999997776,,completion,,,1,,,,,,,,,,,,,,,,,,306766.3999999985,306763.59999999776,277187.815,277188.80000000075,277204.338,306767.096,,,
Trap,html.Screen,1_4,2022-05-03T11:26:26.243Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,skipped,,,,,,,,,,,,,,,,,,,,,306767,306763.59999999776,,306767,,306767.096,,,
Thanks,html.Screen,1_5,2022-05-03T11:26:28.552Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2308.5039999977453,,response,,,,,,,,,,,continue,click button,,,,,,,,,309076.19999999925,309075.59999999776,306750.381,306767,306767.096,313423.779,,,
Headphone screening,flow.Sequence,1,2022-05-03T11:26:28.552Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229818.76199999778,,completion,,,,,,,,,,,,,,,,,,,,,309076.30000000075,309075.59999999776,79240.154,79253.80000000075,79256.838,313423.779,,,
Instructions,html.Page,2_0,2022-05-03T11:26:44.624Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11724.22100000002,,form submission,,,,,,,,,,,,,,,,,,,,,325148.09999999776,325148,313407.069,313424.19999999925,313423.779,325152.096,,,
