"subject","item","Provo_ID","list","word","word_ID","ended_on","duration","sound","Pool"
1,17,19,"A",1,"the","response",464.016000095377,"silence","University pool"
1,17,19,"A",2,"heaviest","response",365.746000190731,"silence","University pool"
1,17,19,"A",3,"isotopes","response",467.499000000011,"silence","University pool"
1,17,19,"A",4,"physicists","response",464.384999809263,"silence","University pool"
1,17,19,"A",5,"have","response",397.789999904635,"silence","University pool"
1,17,19,"A",6,"managed","response",467.140000095358,"silence","University pool"
1,17,19,"A",7,"to","response",377.998000190739,"silence","University pool"
1,17,19,"A",8,"synthesize","response",483.78199980926,"silence","University pool"
1,17,19,"A",9,"so","response",363.287000095355,"silence","University pool"
1,17,19,"A",10,"far","response",461.070999809279,"silence","University pool"
1,17,19,"A",11,"don't","response",364.423999809253,"silence","University pool"
1,17,19,"A",12,"behave","response",438.761999999988,"silence","University pool"
1,17,19,"A",13,"quite","response",397.574000095367,"silence","University pool"
1,17,19,"A",14,"like","response",441.855999809253,"silence","University pool"
1,17,19,"A",15,"science's","response",421.19200000001,"silence","University pool"
1,17,19,"A",16,"best","response",486.630999999994,"silence","University pool"
1,17,19,"A",17,"current","response",466.054000000004,"silence","University pool"
1,17,19,"A",18,"models","response",392.33900009538,"silence","University pool"
1,17,19,"A",19,"predict,","response",491.701999809273,"silence","University pool"
1,17,19,"A",20,"so","response",465.81100009536,"silence","University pool"
1,17,19,"A",21,"stable","response",366.849000190734,"silence","University pool"
1,17,19,"A",22,"superheavy","response",512.26999999999,"silence","University pool"
1,17,19,"A",23,"nuclei","response",575.482000095362,"silence","University pool"
1,17,19,"A",24,"are","response",481.019999809272,"silence","University pool"
1,17,19,"A",25,"likely","response",462.523999809258,"silence","University pool"
1,17,19,"A",26,"to","response",346.361000095378,"silence","University pool"
1,17,19,"A",27,"be","response",508.895999904635,"silence","University pool"
1,17,19,"A",28,"full","response",371.087999999989,"silence","University pool"
1,17,19,"A",29,"of","response",362.761999999988,"silence","University pool"
1,17,19,"A",30,"surprises.","response",535.106,"silence","University pool"
1,17,19,"A",31,"Chemists","response",399.447000095359,"silence","University pool"
1,17,19,"A",32,"cannot","response",436.880999809247,"silence","University pool"
1,17,19,"A",33,"even","response",490.963999999978,"silence","University pool"
1,17,19,"A",34,"predict","response",455.541999809269,"silence","University pool"
1,17,19,"A",35,"with","response",458.206999904651,"silence","University pool"
1,17,19,"A",36,"any","response",445.74399980926,"silence","University pool"
1,17,19,"A",37,"certainty","response",554.105999904627,"silence","University pool"
1,17,19,"A",38,"whether","response",357.368999904604,"silence","University pool"
1,17,19,"A",39,"these","response",445.752000190725,"silence","University pool"
1,17,19,"A",40,"materials","response",389.621000095387,"silence","University pool"
1,17,19,"A",41,"will","response",413.701999904646,"silence","University pool"
1,17,19,"A",42,"exist","response",396.431000095385,"silence","University pool"
1,17,19,"A",43,"as","response",405.764000190713,"silence","University pool"
1,17,19,"A",44,"gases,","response",528.031000000017,"silence","University pool"
1,17,19,"A",45,"liquids,","response",448.59199990466,"silence","University pool"
1,17,19,"A",46,"or","response",419.57699999999,"silence","University pool"
1,17,19,"A",47,"solids","response",362.303000095359,"silence","University pool"
1,17,19,"A",48,"at","response",408.922000190709,"silence","University pool"
1,17,19,"A",49,"room","response",406.429000000004,"silence","University pool"
1,17,19,"A",50,"temperature.","response",379,"silence","University pool"
1,5,12,"A",1,"months","response",458.259999904607,"silence","University pool"
1,5,12,"A",2,"later,","response",357.040999904624,"silence","University pool"
1,5,12,"A",3,"Michael","response",378.50300009537,"silence","University pool"
1,5,12,"A",4,"Larson","response",364.922000095365,"silence","University pool"
1,5,12,"A",5,"saw","response",378.12900009536,"silence","University pool"
1,5,12,"A",6,"another","response",380.759999904607,"silence","University pool"
1,5,12,"A",7,"opportunity","response",426.841000000015,"silence","University pool"
1,5,12,"A",8,"to","response",461.96699990466,"silence","University pool"
1,5,12,"A",9,"stack","response",354.950999904657,"silence","University pool"
1,5,12,"A",10,"the","response",447.165999904624,"silence","University pool"
1,5,12,"A",11,"odds","response",351.906000190764,"silence","University pool"
1,5,12,"A",12,"in","response",404.407999904652,"silence","University pool"
1,5,12,"A",13,"his","response",376.796999904618,"silence","University pool"
1,5,12,"A",14,"favour","response",642.72100000002,"silence","University pool"
1,5,12,"A",15,"with","response",357.313000190712,"silence","University pool"
1,5,12,"A",16,"a","response",335.217999999993,"silence","University pool"
