"subject","song_rating","snippet_file","familiarity","preference","pleasantness","offensiveness","distraction","artist_name","song_name"
1,1,"static/A1_lyrical.mp3",10,8,7,3,8,"Eminem","the way I am"
1,2,"static/A2_lyrical.mp3",10,7,8,2,7,"Post malone",NA
1,3,"static/A3_lyrical.mp3",7,5,7,1,7,NA,NA
1,4,"static/B1_instrumental.mp3",10,8,9,1,7,"Jessie J","Price tag"
1,5,"static/B2_instrumental.mp3",9,5,6,2,8,"Fancy","Iggy Azalea"
1,6,"static/B3_instrumental.mp3",9,9,9,1,6,NA,"Miss Jackson"
2,1,"static/A1_lyrical.mp3",8,2,2,8,6,"m&m",NA
2,2,"static/A2_lyrical.mp3",10,8,9,5,6,"post malone","wow"
2,3,"static/A3_lyrical.mp3",5,6,5,2,3,"Rihanna",NA
2,4,"static/B1_instrumental.mp3",10,7,NA,1,7,"jessie j","price tag"
2,5,"static/B2_instrumental.mp3",7,7,7,1,6,NA,NA
2,6,"static/B3_instrumental.mp3",1,3,2,2,3,NA,NA
3,1,"static/A1_lyrical.mp3",8,7,6,1,9,NA,NA
3,2,"static/A2_lyrical.mp3",8,8,7,1,8,NA,NA
3,3,"static/A3_lyrical.mp3",5,7,8,1,7,NA,NA
3,4,"static/B1_instrumental.mp3",8,8,7,1,5,NA,NA
3,5,"static/B2_instrumental.mp3",7,7,5,1,7,NA,NA
3,6,"static/B3_instrumental.mp3",4,6,4,1,5,NA,NA
4,1,"static/A1_lyrical.mp3",1,1,1,6,8,NA,NA
4,2,"static/A2_lyrical.mp3",3,4,4,3,6,NA,NA
4,3,"static/A3_lyrical.mp3",6,8,9,4,7,NA,NA
4,4,"static/B1_instrumental.mp3",10,7,8,5,3,"Jessie J","Price Tag"
4,5,"static/B2_instrumental.mp3",9,6,6,6,8,"Iggy Azalea","I'm so fancy"
4,6,"static/B3_instrumental.mp3",3,7,7,2,4,NA,NA
5,1,"static/A1_lyrical.mp3",10,10,10,1,4,"Eminem","The way i am"
5,2,"static/A2_lyrical.mp3",10,10,10,1,4,"Post Malone","Wow"
5,3,"static/A3_lyrical.mp3",10,10,10,1,4,"Rihanna & Nicki Minaj","Fly"
5,4,"static/B1_instrumental.mp3",10,3,5,1,1,"Jessie J & B.O.B","Price tags"
5,5,"static/B2_instrumental.mp3",10,10,10,1,4,"Iggy Azealia & Charlie XCX","Fancy"
5,6,"static/B3_instrumental.mp3",10,10,10,1,3,"Outkast","Ms Jackson"
6,1,"static/A1_lyrical.mp3",10,4,2,1,10,"Eminem",NA
6,2,"static/A2_lyrical.mp3",10,8,9,1,10,NA,NA
6,3,"static/A3_lyrical.mp3",10,10,10,1,10,"Rihanna","Fly"
6,4,"static/B1_instrumental.mp3",10,2,1,1,7,"Jessie J","Price tag"
6,5,"static/B2_instrumental.mp3",10,1,1,1,10,"Iggy","Fancy"
6,6,"static/B3_instrumental.mp3",10,10,10,1,10,"Outkast","Ms Jackson"
7,1,"static/A1_lyrical.mp3",10,10,10,1,1,"Eminem","The way I am"
7,2,"static/A2_lyrical.mp3",10,8,9,1,1,"Post Malone","Wow."
7,3,"static/A3_lyrical.mp3",8,8,9,1,3,"Nicki Minaj and Rihanna","Fly"
7,4,"static/B1_instrumental.mp3",10,7,8,1,2,"Jessie J","Price Tag"
7,5,"static/B2_instrumental.mp3",10,8,8,1,2,"Fancy","Iggy Azelia"
7,6,"static/B3_instrumental.mp3",10,9,8,1,2,"OutKast","Miss Jackson"
8,1,"static/B1_lyrical.mp3",10,6,7,1,8,"jessy J","price tags"
8,2,"static/B2_lyrical.mp3",10,4,4,5,10,"iggy something","fancy"
8,3,"static/B3_lyrical.mp3",10,9,10,1,10,"outkast","mrs jackson"
8,4,"static/A1_instrumental.mp3",10,7,8,1,1,"idk sounds like Eminem","idk"
8,5,"static/A2_instrumental.mp3",10,10,8,1,3,"post malone","wow"
8,6,"static/A3_instrumental.mp3",3,6,6,1,4,"?","?"
9,1,"static/B1_lyrical.mp3",10,8,8,1,10,"Jessie J","Price Tag"
9,2,"static/B2_lyrical.mp3",10,4,4,1,8,"Charlie XCX Iggy Azalea","Fancy"
9,3,"static/B3_lyrical.mp3",10,10,10,2,10,NA,"Miss Jackson"
9,4,"static/A1_instrumental.mp3",1,4,3,1,6,NA,NA
9,5,"static/A2_instrumental.mp3",10,8,5,4,5,NA,NA
9,6,"static/A3_instrumental.mp3",10,7,6,4,8,NA,NA
10,1,"static/B1_lyrical.mp3",10,8,8,1,3,"Jessie J","Price Tag"
10,2,"static/B2_lyrical.mp3",10,7,6,3,4,NA,"Fancy"
10,3,"static/B3_lyrical.mp3",5,3,4,1,8,NA,NA
10,4,"static/A1_instrumental.mp3",3,3,2,1,7,NA,NA
10,5,"static/A2_instrumental.mp3",1,1,2,1,8,NA,NA
10,6,"static/A3_instrumental.mp3",7,5,5,1,4,NA,"Fly"
11,1,"static/B1_lyrical.mp3",10,8,9,1,10,"Jessie J","Price Tag"
11,2,"static/B2_lyrical.mp3",10,7,8,1,10,"Charle xcx and Iggy Azalea","Im so fancy"
11,3,"static/B3_lyrical.mp3",10,8,8,1,10,"Outkast","Miss Jackson"
