sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,ended_on,familiarity,gender,headphone_check_performance,item,list,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-03-28T10:42:57.365Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_f/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1280,""screen_height"":720,""scroll_width"":1280,""scroll_height"":600,""window_innerWidth"":1280,""window_innerHeight"":648,""devicePixelRatio"":1.5}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,9034.415999998844,response,,,,,,,,,,continue,click button,,,,,,,,,16931.085000018356,16926.384999998845,7875.263,7880.510000017239,7891.969,16934.573,{},,
Volume calibration,html.Screen,0_1,2021-03-28T10:43:23.767Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26396.356999996442,response,,,,,,,,,,continue,click button,,,,,,,,,43333.15500000026,43330.92999999644,16917.998,16931.515000003856,16934.573,43346.217,,,
Task instructions,html.Screen,0_2,2021-03-28T10:43:41.905Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18122.44300001319,response,,,,,,,,,,continue,click button,,,,,,,,,61470.2249999973,61468.66000001319,43329.974,43333.27500001178,43346.217,61481.265,,,
Sounds,html.Screen,0_3_0_0,2021-03-28T10:43:46.151Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4246.491999999998,timeout,,,,,,,,3,,,,,,,,I,O,S,,65716.8750000128,65711.408,61465.036,61470.82000001683,61481.265,65727.757,,,
Judgement,html.Screen,0_3_0_1,2021-03-28T10:43:47.827Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,1662.5680000148568,response,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,67392.30999999563,67390.32500001485,65711.408,65717.05500001553,65727.757,67393.149,,,
Trial,flow.Sequence,0_3_0,2021-03-28T10:43:47.828Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5909.060000014855,completion,,,,,,,,3,,,,,,,,I,O,S,,67393.544999999,67390.32500001485,61465.036,61470.67999999854,61481.265,67393.149,,,
Sounds,html.Screen,0_3_1_0,2021-03-28T10:43:52.059Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4246.388999999996,timeout,,,,,,,,2,,,,,,,,O,S,I,,71624.53500000993,71622.998,67376.798,67394.15500001633,67393.149,71639.538,,,
Judgement,html.Screen,0_3_1_1,2021-03-28T10:43:53.048Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,972.1470000107656,response,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,72613.58000000473,72611.68500001077,71622.998,71624.89500001539,71639.538,72622.528,,,
Trial,flow.Sequence,0_3_1,2021-03-28T10:43:53.048Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5218.536000010761,completion,,,,,,,,2,,,,,,,,O,S,I,,72614.20500001987,72611.68500001077,67376.798,67394.01499999803,67393.149,72622.528,,,
Sounds,html.Screen,0_3_2_0,2021-03-28T10:43:57.288Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4246.097999999998,timeout,,,,,,,,1,,,,,,,,S,I,O,,76853.4000000218,76852.166,72605.568,72614.63500000536,72622.528,76868.626,,,
