sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2021-04-24T12:36:37.663Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific_music_a/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-US"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1920,""scroll_height"":959,""window_innerWidth"":1920,""window_innerHeight"":1007,""devicePixelRatio"":1}",,,,,,,,,,,,,,,5f8bf369a8c1ee32a02970a4,,,,,,,,,,,,,,,30370.00999997813,,form submission,,,,,,,,,,,,,,,,,,,,,35741.42499995651,35741.14499997813,5273.913,5355.089999968186,5371.135,35746.791,{},,
Introduction,html.Screen,1_0,2021-04-24T12:36:43.199Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5529.1639999609615,,response,,,,,,,,,,,continue,click button,,,,,,,,,41277.58499997435,41275.95499996096,35739.803,35741.5949999704,35746.791,41281.704,,,
Volume calibration,html.Screen,1_1,2021-04-24T12:37:12.547Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29342.235999961296,,response,,,,,,,,,,,continue,click button,,,,,,,,,70625.30499999411,70623.9399999613,41274.72,41277.679999999236,41281.704,70629.31,,,
Task instructions,html.Screen,1_2,2021-04-24T12:37:37.001Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24449.914999994042,,response,,,,,,,,,,,continue,click button,,,,,,,,,95079.99999995809,95079.22499999404,70622.533,70625.38499996299,70629.31,95081.364,,,
Sounds,html.Screen,1_3_0_0,2021-04-24T12:37:41.247Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250.024000000005,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,99325.8049999713,99324.602,95074.394,95080.12499997858,95081.364,99331.388,,,
Judgement,html.Screen,1_3_0_1,2021-04-24T12:37:42.655Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,1401.781999963132,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,100733.78000000957,100733.16999996314,99324.602,99325.8799999603,99331.388,100741.683,,,
Trial,flow.Sequence,1_3_0,2021-04-24T12:37:42.655Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5651.805999963137,,completion,,,,,,,,,1,,,,,,,,S,O,I,,100734.0199999744,100733.16999996314,95074.394,95080.09999996284,95081.364,100741.683,,,
Sounds,html.Screen,1_3_1_0,2021-04-24T12:37:46.906Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.512999999992,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,104984.82999997213,104984.456,100727.318,100734.09499996342,100741.683,104991.196,,,
Judgement,html.Screen,1_3_1_1,2021-04-24T12:37:48.498Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,1584.98399997456,,response,,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,106577.01000000816,106576.17999997456,104984.456,104984.89999998128,104991.196,106581.527,,,
Trial,flow.Sequence,1_3_1,2021-04-24T12:37:48.499Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5834.496999974552,,completion,,,,,,,,,2,,,,,,,,I,S,O,,106577.11999997264,106576.17999997456,100727.318,100734.07000000589,100741.683,106581.527,,,
