sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2021-04-24T14:48:45.935Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific_music_c/"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.192 Safari/537.36"",""platform"":""MacIntel"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1280,""screen_height"":800,""scroll_width"":1175,""scroll_height"":602,""window_innerWidth"":1175,""window_innerHeight"":650,""devicePixelRatio"":1}",,,,,,,,,,,,,,,5be6e95fec5bb900014e9f70,,,,,,,,,,,,,,,7799.795999994114,,form submission,,,,,,,,,,,,,,,,,,,,,17219.634999986738,17219.054999994114,9369.381,9380.790000024717,9419.259,17218.153,{},,
Introduction,html.Screen,1_0,2021-04-24T14:48:49.923Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3985.687000031052,,response,,,,,,,,,,,continue,click button,,,,,,,,,21207.685000030324,21203.84000003105,17201.527,17220.154999988154,17218.153,21209.392,,,
Volume calibration,html.Screen,1_1,2021-04-24T14:49:10.875Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20944.528000011567,,response,,,,,,,,,,,continue,click button,,,,,,,,,42160.475000040606,42153.92000001157,21192.766,21207.860000024084,21209.392,42159.382,,,
Task instructions,html.Screen,1_2,2021-04-24T14:49:18.793Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7916.417999991434,,response,,,,,,,,,,,continue,click button,,,,,,,,,50078.329999989364,50075.79999999143,42142.756,42160.710000025574,42159.382,50090.87,,,
Sounds,html.Screen,1_3_0_0,2021-04-24T14:49:23.049Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4256.255999999994,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,54334.05500004301,54330.5,50074.244,50078.65000003949,50090.87,54347.126,,,
Judgement,html.Screen,1_3_0_1,2021-04-24T14:49:24.731Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,1666.7540000422669,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,56016.204999992624,56013.88000004226,54330.5,54334.224999998696,54347.126,56027.299,,,
Trial,flow.Sequence,1_3_0,2021-04-24T14:49:24.731Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5923.010000042261,,completion,,,,,,,,,3,,,,,,,,O,I,S,,56016.59000001382,56013.88000004226,50074.244,50078.570000012405,50090.87,56027.299,,,
Sounds,html.Screen,1_3_1_0,2021-04-24T14:49:28.983Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4256.256000000001,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,60268.235000025015,60266.929,56010.673,56016.77500002552,56027.299,60283.555,,,
Judgement,html.Screen,1_3_1_1,2021-04-24T14:49:29.741Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,740.4150000383888,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,61026.565000007395,61023.97000003839,60266.929,60268.38000002317,60283.555,61031.725,,,
Trial,flow.Sequence,1_3_1,2021-04-24T14:49:29.741Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4996.67100003839,,completion,,,,,,,,,2,,,,,,,,O,S,I,,61026.83500002604,61023.97000003839,56010.673,56016.720000014175,56027.299,61031.725,,,
