sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2021-04-24T15:49:36.337Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific_music_d/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:88.0) Gecko/20100101 Firefox/88.0"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1920,""scroll_height"":890,""window_innerWidth"":1920,""window_innerHeight"":938,""devicePixelRatio"":1}",,,,,,,,,,,,,,,5ef25254ba594792c32878e9,,,,,,,,,,,,,,,3388.38,,form submission,,,,,,,,,,,,,,,,,,,,,8650,8649,5253.68,5251,5260.62,8656.32,{},,
Introduction,html.Screen,1_0,2021-04-24T15:49:41.366Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5006.68,,response,,,,,,,,,,,continue,click button,,,,,,,,,13678,13663,8649.38,8650,8656.32,13690.84,,,
Volume calibration,html.Screen,1_1,2021-04-24T15:49:49.054Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7659.16,,response,,,,,,,,,,,continue,click button,,,,,,,,,21366,21350,13683.9,13678,13690.84,21378.06,,,
Task instructions,html.Screen,1_2,2021-04-24T15:49:57.798Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8721.939999999999,,response,,,,,,,,,,,continue,click button,,,,,,,,,30110,30100,21371.12,21366,21378.06,30120.78,,,
Sounds,html.Screen,1_3_0_0,2021-04-24T15:50:02.052Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.860000000001,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,34364,34363.7,30113.86,30110,30120.78,34370.64,,,
Judgement,html.Screen,1_3_0_1,2021-04-24T15:50:02.918Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,855.3600000000006,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,35230,35226,34363.7,34365,34370.64,35238.64,,,
Trial,flow.Sequence,1_3_0,2021-04-24T15:50:02.918Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5105.220000000001,,completion,,,,,,,,,3,,,,,,,,O,I,S,,35230,35226,30113.86,30110,30120.78,35238.64,,,
Sounds,html.Screen,1_3_1_0,2021-04-24T15:50:07.170Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.860000000001,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,39482,39481.56,35231.72,35230,35238.64,39488.5,,,
Judgement,html.Screen,1_3_1_1,2021-04-24T15:50:07.726Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,533.5,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,40038,40022,39481.56,39482,39488.5,40050.96,,,
Trial,flow.Sequence,1_3_1,2021-04-24T15:50:07.726Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4783.360000000001,,completion,,,,,,,,,1,,,,,,,,S,I,O,,40038,40022,35231.72,35230,35238.64,40050.96,,,
Sounds,html.Screen,1_3_2_0,2021-04-24T15:50:11.983Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.840000000004,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,44295,44293.86,40044.02,40038,40050.96,44300.8,,,
Judgement,html.Screen,1_3_2_1,2021-04-24T15:50:12.382Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,377.1999999999971,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,44694,44678,44293.86,44296,44300.8,44703.56,,,
Trial,flow.Sequence,1_3_2,2021-04-24T15:50:12.382Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4627.040000000001,,completion,,,,,,,,,3,,,,,,,,I,O,S,,44694,44678,40044.02,40038,40050.96,44703.56,,,
Sounds,html.Screen,1_3_3_0,2021-04-24T15:50:16.635Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.860000000001,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,48947,48946.46,44696.64,44695,44703.56,48953.42,,,
Judgement,html.Screen,1_3_3_1,2021-04-24T15:50:17.046Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,396.58000000000175,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,49358,49350,48946.46,48948,48953.42,49370.06,,,
Trial,flow.Sequence,1_3_3,2021-04-24T15:50:17.046Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4646.440000000002,,completion,,,,,,,,,1,,,,,,,,S,O,I,,49358,49350,44696.64,44695,44703.56,49370.06,,,
