sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-04-11T15:03:22.023Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_a/"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""en-gb"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1680,""screen_height"":1050,""scroll_width"":1680,""scroll_height"":922,""window_innerWidth"":1680,""window_innerHeight"":970,""devicePixelRatio"":2}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,10409,,response,,,,,,,,,,,continue,click button,,,,,,,,,28171,27829,17420,17398,17441,28201,{},,
Volume calibration,html.Screen,0_1,2021-04-11T15:03:41.540Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19500.000000000007,,response,,,,,,,,,,,continue,click button,,,,,,,,,47687,47681.00000000001,28181,28173,28201,47714,,,
Task instructions,html.Screen,0_2,2021-04-11T15:04:00.753Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19198,,response,,,,,,,,,,,continue,click button,,,,,,,,,66899,66894,47696,47688,47714,66926,,,
Sounds,html.Screen,0_3_0_0,2021-04-11T15:04:05.020Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4256,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,71166,71165,66911,66900,66926,71182,,,
Judgement,html.Screen,0_3_0_1,2021-04-11T15:04:09.026Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,4001,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,75172,75166,71165,71166,71182,75201,,,
Trial,flow.Sequence,0_3_0,2021-04-11T15:04:09.027Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8240,,completion,,,,,,,,,3,,,,,,,,I,O,S,,75173,75166,66911,66900,66926,75201,,,
Sounds,html.Screen,0_3_1_0,2021-04-11T15:04:13.290Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4252,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,79436,79435,75185,75173,75201,79453,,,
Judgement,html.Screen,0_3_1_1,2021-04-11T15:04:15.025Z,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,1730,,response,,,,,,,,,1,,3,click #choice-3,,,,,S,O,I,,81171,81165,79435,79436,79453,81203,,,
Trial,flow.Sequence,0_3_1,2021-04-11T15:04:15.026Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5964,,completion,,,,,,,,,1,,,,,,,,S,O,I,,81171,81165,75185,75173,75201,81203,,,
Sounds,html.Screen,0_3_2_0,2021-04-11T15:04:19.292Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4252,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,85438,85437,81186,81173,81203,85455,,,
Judgement,html.Screen,0_3_2_1,2021-04-11T15:04:20.481Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,1183,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,86627,86620,85437,85438,85455,86659,,,
Trial,flow.Sequence,0_3_2,2021-04-11T15:04:20.482Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5417,,completion,,,,,,,,,1,,,,,,,,S,I,O,,86627,86620,81186,81173,81203,86659,,,
